Sentences,Logic-words
"Honey made from such nectar can cause the effects the texts describe, but only if eaten fresh, since the honey loses its toxicity within a few weeks of being made.","['but', 'since']"
"In Greece, rhododendrons and oleander bloom only in springtime, when they are the predominant sources of nectar.","['when', 'and']"
"When a married couple has frequent emotionally satisfying conversations, they tend in overwhelming percentages to remain married throughout their lives.",['when']
"Queen Melinda and Prince Jonathan, Duke of Westphalia, have been married for over sixty years, so clearly they must have emotionally satisfying conversations all the time.","['and', 'so']"
"If you study history, then you will appreciate the vast differences among past civilizations, and you will appreciate these differences provided that you reflect on your own civilization.","['then', 'and', 'if,then']"
"Hence, if you study history you will reflect on your own civilization.",['hence']
"Herpetologist: Some psychologists attribute complex reasoning to reptiles, claiming that simple stimulus,response explanations of some reptiles' behaviors, such as food gathering, cannot account for the complexity of such behavior.",['as']
"But since experiments show that reptiles are incapable of making major alterations in their behavior, for example, when faced with significant changes in their environment, these animals must be incapable of complex reasoning.","['but', 'when', 'for example', 'since']"
"If they do not care about their own health, they cannot really care for their clients' health, and if they do not care for their clients' health, they cannot help them to become healthier.",['and']
"Consumer advocate: A recent study concluded that top,loading washing machines are superior overall to front,loaders.",['overall']
"But front,loaders have the controls and access in front.","['but', 'and']"
"So for some consumers front,loaders are superior.",['so']
"Counselor: Those who believe that criticism should be gentle rather than harsh should consider the following: change requires a motive, and criticism that is unpleasant provides a motive.","['rather', 'and']"
"Since harsh criticism is unpleasant, harsh criticism provides a motive.",['since']
But this does not mean that melatonin is helpful in treating insomnia.,['but']
"Most of the studies examined only people without insomnia, and in many of the studies, only a few of the subjects given melatonin appeared to be significantly affected by it.",['and']
But moderate dietary changes often do not work to lower cholesterol levels.,['but']
"One may need, ttherefore, to make more dramatic changes, such as switching to a vegetarian diet.",['as']
D. programs are valuable only if they inculcate good scholarship and expedite the student' s full participation in the field.,['and']
"Hence, doctoral dissertations should not be required in the humanities.",['hence']
The student consequently either seeks to compensate for poor quality with quantity or ends up spending years producing a work of quality.,"['consequently', 'either,or', 'or']"
"Either way, the dissertation is counterproductive and frustrates the appropriate goals of the doctoral program.",['and']
"A fourteen,year study of finches on the Galapagos islands concluded that there is a definite relationship between climate and the population size of finch species that thrive at various times.",['and']
"During droughts, more members of large finch species survive because their bills are large enough to crack large, hard seeds, giving them a food supply unavailable to smaller birds.",['because']
"In rainy years, fewer members of the large finch species survive because the additional moisture fosters the growth of plants that produce small seeds.",['because']
"The larger finch varieties have to consume enormous numbers of small seeds to meet their energy demands, and some just cannot eat them fast enough.",['and']
Certain politicians in the country of Birangi argue that a 50 percent tax on new automobiles would halt the rapid increase of automobiles on Birangi' s roads and thereby slow the deterioration of Birangi' s air quality.,"['and', 'thereby']"
"Although most experts agree that such a tax would result in fewer Birangians buying new vehicles and gradually reduce the number of automobiles on Birangi' s roads, they contend that it would have little impact on Birangi' s air,quality problem.","['although', 'and']"
Multiple sclerosis is an autoimmune disease: white blood cells attack the myelin sheath that protects nerve fibers in the spinal cord and brain.,['and']
"Medical science now has a drug that can be used to successfully treat multiple sclerosis, but the path that led medical researchers to this drug was hardly straightforward.",['but']
"So in 1984 they began testing gamma interferon, one of the body' s own antiviral weapons.",['so']
The false step proved to be instructive however.,['however']
