Sentences,Logic-words
"Vaughan chose to open his attack with Gough and James Anderson, but both found it difficult to attain a good line in the early stages.","['but', 'and']"
"Anderson conceded three wides in the eighth over and both openers had recorded boundaries when, in the ninth over, a slower ball from Gough accounted for Stuart Matsikenyeri with the score on 36.","['when', 'and']"
Two overs later Alex Wharf picked up a fortuitous wicket with his fifth delivery when Brendan Taylor dragged a wide one onto the timbers.,"['when', 'later']"
"The hosts had a brief period of consolidation only to ruin it with a run,out as Mark Vermeulen was left short of his ground by a direct throw from Andrew Strauss.",['as']
"When Tatenda Taibu became the third batsmen to drag on, something special was required, and briefly it came from Chigumbura.","['when', 'and']"
"The lissome right,hander launched a series of clean, straight,bladed shots, hammering six fours and a magnificent straight six off Wharf in his 56,minute innings.",['and']
"Ebrahim was beaten in the flight by Ashley Giles, then in the next over Chigumbura went for one lofted drive too many and was caught deep in the covers.","['then', 'and', 'next']"
"A crowd of around 3,000 had been delighted with his efforts, but when he departed at 172,7 there was little else from the tail, Gough wrapping up the innings with a yorker in the final over.","['but', 'else', 'when']"
"Englands reply began smoothly until Vikram Solanki mis,timed a drive that looped to mid,off for seven.",['until']
"Vaughan gradually unveiled some trademark strokes of classic nature in a 75,ball innings featuring five fours and a six.",['and']
"He departed in the 30th over with 64 still needed, caught at deep midwicket by Chigumbura, who in the same position had spilled a chance offered by Bell four overs earlier.","['still', 'earlier']"
"Having seemed set to guide his team home, Bells composed innings ended 26 runs short of the victory target when he edged his 115th delivery to Taibu.",['when']
"Paul Collingwood needlessly pressed for a second run and fell to sharp throw from Utseya at leg gully, then next ball Geraint Jones almost joined him after hesitation with Kevin Pietersen.","['then', 'and', 'after', 'next']"
"The debutant was content to edge England home in conservative fashion, but won it with his only boundary straight down the ground, as the tourists finally secured their ninth successive win over Zimbabwe.","['but', 'as', 'finally']"
"Scotland take small step into the big time  There was no winners cheque on offer and no increase in status, just a trip to Sharjah, a shiny trophy and the prestige of being considered the 11th,best team in world cricket.",['and']
"But Scotland were still celebrating heartily after winning the ICC Intercontinental Cup, beating Kenya and Canada in the final stages in the United Arab Emirates.","['but', 'still', 'and', 'after']"
"Men in suits can talk for as long as they like about infrastructure and development pathways, but sport is about winning, and Scotland came through where it mattered.","['but', 'as long as', 'as', 'and']"
"Pace bowler John Blain, who was man of the match in the final after taking seven wickets, fully realised the importance of an innings victory over Canada.",['after']
"Weve been moving on for a number of years now, narrowly missing out on the World Cup but this is the next,best thing","['but', 'next']"
Weve always been confident of what ability we have but its about getting results,['but']
"The victory means more than some silverware for the cabinet, however, for a team that appeared in the 1999 World Cup but has not made highlight reels since.","['but', 'however', 'since']"
"The majority of the side are still amateurs and, as Blain pointed out: Its very difficult for guys to go from the World Cup back to their jobs and keep the standard up","['as', 'still', 'and']"
"The International Cricket Council is keen to improve the strength and depth behind the 10 Test,playing nations, and this is just a part of its development programme.",['and']
"Five associate member countries will appear in the 2007 World Cup and the authorities are keen they should provide more than a second,round bye for the bigger sides.",['and']
"Blain gives the idea the thumbs,up but also believes Scotlands exposure to English county crickets National League  has helped.","['but', 'also']"
The guys have come here and played the cricket that theyve been playing the last couple of years in the NCL but in a longer version of the game,"['but', 'and']"
Theyve learned how to be ruthless and go for the victory,['and']
"With some controversy, this tournament was given first,class status, although only a handful of players , including Blain and Durhams Gavin Hamilton , normally play at that level.  With Kenya lacking 13 players because of a pay dispute and Canada losing World Cup star John Davison to Australian domestic duty, the standard was below county level. However, Blain argued: Ive had seven,wicket hauls in county cricket but this must rate among them , its international cricket and its the top of the tree","['although', 'but', 'however', 'and', 'because']"
They will have to prove themselves again next April when the ICC Trophy in Ireland will act as a World Cup qualifier but Blain believes consistency is building.,"['but', 'as', 'when', 'next']"
"Weve got more exposure now and the standard has moved on fantastically, which will stand us in good stead when we go on to the qualifiers","['when', 'and']"
The Intercontinental Cup is not an end in itself but a significant milestone along the way.,['but']
"Boje missed the recent tour of India because of fears he would be called in for questioning by Indian police over match,fixing allegations.",['because']
"Pace bowler Dale Steyn and opening batsmen AB de Villiers are new faces in a 13,man squad.",['and']
"There is no place for opener Herschelle Gibbs, who has been struggling with a finger injury after missing the India trip, and spin all,rounder Justin Ontong has been dropped.","['and', 'after']"
"Nicky Boje, who underwent minor surgery to remove a growth in his neck, will have to pass a fitness test before the match.",['before']
"Butt provides boost for Pakistan  Tour match, Perth: Pakistan 256,9  v Cricket Australia Chairmans XI  His 135,ball innings included a six and 11 fours and gave his side a lift after their surprise defeat by Western Australias second XI last week.","['and', 'after']"
Pakistan opted to leave out pacemen Shoaib Akhtar and Mohammad Sami.,['and']
"They were held back for the four,day game against Western Australia, starting on Thursday , their final warm,up before the first Test.",['before']
"All,rounder Shoaib Malik was also rested after hurting his right arm while playing table football.","['while', 'also', 'after']"
"Its nothing serious, though he wont bowl for a couple of days",['though']
"The Chairmans XI was led by Justin Langer and included former fast bowler Geoff Lawson, who took 180 Test wickets for Australia between 1980 and 1989.",['and']
Muralitharan was to have travelled with the team as part of his rehabilitation from shoulder surgery but now needs to prove his fitness before joining them.,"['but', 'as', 'before']"
"He will aim to play in a practice match in Sri Lanka on 27 December, two weeks before the first Test in Auckland.",['before']
The off spinner resumed bowling last week and is currently bowling 24 balls every other day in the nets.,['and']
"Sri Lanka begin their tour of New Zealand on 21 December, playing two Tests and five one,day internationals.",['and']
"At the time of his injury, Muralitharan held the world record of 532 Test wickets, which has since been surpassed by Australias Shane Warne.",['since']
"Australia return to winning ways  Second one,day international, Sydney: Australia 261,7  beat New Zealand 244  by 17 runs  Adam Gilchrist  and Darren Lehmann  played the leading roles as the home side totalled 261,7.","['as', 'and']"
"New Zealand crumbled to 86,6 in reply but Chris Cairns hit 50 off 40 balls and Kyle Mills and Daniel Vettori put on 70 to keep their side in the hunt.","['but', 'and']"
"But they were eventually all out for 244 and the three,match series will now be decided in Brisbane on Friday.","['but', 'and']"
"The game came to an end at the start of the 48th over when Chris Harris, who bravely came out to bat in his 250th one,day game despite a shoulder injury, was bowled by a yorker from Glenn McGrath.",['when']
"Mills was left high and dry on 44 not out after a magnificent 26,ball innings, featuring four big sixes.","['and', 'after']"
"There were plenty of anxious faces among the Australian fans during his ninth wicket stand with Vettori , who was finally run out by Ricky Pontings underarm throw.",['finally']
Home skipper Ponting had earlier chosen to bat after winning the toss and was rewarded as Adam Gilchrist took the attack to the New Zealand seamers.,"['as', 'and', 'after', 'earlier']"
"He struck a six and eight fours to reach his half century off only 37 deliveries, before perishing for 60 in cavalier fashion as a pull shot off Scott Styris was caught by Nathan Astle at deep square leg.","['as', 'and', 'before']"
"Ponting maintained the tempo with a quickfire 32 but his exit, caught at mid,off from the bowling of Mills, sparked a slump which saw Australia decline from 140,2 to 161,6.",['but']
"Matthew Hayden  was run out by Mathew Sinclair, Damien Martyn was lbw to Mills for five and Andrew Symonds faced only two balls before he was trapped in front by Vettori.","['and', 'before']"
Michael Clarke was next to go for six when he edged a ball from Chris Cairns to keeper Brendon McCullum.,"['when', 'next']"
"But Darren Lehmann and Brad Hogg prevented the innings from going into freefall, adding 74 in 17 overs for the seventh wicket.","['but', 'and']"
"Lehmann was run out, leaving Hogg  and Brett Lee  to see the total past 250 to leave the Kiwis facing a tough target.",['and']
"They made a poor start as Astle was caught behind off Brett Lee for 11 and Sinclair fell victim to Jason Gillespie for 17, with Matthew Hayden taking the catch.","['as', 'and']"
The middle order followed in quick succession and it looked like the home side would wrap things up in double quick time.,['and']
"Cairns counter attacked with two sixes and four fours before Gillespie brought his innings to an end, leaving Mills and Vettori to try and secure an unlikely victory.","['and', 'before']"
"The required rate came down to a run per ball thanks to Mills big,hitting exploits, but Harris was greeted by a short,pitched ball aimed at his chest and a ferocious full toss from Lee after Vettori had been dismissed.","['but', 'and', 'after']"
"The veteran, whose suffered a torn rotator cuff while fielding earlier in the game, collected four singles but his gallantry was in vain as McGrath produced the perfect delivery to bring the game to an end.","['but', 'as', 'while', 'earlier']"
"The Indian squad arrived in Dhaka on Wednesday for a 19,day tour featuring two Tests and three one,day matches.",['and']
The first Test has already been put back a day to Friday after the Indian embassy received threats purporting to come from Islamic militants.,['after']
Security is an important factor but we as a team are concentrating on cricket and nothing else,"['but', 'as', 'and']"
"A hand,written fax allegedly sent by the Harkat,ul,Zihad group threatened to kill Indian cricketers, but has been dismissed as a hoax by the Bangladesh authorities.","['but', 'as']"
"The Board of Control for Cricket in India is leaving nothing to chance and are sending security experts to assess the situation in Chittagong, where the second Test is due to start on 16 December.",['and']
"Despite Bangladeshs mediocre record of 29 defeats in 32 matches at Test level since 2000, Ganguly said his team would take nothing for granted.",['since']
I always respect the opposition and Bangladesh are no exception.,['and']
I dont think any side has has gone and played in Bangladesh with a sense of complacency,['and']
"But the foreign ministry were satisfied with security arrangements in Dhaka, where the first Test begins on Friday.",['but']
"And the team have now given the green light for the games scheduled for Chittagong, which will stage the second Test and first one,day international.",['and']
"The inspection covered the venue, hotel and other areas where the Indian cricket team will be present.",['and']
Specific recommendations for tightening security arrangements and these have been accepted by the Bangladesh authorities.,['and']
"A letter, apparently from a previously unknown Islamic group Harkat,ul,Jihad, arrived at the Indian embassy last Thursday.",['previously']
"However, the Bangladesh high commission said the threats were a hoax.",['however']
"Explosions and other attacks are not uncommon in Bangladesh , more than 20 people were killed when grenades were thrown at an opposition rally in August.","['when', 'and']"
There have also been blasts at cinemas.,['also']
"Few arrests have been made, but Islamic extremists are widely blamed.",['but']
"Hayden ruled out of Kiwi showdown  Third one,day international, Brisbane: Australia v New Zealand  Match starts 0315 GMT Friday  The left,hander has failed to recover from a hamstring strain suffered in Sydney, when Australia won by 17 runs to level the series at 1,1.",['when']
"The Kiwis have added all,rounder Tama Canning to their squad as a replacement for veteran Chris Harris.",['as']
"He has been in good form with both bat and ball in domestic cricket, making his highest first,class score of 115 and taking eight wickets in the game as Auckland beat Northern Districts in the State Championship.","['as', 'and']"
New Zealand breathed a sigh of relief when Brendon McCullum and Scott Styris were cleared of code of conduct charges on Thursday.,"['when', 'and']"
"But they will not finalise their line,up until shortly before the game because of persistent bad weather in Brisbane which forced Gabba groundsman Kev Mitchell to change the pitch to be used for the game.","['but', 'because', 'before', 'until']"
We are keeping our options open and wont be rushing to name our side until we are confident with the knowledge we have on the wicket we are going to play on,"['and', 'until']"
"They did well to run Australia close in Sydney after being reduced to 86,6, with Chris Cairns, Kyle Milss and Daniel Vettori showing the depth of their batting talent.","['and', 'after']"
I thought we showed considerable guts and determination,['and']
"Simon Katich is the likely replacement for Hayden in the Australian team, but they face a dilemma over who should open with Adam Gilchrist.",['but']
"Katich went in first in a one,day game against India at the start of the year but prefers the middle order and they could opt to promote Darren Lehmann instead.","['but', 'instead', 'and']"
"Lehmann has only opened four times in 110 limited overs internationals, but his last three scores in that role have been 92 not out, 50 not out and 119.","['but', 'and']"
"The state of the pitch will also be a major factor in deciding the make,up of their attack.",['also']
"Michael Kasprowicz could return in place of spinner Brad Hogg as part of a four,pronged pace attack.",['as']
"But that would be tough on Hogg, who made 41 not out and took three wickets in the last match, and would also leave the hosts with a long tail.","['but', 'and', 'also']"
"Kumble breaks Kapils record  First Test, Dhaka, day one : Bangladesh 184 all out v India  Kumble overtook the mark set by Kapil Dev when he had Mohammad Rafique lbw.",['when']
And he followed up with a wicket next ball before Bangladesh were bowled out for 184 in 58 overs in Dhaka.,"['and', 'before', 'next']"
"After the first session was lost to rain, Irfan Pathan took five wickets to reduce the hosts to 106,7 before Mohammad Ashraful dug in.","['before', 'after']"
"Ashraful ended unbeaten on 60, having hit six fours and faced 135 balls.",['and']
"Kumble had a chance of a hat,trick after removing Tapash Baisya via a catch at first slip but Mashrafe Mortaza safely defended the fifth ball of his 12th over.","['but', 'after']"
But a run out ended the innings not long afterwards.,['but']
India did not get chance to begin their reply as openers Virender Sehwag and Gautam Gambhir were immediately offered the light on stepping to the wicket.,"['as', 'and']"
"India won the toss and Pathan soon got stuck into the top order, dismissing Javed Omar lbw in his second over with one that nipped back.",['and']
Nafis Iqbal and Rajin Saleh were also ajudged lbw by umpire Jeremy Lloyds off consecutive balls in Pathans fifth over.,"['and', 'also']"
"Captain Habibul Bashar then pulled Zaheer Khan straight to square leg and when the same bowler had Khaled Mashud caught behind, Bangladesh were 50,5 after just 16 overs.","['then', 'when', 'and', 'after']"
"Ashraful, largely in partnership with Rafique , did his best to build a recovery but India will expect to amass a huge lead on Saturday.",['but']
"Aged 34, he may still be able to reach the 500,mark, passed by only three men.",['still']
"Kumble overtakes Kapils record  First Test, Dhaka, day one : Bangladesh 184 all out v India  Kumble overtook the mark set by Kapil Dev when he had Mohammad Rafique lbw.",['when']
Australia unchanged for Pakistan  Australia have named an unchanged squad for the first Test against Pakistan in Perth next Friday.,['next']
"Matthew Hayden missed the third one,day international against New Zealand with a hamstring strain but selectors decided not to name a standby player.",['but']
Paceman Brett Lee is the 12th man but could be brought into the first team for next weeks contest.,"['but', 'next']"
"Lee has been 12th man in the last three Tests but has impressed in the New Zealand one,day series.",['but']
"Australia will enter the Pakistan game full of confidence after beating New Zealand 2,0 in their recent Test series.",['after']
"South Africa v England  Start delayed, rain  England lead the series 2,1 with just this final Test remaining so South Africa desperately need to win.",['so']
The officials had hoped play could get under way at noon local time but a further downpour led to an early lunch being taken by the players.,"['but', 'further']"
"For England, Simon Jones is expected to replace James Anderson while the hosts play both Andrew Hall and Andre Nel, with batsman Boeta Dippenaar dropped.","['while', 'and']"
Dale Steyn had already been released from the squad for Centurion and it means South Africa go in with five seamers and one spin bowler.,['and']
"On Friday, England captain Michael Vaughan had said it was important his team targeted victory and not simply a draw.",['and']
Well just set out in a positive manner and try to put the South Africans under a lot of pressure,['and']
"England, who have not won a series in South Africa for 40 years, will play on a green pitch which has endured a long spell of wet and humid weather.",['and']
"The weather forecast for Saturday onwards is fine, and early starts on all four days from then could ensure there is plenty of time to achieve a result.","['then', 'and']"
But I think we all realise that this last game is very important and we cant afford to take our foot off the pedal now.,"['but', 'and']"
Sometimes when youve got a lead its quite hard to keep yourself motivated.,['when']
It might look a bit juicy but will probably play pretty good.,['but']
"We came back in New Zealand from 1,0 down to level the series in Wellington so weve been in this situation before.","['so', 'before']"
Weve had had a lot of iffy performances so far.,['so']
With a bit of luck here or there or playing some better cricket at certain times it could have easily been the other way round.,['or']
"Its been that sort of series, ebb and flow, and Im sure its going to be that way again",['and']
"England on brink of defeat  Tour match, Potchefstroom, day three of three : England 225 & 190 v South Africa A 281 & 101,3  After Martin van Jaarsveld was removed for a duck in the first over, Andrew Puttick made 45 with seven fours.",['after']
"But he and Justin Ontong, who hit four fours in 23, fell in consecutive overs after a break for lightning, and with 34 needed to win, heavy rain arrived.","['but', 'and', 'after']"
"England were dismissed for 190, adding 36, Michael Vaughan ninth out after two more fours and a six en route to 100.","['and', 'after']"
"Lightning struck a field next to the ground, but there was no rain and play resumed within 10 minutes.","['but', 'and', 'next']"
It did have a beneficial effect for the tourists as two wickets fell within six balls.,['as']
"Puttick was caught behind and Ontong hooked Steve Harmison to the fine,leg boundary, where Ashley Giles took an impressive running catch to his left.",['and']
"He signalled his intentions in the very first over with a four through mid,on and a six over long,on from the spin of Ontong.",['and']
"Hopes of a long partnership with county colleague Matthew Hoggard were ended in the fourth over of the morning when the seamer was caught at second slip, having failed to add to his overnight three.",['when']
"Having pulled Charl Willoughby through mid,wicket for four and clipped him away to reach three figures, Vaughan chased a wide one from the left,armer end edged to keeper Mark Boucher.",['and']
He spent 226 minutes at the crease and faced 151 balls.,['and']
"India wrap up victory in Dhaka  First Test, Dhaka: Bangladesh 184 & 202 v India 526  India win by an innings and 140 runs  Left,arm paceman Irfan Pathan removed Tapash Baisya for 29 to finish with figures of 6,51, and 11,96 overall.","['and', 'overall']"
Zaheer Khan claimed the final wicket when he had the diligent Manjural Islam Rana caught behind for 69.,['when']
"The home side, 170,8 overnight, subsided for 202 to slump to defeat by an innings and 140 runs.",['and']
"Bangladesh were left with a daunting task after Sachin Tendulkars record unbeaten 248 helped India to a total of 526, a lead of 342.",['after']
"Only Nafis Iqbal  and Islam Rana offered any real resistance as the hosts were routed in double,quick time.","['as', 'and']"
"In their 33 Tests since 2000, Bangladesh have now accumulated 30 defeats, with only three draws to their credit.",['since']
The second and final Test of the series starts in Chittagong on Friday.,['and']
"Richardson needed 41 runs for Auckland against Canterbury to reach the milestone, but finished on 9,994.",['but']
He made 35 in his sides first innings but did not bat again when Auckland won by an innings and 60 runs.,"['but', 'when', 'and']"
"Opener Richardson only made his debut in 2000 but played in 38 Tests, scoring 2776 runs at an average of 44.77.",['but']
"But after impressing against England, making a century at Lords, he has struggled of late, with just 48 runs in two Test defeats in Australia.","['but', 'after']"
