,sentence1,sentence2,label
59,"If the bald eagle is not small, then the dog is tired.","If it is not small, then it will be the bald eagle. ",0
60,"If the bald eagle is cute, then Bob is not kind.","If it is not cute, then it will be not the bald eagle.",1
61,"If the bald eagle is cute, then Bob is not kind.","If it is cute, then it will be the bald eagle. ",0
62,"If the bald eagle is not cute, then the tiger is not smart.","If it is cute, then it will be not the bald eagle.",1
63,"If the bald eagle is not cute, then the tiger is not smart.",,0
64,"If the bald eagle is lovely, then the bear is quiet.","If it is not lovely, then it will be not the bald eagle.",1
65,"If the bald eagle is lovely, then the bear is quiet.",,0
66,"If the bald eagle is not lovely, then the mouse is dull.","If it is lovely, then it will be not the bald eagle.",1
67,"If the bald eagle is not lovely, then the mouse is dull.","If it is not lovely, then it will be the bald eagle. ",0
68,"If the bald eagle is beautiful, then Erin is tired.","If it is not beautiful, then it will be not the bald eagle.",1
69,"If the bald eagle is beautiful, then Erin is tired.","If it is the bald eagle, then it will be not beautiful. ",0
70,"If the bald eagle is not beautiful, then Erin is not nice.","If it is beautiful, then it will be not the bald eagle.",1
71,"If the bald eagle is not beautiful, then Erin is not nice.",,0
72,"If the bald eagle is funny, then the bear is funny.","If it is not funny, then it will be not the bald eagle.",1
73,"If the bald eagle is funny, then the bear is funny.","If it is the bald eagle, then it will be not funny. ",0
74,"If the bald eagle is not funny, then the rabbit is quiet.","If it is funny, then it will be not the bald eagle.",1
75,"If the bald eagle is not funny, then the rabbit is quiet.","If it is not funny, then it will be the bald eagle. ",0
76,"If the bald eagle is not big, then the bear is not smart.","If it is big, then it will be not the bald eagle.",1
77,"If the bald eagle is not big, then the bear is not smart.","If it is not big, then it will be the bald eagle. ",0
78,"If the bald eagle is strong, then Harry is not nice.","If it is not strong, then it will be not the bald eagle.",1
79,"If the bald eagle is strong, then Harry is not nice.","If it is not the bald eagle, then it will be strong. ",0
80,"If the bald eagle is not strong, then the crocodile is not sad.","If it is strong, then it will be not the bald eagle.",1
81,"If the bald eagle is not strong, then the crocodile is not sad.",,0
82,"If the bald eagle is awful, then Alan is nice.","If it is not awful, then it will be not the bald eagle.",1
83,"If the bald eagle is awful, then Alan is nice.","If it is awful, then it will be the bald eagle. ",0
84,"If the bald eagle is not awful, then Dave is not rough.","If it is awful, then it will be not the bald eagle.",1
85,"If the bald eagle is not awful, then Dave is not rough.","If it is not awful, then it will be the bald eagle. ",0
86,"If the bald eagle is fierce, then the bear is boring.","If it is not fierce, then it will be not the bald eagle.",1
87,"If the bald eagle is fierce, then the bear is boring.","If it is the bald eagle, then it will be not fierce. ",0
88,"If the bald eagle is not fierce, then Charlie is not tired.","If it is fierce, then it will be not the bald eagle.",1
89,"If the bald eagle is not fierce, then Charlie is not tired.","If it is not fierce, then it will be the bald eagle. ",0
90,"If the bald eagle is heavy, then Gary is angry.","If it is not heavy, then it will be not the bald eagle.",1
91,"If the bald eagle is heavy, then Gary is angry.","If it is not the bald eagle, then it will be heavy. ",0
92,"If the bald eagle is not heavy, then the rabbit is not rough.","If it is heavy, then it will be not the bald eagle.",1
93,"If the bald eagle is not heavy, then the rabbit is not rough.",,0
94,"If the bald eagle is horrible, then Erin is not sleepy.","If it is not horrible, then it will be not the bald eagle.",1
95,"If the bald eagle is horrible, then Erin is not sleepy.",,0
96,"If the bald eagle is not horrible, then the mouse is not wealthy.","If it is horrible, then it will be not the bald eagle.",1
97,"If the bald eagle is not horrible, then the mouse is not wealthy.","If it is not the bald eagle, then it will be not horrible. ",0
98,"If the bald eagle is powerful, then Erin is not strong.","If it is not powerful, then it will be not the bald eagle.",1
99,"If the bald eagle is powerful, then Erin is not strong.","If it is powerful, then it will be the bald eagle. ",0
100,"If the bald eagle is not powerful, then the wolf is little.","If it is powerful, then it will be not the bald eagle.",1
101,"If the bald eagle is not powerful, then the wolf is little.","If it is not the bald eagle, then it will be not powerful. ",0
102,"If the bald eagle is angry, then the dog is not kind.","If it is not angry, then it will be not the bald eagle.",1
103,"If the bald eagle is angry, then the dog is not kind.","If it is angry, then it will be the bald eagle. ",0
104,"If the bald eagle is not angry, then the dog is not horrible.","If it is angry, then it will be not the bald eagle.",1
105,"If the bald eagle is not angry, then the dog is not horrible.","If it is not angry, then it will be the bald eagle. ",0
106,"If the bald eagle is high, then Bob is beautiful.","If it is not high, then it will be not the bald eagle.",1
107,"If the bald eagle is high, then Bob is beautiful.","If it is high, then it will be the bald eagle. ",0
108,"If the bald eagle is not high, then the mouse is not dull.","If it is high, then it will be not the bald eagle.",1
109,"If the bald eagle is not high, then the mouse is not dull.","If it is not high, then it will be the bald eagle. ",0
110,"If the bald eagle is huge, then Bob is bad.","If it is not huge, then it will be not the bald eagle.",1
111,"If the bald eagle is huge, then Bob is bad.","If it is the bald eagle, then it will be not huge. ",0
112,"If the bald eagle is not huge, then the tiger is wealthy.","If it is huge, then it will be not the bald eagle.",1
113,"If the bald eagle is not huge, then the tiger is wealthy.","If it is the bald eagle, then it will be huge. ",0
114,"If the bald eagle is short, then Bob is not horrible.","If it is not short, then it will be not the bald eagle.",1
115,"If the bald eagle is short, then Bob is not horrible.",,0
116,"If the bald eagle is not short, then Fiona is not boring.","If it is short, then it will be not the bald eagle.",1
117,"If the bald eagle is not short, then Fiona is not boring.","If it is not short, then it will be the bald eagle. ",0
118,"If the bald eagle is thin, then the dog is bad.","If it is not thin, then it will be not the bald eagle.",1
119,"If the bald eagle is thin, then the dog is bad.",,0
120,"If the bald eagle is not thin, then Bob is tired.","If it is thin, then it will be not the bald eagle.",1
121,"If the bald eagle is not thin, then Bob is tired.","If it is not thin, then it will be the bald eagle. ",0
122,"If the bald eagle is little, then the bear is boring.","If it is, then it will be not the bald eagle.",1
123,"If the bald eagle is little, then the bear is boring.",,0
124,"If the bald eagle is not little, then the mouse is lovely.","If it is little, then it will be not the bald eagle.",1
125,"If the bald eagle is not little, then the mouse is lovely.","If it is not little, then it will be the bald eagle. ",0
126,"If the bald eagle is tiny, then the lion is not quiet.","If it is not tiny, then it will be not the bald eagle.",1
127,"If the bald eagle is tiny, then the lion is not quiet.",,0
128,"If the bald eagle is not tiny, then the dinosaur is not tired.","If it is tiny, then it will be not the bald eagle.",1
129,"If the bald eagle is not tiny, then the dinosaur is not tired.","If it is the bald eagle, then it will be tiny. ",0
130,"If the bald eagle is wealthy, then Fiona is not sleepy.","If it is not wealthy, then it will be not the bald eagle.",1
131,"If the bald eagle is wealthy, then Fiona is not sleepy.","If it is not the bald eagle, then it will be wealthy. ",0
132,"If the bald eagle is poor, then the squirrel is angry.","If it is not poor, then it will be not the bald eagle.",1
133,"If the bald eagle is poor, then the squirrel is angry.",,0
134,"If the bald eagle is not poor, then the mouse is not quiet.","If it is poor, then it will be not the bald eagle.",1
135,"If the bald eagle is not poor, then the mouse is not quiet.",,0
136,"If the bald eagle is dull, then Anne is rough.","If it is not dull, then it will be not the bald eagle.",1
137,"If the bald eagle is dull, then Anne is rough.","If it is the bald eagle, then it will be not dull. ",0
138,"If the bald eagle is not dull, then the leopard is nice.","If it is dull, then it will be not the bald eagle.",1
139,"If the bald eagle is not dull, then the leopard is nice.","If it is not dull, then it will be the bald eagle. ",0
140,"If the bald eagle is rough, then the squirrel is rough.","If it is not rough, then it will be not the bald eagle.",1
141,"If the bald eagle is rough, then the squirrel is rough.","If it is rough, then it will be the bald eagle. ",0
142,"If the bald eagle is not rough, then the bear is not fierce.","If it is rough, then it will be not the bald eagle.",1
143,"If the bald eagle is not rough, then the bear is not fierce.",,0
144,"If the bald eagle is bad, then the bear is not fierce.","If it is not bad, then it will be not the bald eagle.",1
145,"If the bald eagle is bad, then the bear is not fierce.","If it is the bald eagle, then it will be not bad. ",0
146,"If the bald eagle is not bad, then Charlie is not dull.","If it is bad, then it will be not the bald eagle.",1
147,"If the bald eagle is not bad, then Charlie is not dull.",,0
148,"If the bald eagle is sad, then Alan is not round.","If it is not sad, then it will be not the bald eagle.",1
149,"If the bald eagle is sad, then Alan is not round.","If it is sad, then it will be the bald eagle. ",0
150,"If the bald eagle is not sad, then the bear is kind.","If it is sad, then it will be not the bald eagle.",1
151,"If the bald eagle is not sad, then the bear is kind.","If it is the bald eagle, then it will be sad. ",0
152,"If the tiger is kind, then Bob is not strong.","If it is not kind, then it will be not the tiger.",1
153,"If the tiger is kind, then Bob is not strong.","If it is kind, then it will be the tiger. ",0
154,"If the tiger is not kind, then Anne is not nice.","If it is kind, then it will be not the tiger.",1
155,"If the tiger is not kind, then Anne is not nice.","If it is not kind, then it will be the tiger. ",0
156,"If the tiger is quiet, then the wolf is not big.","If it is not quiet, then it will be not the tiger.",1
157,"If the tiger is quiet, then the wolf is not big.","If it is the tiger, then it will be not quiet. ",0
158,"If the tiger is not quiet, then the bald eagle is kind.","If it is quiet, then it will be not the tiger.",1
159,"If the tiger is not quiet, then the bald eagle is kind.",,0
160,"If the tiger is round, then the cat is not dull.","If it is not round, then it will be not the tiger.",1
161,"If the tiger is round, then the cat is not dull.","If it is round, then it will be the tiger. ",0
162,"If the tiger is not round, then Erin is not awful.","If it is round, then it will be not the tiger.",1
163,"If the tiger is not round, then Erin is not awful.","If it is the tiger, then it will be round. ",0
164,"If the tiger is nice, then Alan is fierce.","If it is not nice, then it will be not the tiger.",1
165,"If the tiger is nice, then Alan is fierce.","If it is not the tiger, then it will be nice. ",0
166,"If the tiger is not nice, then Anne is lovely.","If it is nice, then it will be not the tiger.",1
167,"If the tiger is not nice, then Anne is lovely.","If it is not nice, then it will be the tiger. ",0
168,"If the tiger is smart, then the cat is tired.","If it is not smart, then it will be not the tiger.",1
169,"If the tiger is smart, then the cat is tired.","If it is smart, then it will be the tiger. ",0
170,"If the tiger is not smart, then Gary is bad.","If it is smart, then it will be not the tiger.",1
171,"If the tiger is not smart, then Gary is bad.","If it is not the tiger, then it will be not smart. ",0
172,"If the tiger is clever, then Erin is not small.","If it is not clever, then it will be not the tiger.",1
173,"If the tiger is clever, then Erin is not small.","If it is clever, then it will be the tiger. ",0
174,"If the tiger is not clever, then Gary is not tired.","If it is clever, then it will be not the tiger.",1
175,"If the tiger is not clever, then Gary is not tired.","If it is not clever, then it will be the tiger. ",0
176,"If the tiger is dull, then the cat is not small.","If it is not dull, then it will be not the tiger.",1
177,"If the tiger is dull, then the cat is not small.","If it is dull, then it will be the tiger. ",0
178,"If the tiger is not dull, then Anne is little.","If it is dull, then it will be not the tiger.",1
179,"If the tiger is not dull, then Anne is little.",,0
180,"If the tiger is rough, then Anne is lovely.","If it is not rough, then it will be not the tiger.",1
181,"If the tiger is rough, then Anne is lovely.","If it is the tiger, then it will be not rough. ",0
182,"If the tiger is not rough, then the tiger is not smart.","If it is rough, then it will be not the tiger.",1
183,"If the tiger is not rough, then the tiger is not smart.",,0
184,"If the tiger is lazy, then the squirrel is not slow.","If it is not lazy, then it will be not the tiger.",1
185,"If the tiger is lazy, then the squirrel is not slow.","If it is lazy, then it will be the tiger. ",0
186,"If the tiger is not lazy, then the dinosaur is horrible.","If it is lazy, then it will be not the tiger.",1
187,"If the tiger is not lazy, then the dinosaur is horrible.",,0
188,"If the tiger is slow, then the dog is not round.","If it is not slow, then it will be not the tiger.",1
189,"If the tiger is slow, then the dog is not round.","If it is slow, then it will be the tiger. ",0
190,"If the tiger is not slow, then the crocodile is thin.","If it is slow, then it will be not the tiger.",1
191,"If the tiger is not slow, then the crocodile is thin.",,0
192,"If the tiger is sleepy, then the lion is not round.","If it is not sleepy, then it will be not the tiger.",1
193,"If the tiger is sleepy, then the lion is not round.","If it is not the tiger, then it will be sleepy. ",0
194,"If the tiger is not sleepy, then the cat is big.","If it is sleepy, then it will be not the tiger.",1
195,"If the tiger is not sleepy, then the cat is big.","If it is the tiger, then it will be sleepy. ",0
196,"If the tiger is boring, then the squirrel is heavy.","If it is not boring, then it will be not the tiger.",1
197,"If the tiger is boring, then the squirrel is heavy.","If it is boring, then it will be the tiger. ",0
198,"If the tiger is not boring, then Charlie is angry.","If it is boring, then it will be not the tiger.",1
199,"If the tiger is not boring, then Charlie is angry.","If it is not boring, then it will be the tiger. ",0
200,"If the tiger is tired, then the mouse is not furry.","If it is not tired, then it will be not the tiger.",1
201,"If the tiger is tired, then the mouse is not furry.","If it is not the tiger, then it will be tired. ",0
202,"If the tiger is not tired, then the squirrel is fierce.","If it is tired, then it will be not the tiger.",1
203,"If the tiger is not tired, then the squirrel is fierce.","If it is not tired, then it will be the tiger. ",0
204,"If the tiger is not reckless, then the leopard is dull.","If it is reckless, then it will be not the tiger.",1
205,"If the tiger is not reckless, then the leopard is dull.","If it is not reckless, then it will be the tiger. ",0
206,"If the tiger is furry, then Charlie is not high.","If it is not furry, then it will be not the tiger.",1
207,"If the tiger is furry, then Charlie is not high.","If it is furry, then it will be the tiger. ",0
208,"If the tiger is not furry, then the squirrel is rough.","If it is furry, then it will be not the tiger.",1
209,"If the tiger is not furry, then the squirrel is rough.","If it is not the tiger, then it will be not furry. ",0
210,"If the tiger is small, then the tiger is not dull.","If it is not small, then it will be not the tiger.",1
211,"If the tiger is small, then the tiger is not dull.",,0
212,"If the tiger is not small, then the bald eagle is not thin.","If it is small, then it will be not the tiger.",1
213,"If the tiger is not small, then the bald eagle is not thin.","If it is not the tiger, then it will be not small. ",0
214,"If the tiger is cute, then the bald eagle is rough.","If it is not cute, then it will be not the tiger.",1
215,"If the tiger is cute, then the bald eagle is rough.","If it is cute, then it will be the tiger. ",0
216,"If the tiger is not cute, then the cat is not awful.","If it is cute, then it will be not the tiger.",1
217,"If the tiger is not cute, then the cat is not awful.",,0
218,"If the tiger is lovely, then the rabbit is rough.","If it is not lovely, then it will be not the tiger.",1
219,"If the tiger is lovely, then the rabbit is rough.",,0
220,"If the tiger is not lovely, then the bear is rough.","If it is lovely, then it will be not the tiger.",1
221,"If the tiger is not lovely, then the bear is rough.",,0
222,"If the tiger is beautiful, then Dave is lovely.","If it is not beautiful, then it will be not the tiger.",1
223,"If the tiger is beautiful, then Dave is lovely.","If it is beautiful, then it will be the tiger. ",0
224,"If the tiger is not beautiful, then the crocodile is not little.","If it is beautiful, then it will be not the tiger.",1
225,"If the tiger is not beautiful, then the crocodile is not little.","If it is not beautiful, then it will be the tiger. ",0
226,"If the tiger is not funny, then Alan is not reckless.","If it is funny, then it will be not the tiger.",1
227,"If the tiger is not funny, then Alan is not reckless.","If it is not the tiger, then it will be not funny. ",0
228,"If the tiger is big, then Alan is bad.","If it is not big, then it will be not the tiger.",1
229,"If the tiger is big, then Alan is bad.","If it is the tiger, then it will be not big. ",0
230,"If the tiger is not big, then the cat is not fierce.","If it is big, then it will be not the tiger.",1
231,"If the tiger is not big, then the cat is not fierce.",,0
232,"If the tiger is strong, then the bear is nice.","If it is not strong, then it will be not the tiger.",1
233,"If the tiger is strong, then the bear is nice.",,0
234,"If the tiger is not strong, then Erin is high.","If it is strong, then it will be not the tiger.",1
235,"If the tiger is not strong, then Erin is high.","If it is the tiger, then it will be strong. ",0
236,"If the tiger is awful, then the dog is not round.","If it is not awful, then it will be not the tiger.",1
237,"If the tiger is awful, then the dog is not round.","If it is awful, then it will be the tiger. ",0
238,"If the tiger is not awful, then Gary is not angry.","If it is awful, then it will be not the tiger.",1
239,"If the tiger is not awful, then Gary is not angry.",,0
240,"If the tiger is fierce, then the snake is beautiful.","If it is not fierce, then it will be not the tiger.",1
241,"If the tiger is fierce, then the snake is beautiful.",,0
242,"If the tiger is heavy, then the leopard is rough.","If it is not heavy, then it will be not the tiger.",1
243,"If the tiger is heavy, then the leopard is rough.","If it is not the tiger, then it will be heavy. ",0
244,"If the tiger is not heavy, then the lion is not dull.","If it is heavy, then it will be not the tiger.",1
245,"If the tiger is not heavy, then the lion is not dull.","If it is not heavy, then it will be the tiger. ",0
246,"If the tiger is horrible, then the lion is kind.","If it is not horrible, then it will be not the tiger.",1
247,"If the tiger is horrible, then the lion is kind.","If it is not the tiger, then it will be horrible. ",0
248,"If the tiger is not horrible, then Alan is little.","If it is horrible, then it will be not the tiger.",1
249,"If the tiger is not horrible, then Alan is little.",,0
250,"If the tiger is powerful, then the bear is not reckless.","If it is not powerful, then it will be not the tiger.",1
251,"If the tiger is powerful, then the bear is not reckless.","If it is powerful, then it will be the tiger. ",0
252,"If the tiger is not powerful, then the tiger is not wealthy.","If it is powerful, then it will be not the tiger.",1
253,"If the tiger is not powerful, then the tiger is not wealthy.","If it is not the tiger, then it will be not powerful. ",0
254,"If the tiger is angry, then Harry is beautiful.","If it is not angry, then it will be not the tiger.",1
255,"If the tiger is angry, then Harry is beautiful.","If it is angry, then it will be the tiger. ",0
256,"If the tiger is not angry, then Dave is lovely.","If it is angry, then it will be not the tiger.",1
257,"If the tiger is not angry, then Dave is lovely.","If it is not angry, then it will be the tiger. ",0
258,"If the tiger is high, then Charlie is awful.","If it is not high, then it will be not the tiger.",1
259,"If the tiger is high, then Charlie is awful.","If it is high, then it will be the tiger. ",0
260,"If the tiger is not high, then the bald eagle is not wealthy.","If it is high, then it will be not the tiger.",1
261,"If the tiger is not high, then the bald eagle is not wealthy.","If it is not high, then it will be the tiger. ",0
262,"If the tiger is not huge, then the lion is not small.","If it is huge, then it will be not the tiger.",1
263,"If the tiger is not huge, then the lion is not small.","If it is not huge, then it will be the tiger. ",0
264,"If the tiger is short, then the lion is not reckless.","If it is not short, then it will be not the tiger.",1
265,"If the tiger is short, then the lion is not reckless.",,0
266,"If the tiger is not short, then the cat is heavy.","If it is short, then it will be not the tiger.",1
267,"If the tiger is not short, then the cat is heavy.","If it is not short, then it will be the tiger. ",0
268,"If the tiger is thin, then the tiger is awful.","If it is not thin, then it will be not the tiger.",1
269,"If the tiger is thin, then the tiger is awful.",,0
270,"If the tiger is not thin, then the bald eagle is rough.","If it is thin, then it will be not the tiger.",1
271,"If the tiger is not thin, then the bald eagle is rough.","If it is not thin, then it will be the tiger. ",0
272,"If the tiger is little, then the mouse is funny.","If it is, then it will be not the tiger.",1
273,"If the tiger is little, then the mouse is funny.","If it is the tiger, then it will be . ",0
274,"If the tiger is tiny, then the dog is wealthy.","If it is not tiny, then it will be not the tiger.",1
275,"If the tiger is tiny, then the dog is wealthy.","If it is not the tiger, then it will be tiny. ",0
276,"If the tiger is not tiny, then Alan is not awful.","If it is tiny, then it will be not the tiger.",1
277,"If the tiger is not tiny, then Alan is not awful.","If it is not the tiger, then it will be not tiny. ",0
278,"If the tiger is not wealthy, then the tiger is bad.","If it is wealthy, then it will be not the tiger.",1
279,"If the tiger is not wealthy, then the tiger is bad.",,0
280,"If the tiger is poor, then the leopard is not clever.","If it is not poor, then it will be not the tiger.",1
281,"If the tiger is poor, then the leopard is not clever.","If it is poor, then it will be the tiger. ",0
282,"If the tiger is not poor, then Charlie is huge.","If it is poor, then it will be not the tiger.",1
283,"If the tiger is not poor, then Charlie is huge.",,0
284,"If the tiger is dull, then the rabbit is nice.","If it is not dull, then it will be not the tiger.",1
285,"If the tiger is dull, then the rabbit is nice.","If it is dull, then it will be the tiger. ",0
286,"If the tiger is not dull, then the bear is tiny.","If it is dull, then it will be not the tiger.",1
287,"If the tiger is not dull, then the bear is tiny.",,0
288,"If the tiger is rough, then Charlie is slow.","If it is not rough, then it will be not the tiger.",1
289,"If the tiger is rough, then Charlie is slow.","If it is rough, then it will be the tiger. ",0
290,"If the tiger is not rough, then Dave is rough.","If it is rough, then it will be not the tiger.",1
291,"If the tiger is not rough, then Dave is rough.","If it is not the tiger, then it will be not rough. ",0
292,"If the tiger is bad, then the lion is funny.","If it is not bad, then it will be not the tiger.",1
293,"If the tiger is bad, then the lion is funny.","If it is bad, then it will be the tiger. ",0
294,"If the tiger is not bad, then the leopard is not reckless.","If it is bad, then it will be not the tiger.",1
295,"If the tiger is not bad, then the leopard is not reckless.","If it is not bad, then it will be the tiger. ",0
296,"If the tiger is sad, then Anne is angry.","If it is not sad, then it will be not the tiger.",1
297,"If the tiger is sad, then Anne is angry.","If it is sad, then it will be the tiger. ",0
298,"If the tiger is not sad, then Gary is round.","If it is sad, then it will be not the tiger.",1
299,"If the tiger is not sad, then Gary is round.","If it is not sad, then it will be the tiger. ",0
300,"If the bear is kind, then the squirrel is clever.","If it is not kind, then it will be not the bear.",1
301,"If the bear is kind, then the squirrel is clever.","If it is not the bear, then it will be kind. ",0
302,"If the bear is not kind, then Charlie is not quiet.","If it is kind, then it will be not the bear.",1
303,"If the bear is not kind, then Charlie is not quiet.","If it is not kind, then it will be the bear. ",0
304,"If the bear is quiet, then the dog is little.","If it is not quiet, then it will be not the bear.",1
305,"If the bear is quiet, then the dog is little.","If it is quiet, then it will be the bear. ",0
306,"If the bear is not quiet, then the dinosaur is not bad.","If it is quiet, then it will be not the bear.",1
307,"If the bear is not quiet, then the dinosaur is not bad.","If it is not the bear, then it will be not quiet. ",0
308,"If the bear is round, then the bald eagle is not kind.","If it is not round, then it will be not the bear.",1
309,"If the bear is round, then the bald eagle is not kind.","If it is the bear, then it will be not round. ",0
310,"If the bear is not round, then Charlie is funny.","If it is round, then it will be not the bear.",1
311,"If the bear is not round, then Charlie is funny.","If it is not the bear, then it will be not round. ",0
312,"If the bear is nice, then Charlie is quiet.","If it is not nice, then it will be not the bear.",1
313,"If the bear is nice, then Charlie is quiet.",,0
314,"If the bear is not nice, then the cat is wealthy.","If it is nice, then it will be not the bear.",1
315,"If the bear is not nice, then the cat is wealthy.","If it is the bear, then it will be nice. ",0
316,"If the bear is smart, then the bald eagle is quiet.","If it is not smart, then it will be not the bear.",1
317,"If the bear is smart, then the bald eagle is quiet.","If it is smart, then it will be the bear. ",0
318,"If the bear is not smart, then the mouse is not awful.","If it is smart, then it will be not the bear.",1
319,"If the bear is not smart, then the mouse is not awful.",,0
320,"If the bear is clever, then the mouse is short.","If it is not clever, then it will be not the bear.",1
321,"If the bear is clever, then the mouse is short.",,0
322,"If the bear is not clever, then the mouse is smart.","If it is clever, then it will be not the bear.",1
323,"If the bear is not clever, then the mouse is smart.",,0
324,"If the bear is dull, then the dog is reckless.","If it is not dull, then it will be not the bear.",1
325,"If the bear is dull, then the dog is reckless.",,0
326,"If the bear is not dull, then Harry is dull.","If it is dull, then it will be not the bear.",1
327,"If the bear is not dull, then Harry is dull.","If it is the bear, then it will be dull. ",0
328,"If the bear is rough, then the dog is not high.","If it is not rough, then it will be not the bear.",1
329,"If the bear is rough, then the dog is not high.",,0
330,"If the bear is not rough, then Gary is not poor.","If it is rough, then it will be not the bear.",1
