sentence1,sentence2,label
"If the cat is not reckless, then the dog is not smart.",The cat is reckless or the dog smart.,0
Charlie is furry and the crocodile is not reckless.,Charlie is furry and the crocodile is reckless.,0
"If the snake is not huge, then the lion is not slow.",The snake isn't huge or the lion isn't slow.,0
Anne is poor and the lion is strong.,"The Lion is strong, Anne is poor.",1
the snake is not small and Harry is heavy.,Harry is heavy and the snake is not small.,1
"If the lion is reckless, then Bob is small.","If Bob wasn't small, the lion wouldn't be reckless.",1
the wolf is not short and the lion is not kind.,"The wolf was not short, the lion was kind.",0
"If the dinosaur is not awful, then Harry is awful.","If dinosaurs were awful, Harry would be awful.",0
"If the dinosaur is not bad, then the mouse is awful.",Whether it's dinosaurs that are bad or mice that are awful.,1
the snake is strong or the tiger is not furry.,Snakes are strong or Tigers are furry.,0
"If the lion is awful, then Anne is awful.",Anne would be awful without a Lion.,0
"If the bear is sad, then the mouse is tired.",The mouse gets tired when the bear is sad.,0
the tiger is dull and Dave is little.,Tigers are dull and Dave isn't a little.,0
"If the mouse is sleepy, then Harry is not wealthy.",Harry isn't wealthy unless the mouse is sleepy.,0
Fiona is not boring and the squirrel is not round.,Fiona isn't boring and the squirrels are round.,0
"If Gary is sad, then the wolf is sleepy.",Gary isn't sad or the wolf is sleepy.,1
"If Fiona is little, then the bald eagle is sad.",Fiona isn't little or the bald eagle is sad.,1
"If the cat is not boring, then the lion is dull.",Cats are boring or Lions dull.,1
Anne is sad. or the dinosaur is not dull,"If Anne wasn't sad, dinosaurs wouldn't be dull.",1
the crocodile is huge or Fiona is not smart.,"If the crocodile wasn't huge, Fiona wouldn't have been smart.",1
"If Alan is boring, then Alan is not tired.",Alan is either bored or tired.,0
"If the dinosaur is clever, then the leopard is not lovely.",The dinosaurs aren't clever or the leopards aren't lovely.,1
the squirrel is bad or the lion is thin.,Lions are thin if squirrels aren't bad.,1
the mouse is not slow and the leopard is not furry.,The leopard isn't furry and the mouse isn't slow.,1
the mouse is beautiful and the mouse is not tired.,The mouse isn't tired and beautiful.,1
"If the wolf is not reckless, then the leopard is not furry.",Wolf reckless or leopard furry,1
the squirrel is dull and the mouse is powerful.,"The mouse is powerful, the squirrel is dull.",1
Anne is not huge and the squirrel is not round.,"The squirrels weren't round, and Anne wasn't huge.",1
the tiger is not tired and Dave is angry.,Dave was angry and the Tigers weren't tired.,1
"If the wolf is lazy, then Gary is not angry.",The wolf is lazy or Gary is not angry.,0
"If the wolf is small, then Charlie is lovely.",Charlie would be lovely without a small wolf.,0
Harry is tiny or Dave is not dull.,Dave wouldn't be dull if Harry weren't tiny.,1
the squirrel is little or the crocodile is not dull.,The squirrel is little or the crocodile dull.,0
Bob is bad and the dog is not high.,Bob was bad and the dog was high.,0
Fiona is not awful and the dinosaur is short.,"Fiona isn't awful, dinosaurs aren't short.",0
the mouse is sleepy and the bear is not tired.,The bear isn't tired and the mouse is sleepy.,1
the snake is nice and the dog is not furry.,"Nice snake, furry dog.",0
"If the squirrel is short, then the dinosaur is not beautiful.",The squirrel is short or the dinosaur is ugly.,0
the lion is high. or the cat is not kind,"If the lion wasn't high, the cat wouldn't be kind.",1
the cat is funny and Erin is not furry.,"Erin isn't furry, and the cats are funny.",1
"If the bald eagle is heavy, then Charlie is not beautiful.",Charlie isn't beautiful without a heavy bald eagle.,0
"If Bob is not small, then Bob is angry.","If Bob wasn't angry, he was small.",1
"If Fiona is not clever, then the dinosaur is boring.",If dinosaurs weren't boring Fiona would have been clever.,1
Alan is angry.,Alan was unangry.,0
the snake is round and Erin is not smart.,The snake is round and Erin is smart.,0
"If the mouse is dull, then the rabbit is powerful.",The mouse is dull or the rabbit is powerful.,0
Dave is tiny or Gary is dull.,Gary would be dull if Dave weren't tiny.,1
"If the crocodile is strong, then the rabbit is not dull.",Crocodiles aren't strong or bunnies dull.,1
"If the bear is not short, then Erin is not boring.","If the bears are short, Erin won't be bored.",0
the wolf is not sleepy or Charlie is not sad.,The wolf is sleepy or Charlie is sad.,0
"If the mouse is sad, then the leopard is small.",The mouse isn't sad or the leopard is small.,1
Charlie is not reckless and Dave is not wealthy.,"Charlie isn't reckless, Dave is wealthy.",0
the dog is kind. or the squirrel is not boring,"If the dog isn't kind, squirrels won't be bored.",1
the tiger is slow. or the snake is not clever,Tiger slow or snake clever,0
"If Erin is not clever, then the dog is not dull.","If the dog is dull, Erin is clever.",1
the tiger is slow and the dinosaur is dull.,"Tigers are slow, dinosaurs are dull.",0
the tiger is not round and Alan is funny.,Alan is funny and the tiger isn't round.,1
Erin is small and the wolf is not small.,"The wolf is not small, Erin is small.",1
"If the bear is not quiet, then the bear is big.","If the bear wasn't big, it would have been quiet.",1
"If the cat is not nice, then the bald eagle is not little.",The bald eagle isn't little if the cat is nice.,0
Alan is horrible or the cat is not bad.,Alan was horrible or the cat was bad.,0
"If the cat is rough, then Gary is sleepy.",The cat isn't rough if Gary isn't sleepy.,1
Harry is not dull and the snake is tired.,Harry isn't dull and the snakes aren't tired.,0
"If the wolf is slow, then the bald eagle is not rough.",Wolf slow or bald eagle rough.,0
the lion is not lovely and Gary is horrible.,Gary is horrible and the lion isn't lovely.,1
Alan is strong.,Alan is not weak.,1
"If Anne is not dull, then the mouse is quiet.",Anne would be dull without the mouse quiet.,1
"If the dinosaur is not strong, then the rabbit is not bad.","If the bunny is bad, dinosaurs are strong.",1
"If Charlie is kind, then the lion is rough.","If Charlie wasn't kind, the lion would have been rough.",0
"If the bald eagle is not strong, then Dave is not dull.",bald eagle strong or dull.,1
Alan is not clever or the snake is not kind.,Alan is clever or the snake is unkind.,0
"If the crocodile is wealthy, then the bear is not fierce.","If a crocodile isn't wealthy, bears aren't fierce.",0
"If the lion is not strong, then the crocodile is not quiet.",The lion would be strong if the crocodiles were quiet.,1
the lion is tiny. or the wolf is not dull,"If the lion wasn't tiny, the wolf wouldn't be dull.",1
"If the crocodile is not little, then Harry is not sad.","Crocodiles are little or sad, not root.",1
"If Fiona is clever, then the dog is not smart.","If Fiona wasn't clever, the dog wouldn't be smart.",0
Bob is strong and the tiger is not angry.,"Tigers are not angry, Bob is strong.",1
"If the bear is huge, then the dinosaur is short.","If dinosaurs weren't short, bears wouldn't be huge.",1
the lion is boring and the bald eagle is not tired.,The lion is bored and the bald eagle is tired.,0
Alan is tiny and Dave is awful.,Dave is awful and Alan is tiny.,1
Harry is not heavy and Dave is cute.,"Dave is cute, Harry isn't heavy.",1
the rabbit is tired or the crocodile is not little.,Bunny tired or crocodile little.,0
"If Erin is lovely, then the leopard is not smart.","If Erin wasn't lovely, the leopard wouldn't be smart.",0
Gary is little and Harry is horrible.,Harry was horrible and Gary was little.,1
the dinosaur is not funny or the cat is not fierce.,"If dinosaurs are funny, the cat won't be fierce.",1
the wolf is short or the snake is nice.,Wolf short or snake not nice.,0
"If Anne is strong, then the tiger is not clever.",Anne is not strong if the Tiger is clever.,1
"If Dave is not fierce, then the lion is strong.",Dave is fierce or a lion is weak.,0
the dinosaur is clever. or the leopard is not thin,The dinosaurs are clever or the leopard is thin.,0
Charlie is tiny and Fiona is not rough.,Charlie is tiny and Fiona rough.,0
"If the squirrel is not sad, then the crocodile is not thin.",-Squirrels are sad or crocodiles aren't thin.,1
"If the crocodile is not dull, then the crocodile is awful.",Crocodiles are dull or awful roots.,1
"If the crocodile is furry, then the squirrel is nice.","If the crocodiles weren't furry, then squirrels would be nice.",0
"If Anne is not short, then Bob is not little.",Anne isn't short or Bob isn't little.,0
"If Charlie is funny, then the dog is not small.",Charlie isn't funny or the dog is small.,0
Erin is big or the squirrel is not lazy.,"If Erin wasn't big, squirrels wouldn't be lazy.",1
"If Charlie is not dull, then Anne is not funny.",Charlie isn't dull or Anne isn't funny.,0
"If Dave is thin, then the squirrel is high.","If Dave wasn't thin, the squirrels would be high.",0
Erin is little or the lion is rough.,Erin is little or rough as a lion.,0
Dave is not sad or the bear is not sad.,"If Dave is sad, the bear isn't sad.",1
"If Alan is awful, then the squirrel is not wealthy.",Alan isn't awful or the squirrel isn't wealthy.,1
Dave is rough or the snake is not round.,Dave is rough or a snake is round.,0
the lion is tired and the squirrel is not smart.,The squirrel isn't smart and the lion is tired.,1
"If Anne is not funny, then the tiger is not powerful.",Anne is funny when the Tiger is powerful.,1
"If the tiger is awful, then the dog is not dull.",Tigers aren't awful or dogs dull.,1
the bald eagle is not bad or the squirrel is not clever.,Bad bald eagle or squirrel incoherent.,0
"If the lion is slow, then Harry is poor.",The lion is slow or Harry poor.,0
"If Gary is reckless, then the leopard is nice.",Gary isn't reckless or nice to the leopard.,1
the squirrel is high. or the squirrel is not rough,The squirrel is high or rough.,0
the tiger is not nice and Charlie is not sleepy.,Charlie isn't sleepy and the Tiger isn't nice.,1
"If the crocodile is rough, then Gary is tired.",Gary is tired of being rough with crocodiles.,0
the mouse is not beautiful or the cat is not huge.,"If the mouse was beautiful, the cat wouldn't be huge.",1
"If Harry is not thin, then the dog is strong.",Harry is thin or the dog is weak.,0
"If the lion is not small, then the bear is powerful.",The lion is small if the bear isn't powerful.,1
the rabbit is round and Harry is not wealthy.,Harry isn't wealthy and the rabbits are round.,1
"If Gary is not beautiful, then the leopard is fierce.",Gary is beautiful or the leopard is fierce.,1
the bald eagle is not high or Anne is not beautiful.,Anne would not be beautiful if a bald eagle was high.,1
Erin is sleepy. or the crocodile is not sad,Erin is sleepy or sad about the crocodiles.,0
the mouse is heavy or the dinosaur is funny.,"If the mouse wasn't heavy, the dinosaurs would be funny.",1
the bald eagle is fierce. or the dinosaur is not huge,Bald Eagles are fierce or dinosaurs huge.,0
"If Charlie is high, then Dave is little.",Charlie was high or Dave was little.,0
"If the snake is cute, then the crocodile is not nice.",The snake isn't cute if the crocodile is nice.,1
"If the mouse is not slow, then Alan is rough.",rooted in the mouse isn't slow or Alan rough.,0
"If the leopard is not thin, then the wolf is not little.",The leopard is thin or the wolf is little.,1
"If Erin is not boring, then Gary is not fierce.","If Gary were fierce, Erin would be bored.",1
"If the dog is not clever, then Gary is boring.",-The dog is clever or Gary is boring.,1
"If Alan is short, then the bald eagle is bad.","Alan isn't short, unless the bald eagle is bad.",1
the mouse is strong.,The mouse is weak.,0
"If Alan is tiny, then Anne is rough.","Alan isn't tiny or rough, Anne.",1
the wolf is little or the cat is not poor.,The wolf is little or poor cat.,0
Anne is kind or Anne is not big.,Anne was kind or big.,0
the crocodile is huge or Fiona is not smart.,Crocodiles are huge or smart Fiona.,0
Erin is lazy and the dinosaur is not angry.,"The dinosaurs aren't angry, Erin is lazy.",1
Charlie is little or the tiger is powerful.,Charlie is little or the Tiger is not powerful.,0
the mouse is funny and the cat is not round.,"The cat isn't round, the mouse is funny.",1
"If the cat is small, then the bald eagle is not angry.",The cat isn't small or angry with the bald eagle.,1
"If Anne is not tiny, then Anne is reckless.",Anne is reckless if she is tiny.,0
"If the mouse is not short, then the cat is tiny.",The mouse is short or the cat is tiny.,1
the mouse is not angry and Anne is not fierce.,"Anne isn't fierce, and the mouse isn't angry.",1
"If Erin is rough, then the tiger is not lazy.","If Erin wasn't rough, the Tiger wouldn't be lazy.",0
Erin is rough. or Anne is not clever,Erin is rough or Anne clever.,0
the dog is strong. or the snake is not boring,Dog strong or snake boredom.,0
"If Bob is big, then Fiona is not round.",Bob isn't big or Fiona isn't round.,1
the wolf is not sad and Dave is beautiful.,"The wolf isn't sad, Dave isn't beautiful.",0
"If the tiger is not lovely, then the dog is not small.",Tigers are lovely if the dog is small.,1
the bald eagle is not big and Harry is strong.,The bald eagle wasn't big and Harry wasn't strong.,0
the squirrel is lazy and the mouse is not cute.,"The mouse isn't cute, the squirrel is lazy.",1
the squirrel is tiny or the tiger is not little.,Tigers aren't little unless squirrels are tiny.,1
Alan is sad. or the cat is not lovely,"If Alan wasn't sad, the cat wouldn't be lovely.",1
"If the leopard is big, then Fiona is not beautiful.",Fiona wouldn't be beautiful without a big leopard.,0
the dog is not poor or the dinosaur is not quiet.,Poor dog or dinosaur quiet.,0
the wolf is little or the cat is not poor.,"If the wolf wasn't little, it would be a poor cat.",1
Gary is not round and Bob is clever.,Bob is clever and Gary isn't round.,1
Fiona is strong or Alan is not kind.,If Fiona wasn't strong Alan wouldn't have been kind.,1
the rabbit is powerful and Bob is short.,Bob is short and the rabbit is powerful.,1
the bear is not boring and Gary is tired.,Gary is tired and the bear isn't boring.,1
"If Dave is not tired, then the lion is high.",Dave gets tired when the Lion isn't high.,1
"If Alan is not funny, then Dave is not rough.",Alan isn't funny or rough with Dave.,0
"If the dog is beautiful, then Charlie is powerful.",Charlie is powerful if the dog isn't beautiful.,0
the bear is not sad or the leopard is not tired.,Bear sad or leopard tired.,0
the dinosaur is little and Alan is poor.,The dinosaurs were little and Alan wasn't poor.,0
"If Fiona is not high, then the dog is not sleepy.",Fiona was high or the dog was sleepy.,1
"If the lion is not horrible, then the cat is not fierce.","If a lion is horrible, the cat isn't fierce.",0
the bald eagle is furry and the dog is furry.,"Bald Eagles are furry, dogs aren't.",0
Anne is not wealthy and the mouse is not cute.,"Anne isn't wealthy, and the mouse is cute.",0
"If Charlie is not huge, then the squirrel is clever.",Charlie isn't huge or the squirrel is clever.,0
"If Alan is huge, then the dog is not cute.","If Alan wasn't huge, the dog wouldn't be cute.",0
Erin is lazy and the dinosaur is not angry.,Erin is lazy and the dinosaurs are angry.,0
"If Charlie is not lovely, then Charlie is slow.","If Charlie wasn't slow, he would have been lovely.",1
"If the dinosaur is not rough, then the bald eagle is not boring.",The roots are rough or the bald eagle isn't boring.,1
the dog is fierce or the snake is not dull.,The dog is fierce or the snake dull.,0
"If the rabbit is slow, then the lion is furry.","The root is slow, or the lion is furry.",0
"If the dog is round, then Alan is smart.",Alan is smart if the dog isn't round.,0
the squirrel is not slow and Gary is not angry.,The squirrel was slow and angry.,0
"If Gary is not poor, then Dave is not high.",Dave isn't high if Gary is poor.,0
the lion is nice. or the dog is not nice,"If the lion isn't nice, the dog isn't nice.",1
"If Harry is not rough, then the dog is cute.",Harry is rough or the dog is cute.,1
Erin is not dull and Anne is not short.,"Anne isn't short, and Erin isn't dull.",1
the rabbit is not poor or the lion is not little.,Bunny poor or lion little.,0
the tiger is not rough or Anne is not furry.,"If the Tiger is rough, Anne isn't furry.",1
"If Dave is smart, then the squirrel is not beautiful.","If the squirrel was beautiful, Dave wouldn't have been smart.",1
"If the wolf is round, then the bald eagle is high.",The wolf isn't round or the bald eagle isn't high.,0
"If the rabbit is smart, then Anne is dull.",Whether the rabbit is smart or Anne is dull.,0
the wolf is slow or Erin is tired.,"If the wolves aren't slow, Erin will get tired.",1
the rabbit is poor and the snake is not little.,The bunny is poor and the snake is little.,0
"If the snake is fierce, then Charlie is sad.","The snake isn't fierce or sad, Charlie.",1
the cat is not dull and the tiger is not awful.,"The cat isn't dull, the tiger is awful.",0
"If the snake is furry, then Harry is high.",The snake isn't furry or high - Harry.,1
"If the wolf is rough, then the leopard is not small.","If the wolves aren't rough, the leopards aren't small.",0
the lion is rough or the squirrel is not huge.,"If the lion wasn't rough, squirrels wouldn't be huge.",1
Gary is fierce or the dinosaur is bad.,"If Gary wasn't fierce, the dinosaurs would be bad.",1
"If Charlie is lovely, then Charlie is small.",Charlie isn't lovely if he's not small.,1
"If Anne is sad, then the crocodile is not kind.","If Anne is sad, the crocodiles aren't kind.",0
the dog is beautiful. or the cat is not big,Beautiful dog or big cat.,0
"If the crocodile is not huge, then Bob is not furry.","If a crocodile is huge, Bob isn't furry.",0
"If Harry is sleepy, then the bald eagle is awful.",Harry isn't sleepy or the bald eagle is awful.,1
the tiger is not sad or the snake is not reckless.,Tiger sad or snake reckless.,0
the squirrel is tiny or the tiger is not little.,Squirrels are tiny or tigers are little.,0
the bald eagle is not kind and the mouse is sad.,The mouse is sad and the bald eagle isn't kind.,1
the snake is not horrible and the tiger is kind.,The snake isn't horrible and the tiger isn't kind.,0
"If the tiger is not cute, then the tiger is not dull.","If the Tiger is dull, it's cute.",1
"If the cat is clever, then the cat is not poor.","If the cat is poor, it isn't clever.",1
the squirrel is wealthy and the leopard is not little.,"The leopard is not little, the squirrel is wealthy.",1
the cat is strong or the crocodile is not short.,Crocodiles aren't short - unless the cat is strong.,1
Fiona is tired and Gary is cute.,Gary is cute and Fiona is tired.,1
"If the lion is not funny, then Alan is not dull.","If Alan is dull, the Lion is funny.",1
"If Dave is horrible, then the bald eagle is poor.","If Dave wasn't horrible, the bald eagle would be poor.",0
the rabbit is not tiny or the tiger is not lovely.,Bunnies are tiny or tiger not lovely.,0
the mouse is not rough or Harry is not huge.,Rough as a mouse or Harry isn't huge.,0
the leopard is strong. or the dog is not clever,"If the leopard is weak, the dog isn't clever.",1
the dinosaur is little and Alan is poor.,Alan is poor and the dinosaurs little.,1
the rabbit is strong or the lion is not short.,The lion wouldn't be short if the rabbit wasn't strong.,1
"If Charlie is horrible, then the cat is not slow.",Charlie isn't horrible or the cat isn't slow.,1
"If the dinosaur is not sad, then Anne is funny.","a href=""http://www.youtube.com/watch?v=nZbgw"">Dinosaurs: Sad or funny?/a> Anne",1
"If Gary is funny, then the bear is reckless.",Gary isn't funny or the bear is reckless.,1
Alan is not dull and the bald eagle is not thin.,"Bald Eagles aren't thin, Alan isn't dull.",1
Charlie is powerful or Fiona is cute.,Charlie is powerful or Fiona isn't cute.,0
"If the mouse is not high, then the cat is not bad.","If the mouse is high, the cat isn't bad.",0
"If Charlie is not huge, then the squirrel is clever.","If Charlie was huge, the squirrel would have been clever.",0
the bear is short or the lion is little.,"If bears aren't short, the lions are little.",1
"If Dave is strong, then the snake is not powerful.",Dave is not strong if the snake is powerful.,1
"If Anne is heavy, then the squirrel is not awful.",The squirrels aren't awful unless Anne is heavy.,0
the crocodile is not dull or the cat is not short.,The cat won't be short if the crocodile is dull.,1
the dog is beautiful. or the crocodile is not thin,Beautiful dogs or thin crocodiles.,0
the crocodile is reckless and the bear is powerful.,Crocodiles are reckless and bears are not powerful.,0
the tiger is not furry or the squirrel is not lazy.,"If a Tiger is furry, squirrels aren't lazy.",1
the bald eagle is not slow or the wolf is not short.,"If the bald eagle was slow, the wolf wouldn't be short.",1
Alan is not bad or the bald eagle is not lovely.,"Bad Alan, or the bald eagle isn't lovely.",0
Harry is dull or Dave is not lazy.,"If Harry isn't dull, Dave isn't lazy.",1
"If the bear is not heavy, then the lion is not furry.","If bears are heavy, lions aren't furry.",0
the bear is cute and Harry is not powerful.,"Harry isn't powerful, and the bear is cute.",1
the tiger is horrible or the crocodile is short.,Tigers are horrible or crocodiles aren't short.,0
the leopard is not kind or Anne is not boring.,The leopard is kind or Anne isn't boring.,0
"If the dinosaur is sad, then Dave is not smart.","Not sad about dinosaurs, or smart about Dave.",0
Fiona is powerful.,Fiona isn't powerless.,1
the crocodile is quiet and Bob is huge.,The crocodiles were quiet and Bob wasn't huge.,0
"If Charlie is rough, then Alan is boring.",Charlie isn't rough or Alan isn't boring.,0
the crocodile is small or the mouse is powerful.,"If the crocodile isn't small, the mouse is powerful.",1
"If the dog is high, then the dog is not bad.","If the dog isn't high, it's not bad.",0
"If the wolf is lovely, then Harry is dull.",The wolf is lovely or Harry dull.,0
Gary is not horrible and the cat is not sad.,"The cat isn't sad, Gary isn't horrible.",1
the mouse is dull or Alan is not thin.,The mouse is dull or Alan thin.,0
"If the wolf is angry, then the bear is not huge.",Wolf anger or bear not huge.,0
"If Alan is not huge, then the rabbit is not dull.","If Alan is huge, the bunny won't be dull.",0
"If the dog is not boring, then the mouse is not sleepy.",The dog isn't bored or the mouse isn't sleepy.,0
the dog is rough and the leopard is not smart.,The leopard isn't smart and the dog is rough.,1
the leopard is short and Harry is poor.,"The leopard is short, Harry is poor.",0
"If the dog is not strong, then the lion is not sleepy.",The root is strong or the lion is sleepy.,1
the rabbit is funny and the squirrel is not quiet.,"The squirrels were quiet, and the bunnies were funny.",1
"If the snake is quiet, then the wolf is round.","The snakes were quiet, if not round the wolves.",1
Dave is poor. or the mouse is not lazy,"If Dave wasn't poor, the mouse wouldn't be lazy.",1
the bald eagle is not thin or Gary is not beautiful.,Gary isn't beautiful if the bald eagle is thin.,1
"If the lion is not lazy, then Anne is sad.","If Anne wasn't sad, the Lion would have been lazy.",1
"If the crocodile is lazy, then the mouse is clever.",The crocodile isn't lazy unless the mouse is clever.,1
Charlie is not tired and the leopard is not kind.,The leopard isn't kind and Charlie isn't tired.,1
Fiona is not clever or Bob is not funny.,"If Fiona was clever, Bob wouldn't have been funny.",1
the dog is furry. or the squirrel is not poor,"If the dog isn't furry, squirrels aren't poor.",1
the lion is strong and Charlie is round.,Charlie is round and the Lion is strong.,1
the squirrel is awful or the crocodile is lazy.,Squirrels are awful or crocodiles are lazy.,0
the cat is angry and the bear is not small.,The bear is not small and the cat is angry.,1
Dave is clever and the rabbit is not boring.,"The bunny isn't boring, Dave is clever.",1
"If Anne is not funny, then the tiger is not powerful.","If Anne was funny, the Tiger wouldn't be powerful.",0
"If Erin is not tiny, then Gary is big.",Erin would be tiny if Gary wasn't big.,1
the cat is rough. or the crocodile is not powerful,Crocodiles aren't powerful if the cat isn't rough.,1
the squirrel is big and the dinosaur is not huge.,"The dinosaurs aren't huge, the squirrels are big.",1
"If the squirrel is not little, then Dave is strong.","The squirrel is little or strong, Dave is weak.",0
"If the rabbit is clever, then the dog is not quiet.",The bunny isn't clever when the dog is quiet.,1
"If Bob is thin, then Anne is not angry.","Bob's thin, or Anne's not angry.",0
"If Anne is horrible, then Fiona is not high.","If Anne wasn't horrible, Fiona wouldn't be high.",0
"If Charlie is kind, then the lion is rough.",Charlie isn't kind or rough with lions.,1
"If the dinosaur is poor, then the dog is not round.",The dinosaurs are poor or the dog is round.,0
the bald eagle is not cute or Harry is not rough.,The bald eagle is cute or Harry isn't rough.,0
Dave is beautiful. or the wolf is not sad,Dave is beautiful or the wolf is sad.,0
Erin is fierce and the lion is powerful.,Erin is fierce and the lion is not powerful.,0
