,Original_Sentence,Parsed_Sentence
17,"If the bald eagle is smart, then Erin is sleepy.","(S (SBAR (IN If) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (ADJP (JJ smart))))) (, ,) (ADVP (RB then)) (NP (NNP Erin)) (VP (VBZ is) (ADJP (JJ sleepy))) (. .))"
18,"If the bald eagle is not smart, then the snake is not cute.","(S (SBAR (IN If) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (RB not) (ADJP (JJ smart))))) (, ,) (ADVP (RB then)) (NP (DT the) (NN snake)) (VP (VBZ is) (RB not) (ADJP (JJ cute))) (. .))"
19,"If the bald eagle is not smart, then the snake is not cute.","(S (SBAR (IN If) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (RB not) (ADJP (JJ smart))))) (, ,) (ADVP (RB then)) (NP (DT the) (NN snake)) (VP (VBZ is) (RB not) (ADJP (JJ cute))) (. .))"
20,"If the bald eagle is clever, then the leopard is tiny.","(S (SBAR (IN If) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (ADJP (JJ clever))))) (, ,) (ADVP (RB then)) (NP (DT the) (NN leopard)) (VP (VBZ is) (ADJP (JJ tiny))) (. .))"
21,"If the bald eagle is clever, then the leopard is tiny.","(S (SBAR (IN If) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (ADJP (JJ clever))))) (, ,) (ADVP (RB then)) (NP (DT the) (NN leopard)) (VP (VBZ is) (ADJP (JJ tiny))) (. .))"
22,"If the bald eagle is not clever, then the leopard is rough.","(S (SBAR (IN If) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (RB not) (ADJP (JJ clever))))) (, ,) (ADVP (RB then)) (NP (DT the) (NN leopard)) (VP (VBZ is) (ADJP (JJ rough))) (. .))"
23,"If the bald eagle is not clever, then the leopard is rough.","(S (SBAR (IN If) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (RB not) (ADJP (JJ clever))))) (, ,) (ADVP (RB then)) (NP (DT the) (NN leopard)) (VP (VBZ is) (ADJP (JJ rough))) (. .))"
24,"If the bald eagle is dull, then the tiger is heavy.","(S (SBAR (IN If) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (ADJP (JJ dull))))) (, ,) (ADVP (RB then)) (NP (DT the) (NN tiger)) (VP (VBZ is) (ADJP (JJ heavy))) (. .))"
25,"If the bald eagle is dull, then the tiger is heavy.","(S (SBAR (IN If) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (ADJP (JJ dull))))) (, ,) (ADVP (RB then)) (NP (DT the) (NN tiger)) (VP (VBZ is) (ADJP (JJ heavy))) (. .))"
26,"If the bald eagle is not dull, then the squirrel is not quiet.","(S (SBAR (IN If) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (RB not) (ADJP (JJ dull))))) (, ,) (ADVP (RB then)) (NP (DT the) (NN squirrel)) (VP (VBZ is) (RB not) (ADJP (JJ quiet))) (. .))"
27,"If the bald eagle is not dull, then the squirrel is not quiet.","(S (SBAR (IN If) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (RB not) (ADJP (JJ dull))))) (, ,) (ADVP (RB then)) (NP (DT the) (NN squirrel)) (VP (VBZ is) (RB not) (ADJP (JJ quiet))) (. .))"
28,"If the bald eagle is rough, then the bald eagle is not short.","(S (SBAR (IN If) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (ADJP (JJ rough))))) (, ,) (ADVP (RB then)) (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (RB not) (ADJP (JJ short))) (. .))"
29,"If the bald eagle is rough, then the bald eagle is not short.","(S (SBAR (IN If) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (ADJP (JJ rough))))) (, ,) (ADVP (RB then)) (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (RB not) (ADJP (JJ short))) (. .))"
30,"If the bald eagle is not rough, then the mouse is not strong.","(S (SBAR (IN If) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (RB not) (ADJP (JJ rough))))) (, ,) (ADVP (RB then)) (NP (DT the) (NN mouse)) (VP (VBZ is) (RB not) (ADJP (JJ strong))) (. .))"
31,"If the bald eagle is not rough, then the mouse is not strong.","(S (SBAR (IN If) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (RB not) (ADJP (JJ rough))))) (, ,) (ADVP (RB then)) (NP (DT the) (NN mouse)) (VP (VBZ is) (RB not) (ADJP (JJ strong))) (. .))"
32,"If the bald eagle is lazy, then the dog is dull.","(S (SBAR (IN If) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (ADJP (JJ lazy))))) (, ,) (ADVP (RB then)) (NP (DT the) (NN dog)) (VP (VBZ is) (ADJP (JJ dull))) (. .))"
33,"If the bald eagle is lazy, then the dog is dull.","(S (SBAR (IN If) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (ADJP (JJ lazy))))) (, ,) (ADVP (RB then)) (NP (DT the) (NN dog)) (VP (VBZ is) (ADJP (JJ dull))) (. .))"
34,"If the bald eagle is not lazy, then the bear is tiny.","(S (SBAR (IN If) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (RB not) (ADJP (JJ lazy))))) (, ,) (ADVP (RB then)) (NP (DT the) (NN bear)) (VP (VBZ is) (ADJP (JJ tiny))) (. .))"
35,"If the bald eagle is slow, then Fiona is fierce.","(S (SBAR (IN If) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (ADJP (JJ slow))))) (, ,) (ADVP (RB then)) (NP (NNP Fiona)) (VP (VBZ is) (ADJP (JJ fierce))) (. .))"
36,"If the bald eagle is slow, then Fiona is fierce.","(S (SBAR (IN If) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (ADJP (JJ slow))))) (, ,) (ADVP (RB then)) (NP (NNP Fiona)) (VP (VBZ is) (ADJP (JJ fierce))) (. .))"
37,"If the bald eagle is not slow, then Erin is kind.","(S (SBAR (IN If) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (RB not) (ADJP (JJ slow))))) (, ,) (ADVP (RB then)) (NP (NNP Erin)) (VP (VBZ is) (ADJP (JJ kind))) (. .))"
38,"If the bald eagle is not slow, then Erin is kind.","(S (SBAR (IN If) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (RB not) (ADJP (JJ slow))))) (, ,) (ADVP (RB then)) (NP (NNP Erin)) (VP (VBZ is) (ADJP (JJ kind))) (. .))"
39,"If the bald eagle is sleepy, then the lion is not clever.","(S (SBAR (IN If) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (ADJP (JJ sleepy))))) (, ,) (ADVP (RB then)) (NP (DT the) (NN lion)) (VP (VBZ is) (RB not) (ADJP (JJ clever))) (. .))"
40,"If the bald eagle is sleepy, then the lion is not clever.","(S (SBAR (IN If) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (ADJP (JJ sleepy))))) (, ,) (ADVP (RB then)) (NP (DT the) (NN lion)) (VP (VBZ is) (RB not) (ADJP (JJ clever))) (. .))"
41,"If the bald eagle is not sleepy, then Harry is kind.","(S (SBAR (IN If) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (ADJP (RB not) (ADJP (JJ sleepy)))))) (, ,) (ADVP (RB then)) (NP (NNP Harry)) (VP (VBZ is) (ADJP (JJ kind))) (. .))"
42,"If the bald eagle is not sleepy, then Harry is kind.","(S (SBAR (IN If) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (ADJP (RB not) (ADJP (JJ sleepy)))))) (, ,) (ADVP (RB then)) (NP (NNP Harry)) (VP (VBZ is) (ADJP (JJ kind))) (. .))"
43,"If the bald eagle is boring, then the dog is not tired.","(S (SBAR (IN If) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (ADJP (JJ boring))))) (, ,) (ADVP (RB then)) (NP (DT the) (NN dog)) (VP (VBZ is) (RB not) (ADJP (JJ tired))) (. .))"
44,"If the bald eagle is boring, then the dog is not tired.","(S (SBAR (IN If) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (ADJP (JJ boring))))) (, ,) (ADVP (RB then)) (NP (DT the) (NN dog)) (VP (VBZ is) (RB not) (ADJP (JJ tired))) (. .))"
45,"If the bald eagle is not boring, then the bear is dull.","(S (SBAR (IN If) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (ADJP (RB not) (ADJP (JJ boring)))))) (, ,) (ADVP (RB then)) (NP (DT the) (NN bear)) (VP (VBZ is) (ADJP (JJ dull))) (. .))"
46,"If the bald eagle is not boring, then the bear is dull.","(S (SBAR (IN If) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (ADJP (RB not) (ADJP (JJ boring)))))) (, ,) (ADVP (RB then)) (NP (DT the) (NN bear)) (VP (VBZ is) (ADJP (JJ dull))) (. .))"
47,"If the bald eagle is tired, then Gary is strong.","(S (SBAR (IN If) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (ADJP (JJ tired))))) (, ,) (ADVP (RB then)) (NP (NNP Gary)) (VP (VBZ is) (ADJP (JJ strong))) (. .))"
48,"If the bald eagle is tired, then Gary is strong.","(S (SBAR (IN If) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (ADJP (JJ tired))))) (, ,) (ADVP (RB then)) (NP (NNP Gary)) (VP (VBZ is) (ADJP (JJ strong))) (. .))"
49,"If the bald eagle is not tired, then Dave is sleepy.","(S (SBAR (IN If) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (RB not) (ADJP (JJ tired))))) (, ,) (ADVP (RB then)) (NP (NNP Dave)) (VP (VBZ is) (ADJP (JJ sleepy))) (. .))"
50,"If the bald eagle is not tired, then Dave is sleepy.","(S (SBAR (IN If) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (RB not) (ADJP (JJ tired))))) (, ,) (ADVP (RB then)) (NP (NNP Dave)) (VP (VBZ is) (ADJP (JJ sleepy))) (. .))"
51,"If the bald eagle is reckless, then Bob is big.","(S (SBAR (IN If) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (ADJP (JJ reckless))))) (, ,) (ADVP (RB then)) (NP (NNP Bob)) (VP (VBZ is) (ADJP (JJ big))) (. .))"
52,"If the bald eagle is not reckless, then Fiona is awful.","(S (SBAR (IN If) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (ADJP (RB not) (ADJP (JJ reckless)))))) (, ,) (ADVP (RB then)) (NP (NNP Fiona)) (VP (VBZ is) (ADJP (JJ awful))) (. .))"
53,"If the bald eagle is furry, then the mouse is not funny.","(S (SBAR (IN If) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (ADJP (JJ furry))))) (, ,) (ADVP (RB then)) (NP (DT the) (NN mouse)) (VP (VBZ is) (RB not) (ADJP (JJ funny))) (. .))"
54,"If the bald eagle is not furry, then the dinosaur is fierce.","(S (SBAR (IN If) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (ADJP (RB not) (ADJP (JJ furry)))))) (, ,) (ADVP (RB then)) (NP (DT the) (NN dinosaur)) (VP (VBZ is) (ADJP (JJ fierce))) (. .))"
55,"If the bald eagle is small, then the mouse is not small.","(S (SBAR (IN If) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (ADJP (JJ small))))) (, ,) (ADVP (RB then)) (NP (DT the) (NN mouse)) (VP (VBZ is) (RB not) (ADJP (JJ small))) (. .))"
56,"If the bald eagle is small, then the mouse is not small.","(S (SBAR (IN If) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (ADJP (JJ small))))) (, ,) (ADVP (RB then)) (NP (DT the) (NN mouse)) (VP (VBZ is) (RB not) (ADJP (JJ small))) (. .))"
57,"If the bald eagle is not small, then the dog is tired.","(S (SBAR (IN If) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (RB not) (ADJP (JJ small))))) (, ,) (ADVP (RB then)) (NP (DT the) (NN dog)) (VP (VBZ is) (ADJP (JJ tired))) (. .))"
58,"If the bald eagle is not small, then the dog is tired.","(S (SBAR (IN If) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (RB not) (ADJP (JJ small))))) (, ,) (ADVP (RB then)) (NP (DT the) (NN dog)) (VP (VBZ is) (ADJP (JJ tired))) (. .))"
59,"If the bald eagle is cute, then Bob is not kind.","(S (SBAR (IN If) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (ADJP (JJ cute))))) (, ,) (ADVP (RB then)) (NP (NNP Bob)) (VP (VBZ is) (RB not) (ADJP (JJ kind))) (. .))"
60,"If the bald eagle is cute, then Bob is not kind.","(S (SBAR (IN If) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (ADJP (JJ cute))))) (, ,) (ADVP (RB then)) (NP (NNP Bob)) (VP (VBZ is) (RB not) (ADJP (JJ kind))) (. .))"
61,"If the bald eagle is not cute, then the tiger is not smart.","(S (SBAR (IN If) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (ADJP (RB not) (ADJP (JJ cute)))))) (, ,) (ADVP (RB then)) (NP (DT the) (NN tiger)) (VP (VBZ is) (RB not) (ADJP (JJ smart))) (. .))"
62,"If the bald eagle is not cute, then the tiger is not smart.","(S (SBAR (IN If) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (ADJP (RB not) (ADJP (JJ cute)))))) (, ,) (ADVP (RB then)) (NP (DT the) (NN tiger)) (VP (VBZ is) (RB not) (ADJP (JJ smart))) (. .))"
63,"If the bald eagle is lovely, then the bear is quiet.","(S (SBAR (IN If) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (ADJP (JJ lovely))))) (, ,) (ADVP (RB then)) (NP (DT the) (NN bear)) (VP (VBZ is) (ADJP (JJ quiet))) (. .))"
64,"If the bald eagle is lovely, then the bear is quiet.","(S (SBAR (IN If) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (ADJP (JJ lovely))))) (, ,) (ADVP (RB then)) (NP (DT the) (NN bear)) (VP (VBZ is) (ADJP (JJ quiet))) (. .))"
65,"If the bald eagle is not lovely, then the mouse is dull.","(S (SBAR (IN If) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (ADJP (RB not) (ADJP (JJ lovely)))))) (, ,) (ADVP (RB then)) (NP (DT the) (NN mouse)) (VP (VBZ is) (ADJP (JJ dull))) (. .))"
66,"If the bald eagle is not lovely, then the mouse is dull.","(S (SBAR (IN If) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (ADJP (RB not) (ADJP (JJ lovely)))))) (, ,) (ADVP (RB then)) (NP (DT the) (NN mouse)) (VP (VBZ is) (ADJP (JJ dull))) (. .))"
67,"If the bald eagle is beautiful, then Erin is tired.","(S (SBAR (IN If) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (ADJP (JJ beautiful))))) (, ,) (ADVP (RB then)) (NP (NNP Erin)) (VP (VBZ is) (ADJP (JJ tired))) (. .))"
68,"If the bald eagle is beautiful, then Erin is tired.","(S (SBAR (IN If) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (ADJP (JJ beautiful))))) (, ,) (ADVP (RB then)) (NP (NNP Erin)) (VP (VBZ is) (ADJP (JJ tired))) (. .))"
69,"If the bald eagle is not beautiful, then Erin is not nice.","(S (SBAR (IN If) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (ADJP (RB not) (ADJP (JJ beautiful)))))) (, ,) (ADVP (RB then)) (NP (NNP Erin)) (VP (VBZ is) (RB not) (ADJP (JJ nice))) (. .))"
70,"If the bald eagle is not beautiful, then Erin is not nice.","(S (SBAR (IN If) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (ADJP (RB not) (ADJP (JJ beautiful)))))) (, ,) (ADVP (RB then)) (NP (NNP Erin)) (VP (VBZ is) (RB not) (ADJP (JJ nice))) (. .))"
71,"If the bald eagle is funny, then the bear is funny.","(S (SBAR (IN If) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (ADJP (JJ funny))))) (, ,) (ADVP (RB then)) (NP (DT the) (NN bear)) (VP (VBZ is) (ADJP (JJ funny))) (. .))"
72,"If the bald eagle is funny, then the bear is funny.","(S (SBAR (IN If) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (ADJP (JJ funny))))) (, ,) (ADVP (RB then)) (NP (DT the) (NN bear)) (VP (VBZ is) (ADJP (JJ funny))) (. .))"
73,"If the bald eagle is not funny, then the rabbit is quiet.","(S (SBAR (IN If) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (ADJP (RB not) (ADJP (JJ funny)))))) (, ,) (ADVP (RB then)) (NP (DT the) (NN rabbit)) (VP (VBZ is) (ADJP (JJ quiet))) (. .))"
74,"If the bald eagle is not funny, then the rabbit is quiet.","(S (SBAR (IN If) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (ADJP (RB not) (ADJP (JJ funny)))))) (, ,) (ADVP (RB then)) (NP (DT the) (NN rabbit)) (VP (VBZ is) (ADJP (JJ quiet))) (. .))"
75,"If the bald eagle is big, then the squirrel is not furry.","(S (SBAR (IN If) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (ADJP (JJ big))))) (, ,) (ADVP (RB then)) (NP (DT the) (NN squirrel)) (VP (VBZ is) (RB not) (ADJP (JJ furry))) (. .))"
76,"If the bald eagle is not big, then the bear is not smart.","(S (SBAR (IN If) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (RB not) (ADJP (JJ big))))) (, ,) (ADVP (RB then)) (NP (DT the) (NN bear)) (VP (VBZ is) (RB not) (ADJP (JJ smart))) (. .))"
77,"If the bald eagle is not big, then the bear is not smart.","(S (SBAR (IN If) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (RB not) (ADJP (JJ big))))) (, ,) (ADVP (RB then)) (NP (DT the) (NN bear)) (VP (VBZ is) (RB not) (ADJP (JJ smart))) (. .))"
78,"If the bald eagle is strong, then Harry is not nice.","(S (SBAR (IN If) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (ADJP (JJ strong))))) (, ,) (ADVP (RB then)) (NP (NNP Harry)) (VP (VBZ is) (RB not) (ADJP (JJ nice))) (. .))"
79,"If the bald eagle is strong, then Harry is not nice.","(S (SBAR (IN If) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (ADJP (JJ strong))))) (, ,) (ADVP (RB then)) (NP (NNP Harry)) (VP (VBZ is) (RB not) (ADJP (JJ nice))) (. .))"
80,"If the bald eagle is not strong, then the crocodile is not sad.","(S (SBAR (IN If) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (ADJP (RB not) (ADJP (JJ strong)))))) (, ,) (ADVP (RB then)) (NP (DT the) (NN crocodile)) (VP (VBZ is) (RB not) (ADJP (JJ sad))) (. .))"
81,"If the bald eagle is not strong, then the crocodile is not sad.","(S (SBAR (IN If) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (ADJP (RB not) (ADJP (JJ strong)))))) (, ,) (ADVP (RB then)) (NP (DT the) (NN crocodile)) (VP (VBZ is) (RB not) (ADJP (JJ sad))) (. .))"
82,"If the bald eagle is awful, then Alan is nice.","(S (SBAR (IN If) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (ADJP (JJ awful))))) (, ,) (ADVP (RB then)) (NP (NNP Alan)) (VP (VBZ is) (ADJP (JJ nice))) (. .))"
83,"If the bald eagle is awful, then Alan is nice.","(S (SBAR (IN If) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (ADJP (JJ awful))))) (, ,) (ADVP (RB then)) (NP (NNP Alan)) (VP (VBZ is) (ADJP (JJ nice))) (. .))"
84,"If the bald eagle is not awful, then Dave is not rough.","(S (SBAR (IN If) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (ADJP (RB not) (ADJP (JJ awful)))))) (, ,) (ADVP (RB then)) (NP (NNP Dave)) (VP (VBZ is) (RB not) (ADJP (JJ rough))) (. .))"
85,"If the bald eagle is not awful, then Dave is not rough.","(S (SBAR (IN If) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (ADJP (RB not) (ADJP (JJ awful)))))) (, ,) (ADVP (RB then)) (NP (NNP Dave)) (VP (VBZ is) (RB not) (ADJP (JJ rough))) (. .))"
86,"If the bald eagle is fierce, then the bear is boring.","(S (SBAR (IN If) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (ADJP (JJ fierce))))) (, ,) (ADVP (RB then)) (NP (DT the) (NN bear)) (VP (VBZ is) (ADJP (JJ boring))) (. .))"
87,"If the bald eagle is fierce, then the bear is boring.","(S (SBAR (IN If) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (ADJP (JJ fierce))))) (, ,) (ADVP (RB then)) (NP (DT the) (NN bear)) (VP (VBZ is) (ADJP (JJ boring))) (. .))"
88,"If the bald eagle is not fierce, then Charlie is not tired.","(S (SBAR (IN If) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (ADJP (RB not) (ADJP (JJ fierce)))))) (, ,) (ADVP (RB then)) (NP (NNP Charlie)) (VP (VBZ is) (RB not) (ADJP (JJ tired))) (. .))"
89,"If the bald eagle is not fierce, then Charlie is not tired.","(S (SBAR (IN If) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (ADJP (RB not) (ADJP (JJ fierce)))))) (, ,) (ADVP (RB then)) (NP (NNP Charlie)) (VP (VBZ is) (RB not) (ADJP (JJ tired))) (. .))"
90,"If the bald eagle is heavy, then Gary is angry.","(S (SBAR (IN If) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (ADJP (JJ heavy))))) (, ,) (ADVP (RB then)) (NP (NNP Gary)) (VP (VBZ is) (ADJP (JJ angry))) (. .))"
