sentence1,sentence2,label
"If the cat is thin, then Fiona is kind.",The roots are thin or Fiona is kind.,1
"If the tiger is powerful, then the bear is not reckless.",Tigers are powerful or bears are reckless.,1
"If the crocodile is not smart, then the mouse is boring.",The crocodile is smart if the mouse is not boring.,1
the dinosaur is dull or Anne is not big.,The dinosaur is dull or Anne is big.,0
"If the wolf is not quiet, then the dinosaur is not poor.","If the dinosaur was poor, the wolf would be quiet.",0
Gary is not huge or the crocodile is strong.,"If Gary were not huge, the crocodile would be strong.",1
Alan is bad and the dog is not beautiful.,The dog is not beautiful and Alan is bad.,1
"If the cat is poor, then Anne is round.",Anne would be round without a poor cat.,0
Alan is not sad or Fiona is horrible.,Alan is not sad or Fiona isn't horrible.,0
Harry is not lazy and the rabbit is awful.,Harry is not lazy and the rabbit is not awful.,0
"If the snake is not little, then the bear is boring.","If the snake was little, the bear would be bored.",0
Erin is thin or the crocodile is not short.,"If Erin is thin, the crocodile will not be short.",1
"If Harry is not round, then the tiger is fierce.","If Harry was round, the tiger would be fierce.",0
the cat is thin or the rabbit is not slow.,The cat is thin or the rabbit slow.,0
"If the tiger is cute, then the bald eagle is rough.",Blistering Eagles are rough if the Tiger isn't cute.,0
"If the crocodile is not high, then the bear is not round.",The crocodiles are high when the bears are round.,1
"If Erin is not high, then Gary is not lovely.",Gary would not be lovely if Erin were high.,0
"If the rabbit is dull, then the lion is fierce.",The root of a rabbit is dull or the lion is fierce.,1
"If the snake is not sad, then Gary is lazy.","If Gary wasn't lazy, the snake would be sad.",1
the lion is not strong and the crocodile is huge.,The lion is not strong and the crocodile is not huge.,0
the dinosaur is angry.,The dinosaur is unangry.,0
"If Alan is not kind, then the wolf is not beautiful.",Alan is kind to the wolves if they are beautiful.,1
Anne is little and the squirrel is not dull.,Anne is little and the squirrel is dull.,0
the snake is not sad and the tiger is kind.,The snake is not sad and the tiger is not kind.,0
"If the cat is not angry, then the cat is nice.",No anger or being nice to the cats.,1
"If the snake is horrible, then Anne is round.","Anne would be round, if the snake wasn't horrible.",0
Anne is sad or the dinosaur is short.,"If Anne is sad, dinosaurs are short.",1
"If the dog is not reckless, then Gary is not furry.",Gary is not furry or reckless.,1
Erin is not horrible and the dinosaur is not dull.,Erin is not horrible and the dinosaur is dull.,0
the bear is strong and the tiger is huge.,"The bears are not weak, the tigers are huge.",1
"If Charlie is not huge, then Harry is angry.",Charlie would be huge if Harry wasn't angry.,1
"If Bob is not slow, then Gary is not dull.",Gary would not be dull if Bob were slow.,0
Erin is not furry or the dog is not strong.,Erin is not furry or strong as a dog.,0
Gary is dull or the tiger is beautiful.,The tiger would be beautiful if Gary were dull.,1
"If the bear is fierce, then the dinosaur is not bad.","If dinosaurs were bad, bears wouldn't be fierce.",1
"If the bald eagle is funny, then the bear is funny.","If the bald eagle wasn't funny, then a bear would have been funny.",0
"If Charlie is beautiful, then the lion is not angry.",Charlie isn't beautiful if the Lion is angry.,1
Anne is not rough and the crocodile is not high.,The crocodile was not high and Anne was not rough.,1
Dave is not high and Fiona is not furry.,Dave is not high and Fiona is furry.,0
Dave is not clever and Fiona is quiet.,Fiona was quiet and Dave was not clever.,1
"If the dog is not round, then the leopard is not angry.",The dog isn't round or angry with the leopard.,1
the dog is not funny and the rabbit is not smart.,The bunny is not smart and the dog is not funny.,1
"If the leopard is slow, then the bear is not thin.",The bear is not thin if the leopard isn't slow.,0
"If Charlie is heavy, then Bob is not angry.","If Charlie wasn't heavy, Bob wouldn't be angry.",0
"If Charlie is rough, then Bob is not funny.",Bob is not funny if Charlie isn't rough.,0
"If Erin is not rough, then the dog is strong.",Erin would be rough if the dog was not strong.,1
Harry is powerful or Fiona is not lovely.,"If Harry were powerful, Fiona would not be lovely.",1
the squirrel is nice and Charlie is big.,Charlie is big and the squirrel is nice.,1
the squirrel is not short and the mouse is rough.,The squirrel is not short and the mouse is not rough.,0
the snake is not round and the cat is not rough.,The snake is not round and the cat is rough.,0
Anne is short and the snake is poor.,Anne is short and the snake isn't poor.,0
Bob is not funny or Gary is fierce.,Bob is not funny or Gary isn't fierce.,0
"If the mouse is clever, then the cat is thin.",-The mouse is clever or the cat is thin.,1
"If the rabbit is nice, then Dave is slow.","If Dave wasn't slow, bunnies wouldn't be nice.",1
"If Alan is poor, then the bald eagle is not wealthy.","If Alan wasn't poor, he's not a wealthy Bald Eagle.",0
Charlie is not nice or Anne is smart.,Anne would be smart if Charlie was not nice.,1
"If Erin is not round, then the cat is huge.","If Erin was round, the cat would be huge.",0
the wolf is not tiny or the lion is not bad.,"If the wolf was not tiny, the lion would not be bad.",1
Bob is not sleepy or Charlie is not rough.,Charlie would not be rough if Bob was not sleepy.,1
"If the mouse is not tired, then the lion is not kind.",'' No mouse gets tired or the lion isn't kind.,1
"If the crocodile is not bad, then Fiona is not tiny.","If Fiona was tiny, the crocodile would have been bad.",0
"If the mouse is not nice, then Charlie is not quiet.",Charlie would not be quiet if the mouse was nice.,0
"If the bear is not dull, then Harry is dull.","Harry is dull, not the bear.",1
Erin is not slow and the tiger is cute.,Erin is not slow and the tiger isn't cute.,0
"If the leopard is rough, then the lion is nice.",The leopard isn't rough unless the lion is nice.,1
"If Erin is horrible, then Fiona is not sad.","If Erin wasn't horrible, Fiona would not be sad.",0
"If the lion is not powerful, then the snake is sad.",The lion is not powerful or the snake is sad.,1
"If the wolf is powerful, then the wolf is kind.",A wolf is kind if powerless.,0
"If the leopard is not reckless, then the cat is smart.","Whether the leopard is reckless or smart, the cat is not.",1
the tiger is powerful.,The tiger is powerless.,0
"If the tiger is boring, then the squirrel is heavy.","The squirrel is heavy, or the tiger is boring.",1
"If Dave is angry, then the snake is rough.","If Dave was unangry, the snake would be rough.",0
Charlie is dull and Gary is not tiny.,Gary is not tiny and Charlie is dull.,1
the bald eagle is quiet or the crocodile is not cute.,"If the Bald Eagle was quiet, the crocodile would not be cute.",1
"If Charlie is not slow, then Dave is not tiny.","Dave is not tiny, Charlie is slow.",0
Fiona is short and Gary is short.,Fiona is short and Gary isn't.,0
Harry is lazy or the wolf is kind.,"If Harry was lazy, the wolf would be kind.",1
Gary is thin or the bear is nice.,"If Gary is thin, a bear is nice.",1
"If the mouse is kind, then Gary is not beautiful.",The mouse is kind or Gary isn't beautiful.,1
Gary is not smart and Gary is not lovely.,Gary is not smart and lovely.,0
Anne is small or the dinosaur is round.,"If Anne were small, the dinosaur would be round.",1
"If the dinosaur is not bad, then the squirrel is not heavy.",The dinosaurs are bad if the squirrels are heavy.,1
"If the dog is not tired, then Alan is not fierce.",Alan is not fierce or the dog tired.,1
Dave is not round or Bob is quiet.,Bob would be quiet if Dave were not round.,1
the wolf is not tired and Gary is not strong.,The wolf is not tired and Gary is strong.,0
"If the tiger is not kind, then Anne is not nice.",Tigers aren't kind or nice to Anne.,1
"If the dog is not thin, then the squirrel is not quiet.",The dog isn't thin or the squirrel is quiet.,1
"If Bob is smart, then the leopard is smart.",Bob isn't smart if the leopard isn't smart.,1
"If Charlie is not wealthy, then the dinosaur is dull.","If the dinosaur was not dull, Charlie would be wealthy.",0
"If Anne is rough, then the leopard is not cute.",Whether Anne is rough or the leopard isn't cute.,1
Dave is not dull or Charlie is awful.,Dave is not dull or Charlie isn't awful.,0
"If the cat is not funny, then the rabbit is reckless.",Whether the cat isn't funny or the bunny is reckless.,1
"If Dave is huge, then Bob is not furry.",Bob would not be furry if Dave weren't huge.,0
the snake is horrible or the bald eagle is not strong.,The snake is horrible or the bald eagle is strong.,0
the tiger is cute and Gary is tiny.,Gary is tiny and the tiger is cute.,1
the crocodile is not slow or the dinosaur is not dull.,The dinosaur would not be dull if the crocodile was not slow.,1
"If Alan is powerful, then Fiona is not round.","If Alan wasn't powerful, Fiona would not be round.",0
"If the mouse is not sleepy, then Fiona is little.",Fiona would be little if the mouse was sleepy.,0
Gary is not rough and the lion is not slow.,The lion is not slow and Gary is not rough.,1
"If Charlie is not slow, then Dave is not tiny.",Charlie would be slow if Dave were tiny.,0
"If the snake is round, then Bob is not big.",The snake is round or Bob isn't big.,1
"If the mouse is not beautiful, then Gary is small.","Gary is small, or the mouse is not beautiful.",1
"If the dog is rough, then the cat is awful.",The cat is awful if the dog isn't rough.,0
"If Alan is small, then Harry is slow.",Alan wouldn't be small if Harry wasn't slow.,1
the bear is not small or the squirrel is not clever.,The bear is not small or the squirrel clever.,0
"If the bear is not tiny, then the lion is not boring.",If a lion bore a bear it would be tiny.,1
the mouse is cute and Charlie is not lovely.,The mouse is cute and Charlie is lovely.,0
the mouse is not little and Anne is smart.,The mouse is not little and Anne isn't smart.,0
"If Alan is high, then the rabbit is strong.","If Alan is high, the rabbit will be weak.",0
the squirrel is not short or the mouse is rough.,The squirrel is not short or the mouse is not rough.,0
the cat is not funny and Harry is not horrible.,Harry is not horrible and the cat is not funny.,1
the tiger is not tiny and the bear is big.,The bear is big and the tiger is not tiny.,1
"If Fiona is not thin, then Charlie is beautiful.",Fiona isn't thin or Charlie beautiful.,1
"If the snake is horrible, then Anne is round.","Anne would be round, if the snake wasn't horrible.",0
"If the rabbit is not nice, then Alan is thin.",Alan is thin if the bunny is nice.,0
"If Charlie is not tiny, then Fiona is smart.",Charlie would be tiny without Fiona being smart.,1
"If Erin is not high, then Gary is not lovely.","If Gary were lovely, Erin would be high.",1
Fiona is powerful or the leopard is not nice.,"If Fiona is powerful, the leopard is not nice.",1
"If the squirrel is not rough, then the bald eagle is not fierce.","The Bald Eagle is not fierce, or the squirrel rough.",0
Bob is not short or Fiona is dull.,"If Bob is not short, Fiona will be dull.",1
Bob is not dull or Dave is tiny.,"If Bob is not dull, Dave is tiny.",1
the dinosaur is not rough and Alan is not angry.,The dinosaur is not rough and Alan is angry.,0
"If Harry is not short, then the crocodile is heavy.",Harry isn't short or crocodile heavy.,1
the dinosaur is quiet and the cat is tiny.,The cat was tiny and the dinosaur was quiet.,1
"If Gary is not wealthy, then the snake is not big.","The snake is not big, Gary is not wealthy.",1
Bob is not kind or Bob is dull.,Bob is not kind or dull.,0
Erin is fierce and Fiona is not beautiful.,Erin is fierce and Fiona is beautiful.,0
Dave is not bad or Alan is boring.,Dave is not bad or Alan is boring.,0
"If the squirrel is high, then the lion is reckless.",The lion is reckless if the squirrel isn't high.,0
"If the squirrel is quiet, then Dave is not quiet.",Dave would not be quiet without a squirrel.,0
the squirrel is nice or Charlie is big.,Charlie would be big if the squirrel was nice.,1
"If the mouse is not strong, then the tiger is high.","If the tiger is not high, the mouse is strong.",0
"If the dinosaur is powerful, then the mouse is kind.",The dinosaurs are not powerful if the mouse isn't kind.,1
"If the dog is not poor, then the mouse is boring.","The mouse is boring, the dog is not poor.",1
the dog is not short or Alan is not kind.,Alan would not be kind if the dog was not short.,1
the tiger is not little or the bald eagle is clever.,The tiger is not little or the bald eagle isn't clever.,0
the snake is not tired and the dinosaur is kind.,The snake is not tired and the dinosaur is not kind.,0
"If Bob is not quiet, then the dinosaur is not huge.","Bob wasn't quiet or huge, the dinosaur wasn't.",1
the bear is not nice or the squirrel is small.,The bear is not nice or the squirrel is small.,0
"If the squirrel is not funny, then the rabbit is kind.",The squirrel is funny if the bunny isn't kind.,1
Dave is tired or Charlie is not funny.,Charlie would not be funny if Dave was tired.,1
"If Anne is not dull, then the squirrel is horrible.","If Anne was dull, the squirrel would have been horrible.",0
the tiger is lovely or Erin is funny.,"If the tiger is lovely, Erin would be funny.",1
"If Anne is not poor, then the rabbit is not strong.",Anne would be poor if the rabbit was strong.,1
Anne is funny or the rabbit is boring.,"If Anne was funny, the rabbit would be boring.",1
the leopard is strong or the leopard is quiet.,The leopard is weak or quiet.,0
"If the rabbit is kind, then Fiona is not bad.",Fiona is not bad if the bunny isn't kind.,0
"If Erin is big, then Charlie is small.","Charlie is small, Erin isn't big.",0
"If the snake is powerful, then Erin is strong.",Erin would not be weak if the snake was powerful.,1
"If the snake is huge, then the lion is not high.",The lion is not high if the snake isn't huge.,0
the tiger is furry and Charlie is not furry.,"Charlie is not furry, and the tiger is furry.",1
"If the bald eagle is tired, then Gary is strong.","Gary is strong, or the bald eagle isn't tired.",0
"If Harry is funny, then the bear is not bad.",Not that the bear is bad if Harry wasn't funny.,0
"If Harry is little, then the bear is quiet.",Harry was little or the bear quiet.,1
"If the mouse is powerful, then Anne is not dull.",Anne is not dull without a mouse power.,0
Harry is not funny or Anne is not rough.,Harry is not funny or rough with Anne.,0
"If the rabbit is not awful, then Charlie is quiet.",No bunny awful or Charlie quiet.,1
the mouse is smart and the bald eagle is nice.,The bald eagle is nice and the mouse is smart.,1
the dog is rough or the mouse is cute.,The dog is rough or the mouse isn't cute.,0
the leopard is sleepy and Fiona is not horrible.,Fiona was not horrible and the leopard was sleepy.,1
the rabbit is strong.,The rabbit is weak.,0
"If Charlie is not tiny, then Fiona is smart.","If Charlie were tiny, Fiona would be smart.",0
"If Fiona is tired, then the bald eagle is fierce.","-Fools, or - the bald eagles are fierce.",1
the dog is rough or the lion is short.,"A lion is short, a rough dog.",1
the snake is not nice or the tiger is poor.,"If the snake is not nice, the tiger is poor.",1
Charlie is horrible or Alan is kind.,Charlie was horrible or Alan was unkind.,0
"If Charlie is not thin, then the leopard is not lazy.",The leopard is not lazy or thin Charlie.,0
Bob is not furry or Gary is not cute.,Gary would not be cute if Bob was not furry.,1
"If the snake is clever, then Gary is not dull.",The snake isn't clever if Gary is dull.,1
Bob is huge and the squirrel is not nice.,The squirrel is not nice and Bob is huge.,1
the dog is not strong or the tiger is not huge.,The dog is not strong or the tiger huge.,0
"If Bob is nice, then the cat is not heavy.","If the cat is heavy, Bob is not nice.",0
Erin is round or Gary is round.,Erin is round or Gary isn't round.,0
"If the bear is smart, then the bald eagle is quiet.",Bears are smart or bald eagles quiet.,1
"If the bald eagle is sad, then Alan is not round.",Alan is not round if the bald eagle is sad.,0
"If Harry is tiny, then Fiona is slow.","If Fiona wasn't slow, Harry wouldn't be tiny.",1
the bald eagle is not horrible and Fiona is angry.,Fiona was angry and bald was not horrible.,1
the wolf is high or the wolf is quiet.,The wolf was high or quiet.,0
"If the squirrel is powerful, then the crocodile is not strong.","Crocodiles are not strong, squirrels are not powerful.",0
the squirrel is slow and the snake is strong.,The squirrel is slow and the snake is weak.,1
the wolf is not cute or the squirrel is fierce.,The wolf is not cute or the squirrel is fierce.,0
the mouse is dull or Harry is not tired.,"If the mouse is dull, Harry is not tired.",1
the bear is tiny and the snake is not dull.,The bear is tiny and the snake dull.,0
Harry is not tired and Gary is not heavy.,Gary is not heavy and Harry is not tired.,1
the dog is not nice or the squirrel is not dull.,Not nice a dog or squirrel that is dull.,0
"If the bald eagle is not beautiful, then Erin is not nice.","If Erin was nice, the bald eagle would be beautiful.",1
the cat is awful and the rabbit is nice.,The cat is awful and the rabbit isn't nice.,0
"If the tiger is not short, then the cat is heavy.","If the tiger is short, the cat is heavy.",0
the bald eagle is not strong or Harry is furry.,Harry would be furry if the Bald Eagle was not strong.,1
"If the dog is angry, then Charlie is not lovely.",Angry Dogs or Charlie Not Lovely.,1
"If the lion is not cute, then the wolf is not powerful.",The wolf is not powerful if the lion is cute.,0
"If Harry is poor, then the cat is not reckless.","If Harry wasn't poor, the cat was not reckless.",0
"If the squirrel is rough, then the cat is not cute.",The cat is not cute unless the squirrel is rough.,0
the snake is furry and the lion is smart.,The snake is furry and the lion isn't smart.,0
"If Alan is strong, then Charlie is not reckless.",Charlie would not be reckless if Alan wasn't strong.,0
"If Fiona is not beautiful, then the crocodile is not powerful.",Fiona would be beautiful if a crocodile was powerful.,1
"If the wolf is not tiny, then Fiona is not beautiful.",Fiona would not be beautiful if the wolf were tiny.,0
the wolf is not powerful or the bear is not strong.,The wolf is not powerful or the bear is strong.,0
"If Dave is horrible, then Bob is tiny.","Bob is tiny, Dave isn't horrible.",0
"If Erin is not high, then Gary is not lovely.",Gary would not be lovely if Erin were high.,0
the dog is dull or Harry is slow.,The dog is dull or Harry is slow.,0
"If Gary is not smart, then Charlie is wealthy.","If Charlie is not wealthy, Gary would be smart.",0
Charlie is not big or the dinosaur is not beautiful.,"If Charlie is not big, then the dinosaur is not beautiful.",1
"If Fiona is not dull, then the snake is not awful.",Fiona isn't dull or the snake isn't awful.,1
"If the bear is not huge, then the bald eagle is sad.","The bald eagle is sad, if the bear is huge.",0
"If the dinosaur is not sleepy, then the mouse is horrible.","If the mouse wasn't horrible, dinosaurs would be sleepy.",1
the lion is smart or Charlie is strong.,The Lion is smart or Charlie is weak.,0
the mouse is not funny or Gary is cute.,Gary would be cute if the mouse was not funny.,1
"If Charlie is not slow, then Dave is not tiny.",Charlie would be slow if Dave were tiny.,1
"If Dave is dull, then the dog is not thin.",Dave is dull or the dog isn't thin.,1
"If the dinosaur is bad, then Bob is not heavy.","Bob is not heavy, or the dinosaur is bad.",1
"If the leopard is high, then the mouse is bad.","Bad mouse, or high leopard.",0
Erin is lovely and the dinosaur is dull.,The dinosaur is dull and Erin is lovely.,1
"If Anne is bad, then the tiger is round.","If Anne wasn't bad, the tiger would have been round.",0
the leopard is clever and Anne is not little.,The leopard is clever and Anne is a little.,0
"If Dave is not wealthy, then the wolf is sad.","If the wolves weren't sad, Dave would be wealthy.",1
"If the bear is not short, then Alan is not cute.","Bears aren't short or cute, Alan isn't.",1
Charlie is dull or Dave is not clever.,Charlie is dull or Dave clever.,0
"If Dave is strong, then the tiger is dull.","If Dave wasn't strong, the tiger would have been dull.",0
"If Bob is furry, then Alan is clever.",Bob is furry or Alan clever.,1
"If Dave is lazy, then the lion is big.","If Dave wasn't lazy, the lion would be big.",0
Anne is not bad and Erin is tiny.,Erin is tiny and Anne is not bad.,1
the tiger is not quiet and the snake is sad.,The snake was sad and the tiger was not quiet.,1
"If the lion is not small, then Gary is not nice.",If the lion was small Gary would not have been nice.,0
the mouse is not round or Harry is horrible.,"Not round the mouse, or horrible Harry.",0
"If the wolf is not dull, then the squirrel is not lovely.",Wolfes aren't dull or squirrels aren't lovely.,1
"If the wolf is awful, then the squirrel is quiet.","If the wolf wasn't awful, the squirrel would be quiet.",0
the leopard is big and Alan is not nice.,Alan is not nice and the leopard is big.,1
"If the snake is slow, then Bob is dull.",Bob would be dull if the snake wasn't slow.,0
"If the tiger is heavy, then the leopard is rough.",Tigers aren't heavy unless the leopards are rough.,1
the bear is not lovely or the dinosaur is not dull.,"If the bear is not lovely, the dinosaur is not dull.",1
the dinosaur is not cute or the crocodile is not sad.,The dinosaur is not cute or the crocodile sad.,0
"If the cat is not bad, then Erin is thin.","Not bad for the cat, or Erin thin.",1
"If Dave is rough, then the bald eagle is big.",Dave isn't rough unless the bald eagle is big.,1
"If the snake is not wealthy, then the bald eagle is furry.","If the Bald Eagle was not furry, the Snake would be wealthy.",0
Harry is bad or the cat is rough.,"If Harry was bad, the cat would be rough.",1
"If the bear is not fierce, then Gary is tired.","If the bear is fierce, Gary is tired.",0
the wolf is furry and the leopard is not small.,The wolf is furry and the leopard is small.,0
"If the lion is angry, then Charlie is thin.","If Charlie wasn't thin, the Lion wouldn't be angry.",1
"If the snake is dull, then the tiger is not strong.",The snake would not be dull if the tiger were strong.,1
Dave is not rough and Anne is not huge.,Dave is not rough and Anne is huge.,0
Gary is not tiny or Charlie is not fierce.,Charlie would not be fierce if Gary were not tiny.,1
"If the cat is not strong, then the tiger is tiny.",The cat is strong if the tiger isn't tiny.,1
the mouse is funny or Dave is dull.,The mouse is funny or Dave is dull.,0
Gary is not angry and the snake is not little.,The snake is not little and Gary is not angry.,1
the dinosaur is cute or the crocodile is lovely.,The crocodile would be lovely if the dinosaur was cute.,1
"If Harry is nice, then Harry is not high.","Whether he's been nice or not high, Harry is the root.",1
Harry is thin or the squirrel is slow.,Harry is thin or the squirrel is slow.,0
"If Fiona is not angry, then the rabbit is not poor.",Bunny is not poor or angry with Fiona.,0
"If the mouse is thin, then Dave is round.",The mouse isn't thin unless Dave is round.,1
the tiger is angry and the tiger is not dull.,The tiger was not dull and angry.,1
"If Anne is not small, then Anne is small.","Anne is small, not small.",1
"If the bear is not rough, then Gary is not poor.","If Gary were poor, the bear would be rough.",1
"If the tiger is not heavy, then the lion is not dull.",Tigers aren't heavy or lions dull.,1
"If Charlie is boring, then the squirrel is big.",Charlie isn't boring unless the squirrel is big.,1
the crocodile is fierce or the rabbit is not angry.,"If the crocodile is fierce, bunny is not angry.",1
"If the snake is not short, then Harry is not cute.",Harry is not cute if the snake is short.,0
"If Charlie is tired, then the dog is reckless.","If the dog isn't tired, it's reckless.",0
"If Fiona is not furry, then Anne is heavy.","Anne is heavy, Fiona is not furry.",1
the crocodile is big and Bob is high.,Bob is high and the crocodile is big.,1
the bear is not little and Erin is not horrible.,Erin was not horrible and the bear was not little.,1
Dave is not beautiful and the dog is boring.,Dave is not beautiful and the dog isn't boring.,0
"If the mouse is not quiet, then the bald eagle is not kind.","When the mouse is quiet, the Bald Eagle is not kind.",0
the mouse is not dull or Fiona is not short.,Fiona would not be short if the mouse was not dull.,1
"If the dog is not huge, then Erin is not sleepy.",The dog isn't huge or Erin isn't sleepy.,1
"If the bear is boring, then Erin is huge.",Erin would be huge if the bear wasn't boring.,0
the wolf is not high and the lion is not horrible.,The lion is not horrible and the wolf is not high.,1
Erin is not furry and the dog is not strong.,Erin is not furry and the dog is strong.,0
"If the lion is tiny, then the bear is not wealthy.","If the bear was wealthy, the lion would not be tiny.",0
Harry is short or the snake is beautiful.,The snake would be beautiful if Harry was short.,1
"If the crocodile is boring, then the lion is not sleepy.",The lion is not sleepy if the crocodile isn't bored.,0
"If the crocodile is rough, then the snake is not strong.",Crocodiles are not rough if the snake is strong.,0
Fiona is not big and the dog is big.,Fiona is not big and the dog isn't big.,0
"If Charlie is tiny, then the snake is not beautiful.",Charlie isn't tiny if the snake is beautiful.,1
Alan is little and the wolf is bad.,Bad wolf and Alan is a little.,1
Fiona is poor and Fiona is dull.,Fiona is dull and poor.,1
"If the bear is fierce, then the dinosaur is not bad.",Bears are fierce or dinosaurs are not bad.,1
Fiona is sleepy or the tiger is not kind.,"If Fiona is sleepy, the tiger is not kind.",1
Dave is not cute and the dinosaur is nice.,"Nice dinosaur, and Dave is not cute.",1
the snake is tiny or the rabbit is dull.,The rabbit would be dull if the snake were tiny.,1
"If Alan is big, then Anne is little.",Anne would be little if Alan weren't big.,0
Gary is not sad or the wolf is fierce.,Gary is not sad or fierce.,0
"If the snake is powerful, then Erin is strong.","Erin is strong, or the snake isn't powerful.",0
Dave is beautiful and the snake is tiny.,Dave is beautiful and the snake isn't tiny.,0
"If the bald eagle is not fierce, then Charlie is not tired.","When Charlie gets tired, the bald eagle is fierce.",1
the crocodile is not powerful and Fiona is not clever.,Fiona is not clever and the crocodile is not powerful.,1
Harry is not round or the dinosaur is not angry.,"If Harry is not round, then the dinosaur is not angry.",1
"If Gary is high, then the cat is tired.",Gary isn't high if the cat isn't tired.,1
the mouse is not rough and Dave is round.,Dave is round and the mouse is not rough.,1
"If the dinosaur is small, then Gary is not sad.","If Gary is sad, the dinosaurs are not small.",1
"If Erin is nice, then Anne is not boring.",Anne is not boring or Erin is nice.,1
the snake is not short and the lion is angry.,Lion angry and snake short.,1
the tiger is slow and Dave is tired.,Dave is tired and the tiger slow.,1
Charlie is not dull or Charlie is cute.,Charlie is cute if not dull.,1
"If the snake is huge, then the lion is not high.",The snake is not huge if the lion is high.,1
the leopard is bad and Anne is powerful.,The leopard is bad and Anne isn't powerful.,0
Harry is strong.,Harry is not weak.,1
"If the crocodile is not dull, then the wolf is not sleepy.",Crocodiles are dull when the Wolf is sleeping.,1
"If the cat is thin, then Fiona is kind.",Fiona is kind if the cat isn't thin.,0
the bald eagle is not beautiful and the lion is not sleepy.,The Bald Eagle is not beautiful and the Lion is sleepy.,0
Fiona is sleepy and the tiger is not kind.,Fiona is sleepy and the tiger is kind.,0
"If the cat is not lazy, then the leopard is not lazy.","If the cat is lazy, the leopard is not lazy.",0
"If the rabbit is not little, then Erin is not high.",Erin would not be high if the rabbit were little.,0
Alan is strong.,Alan is weak.,0
Gary is big or Dave is not wealthy.,If Gary were big Dave would not be wealthy.,1
the tiger is not small and Anne is clever.,The tiger is not small and Anne isn't clever.,0
