,Original_Sentence,Parsed_Sentence
24,the snake is not rough or Gary is cute.,(S (S (NP (DT the) (NN snake)) (VP (VBZ is) (RB not) (ADJP (JJ rough)))) (CC or) (S (NP (NNP Gary)) (VP (VBZ is) (ADJP (JJ cute)))) (. .))
25,the dog is beautiful or the wolf is quiet.,(S (S (NP (DT the) (NN dog)) (VP (VBZ is) (ADJP (JJ beautiful)))) (CC or) (S (NP (DT the) (NN wolf)) (VP (VBZ is) (ADJP (JJ quiet)))) (. .))
26,the squirrel is not lazy or the leopard is wealthy.,(S (S (NP (DT the) (NN squirrel)) (VP (VBZ is) (RB not) (ADJP (JJ lazy)))) (CC or) (S (NP (DT the) (NN leopard)) (VP (VBZ is) (ADJP (JJ wealthy)))) (. .))
27,"If the bald eagle is furry, then the mouse is not funny.","(S (SBAR (IN If) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (ADJP (JJ furry))))) (, ,) (ADVP (RB then)) (NP (DT the) (NN mouse)) (VP (VBZ is) (RB not) (ADJP (JJ funny))) (. .))"
28,Fiona is lovely or Harry is sad.,(S (NP (NNP Fiona)) (VP (VBZ is) (ADJP (JJ lovely)) (CC or) (NP (NNP Harry)) (VP (VBZ is) (ADJP (JJ sad)))) (. .))
29,the lion is poor or Alan is not heavy.,(S (S (NP (DT the) (NN lion)) (VP (VBZ is) (ADJP (JJ poor)))) (CC or) (S (NP (NNP Alan)) (VP (VBZ is) (RB not) (ADJP (JJ heavy)))) (. .))
30,Gary is not little and the dog is cute.,(S (S (NP (NNP Gary)) (VP (VBZ is) (RB not) (NP (JJ little)))) (CC and) (S (NP (DT the) (NN dog)) (VP (VBZ is) (ADJP (JJ cute)))) (. .))
31,"If Alan is furry, then Bob is powerful.","(S (SBAR (IN If) (S (NP (NNP Alan)) (VP (VBZ is) (ADJP (JJ furry))))) (, ,) (ADVP (RB then)) (NP (NNP Bob)) (VP (VBZ is) (ADJP (JJ powerful))) (. .))"
32,"If Fiona is reckless, then Alan is beautiful.","(S (SBAR (IN If) (S (NP (NNP Fiona)) (VP (VBZ is) (ADJP (JJ reckless))))) (, ,) (ADVP (RB then)) (NP (NNP Alan)) (VP (VBZ is) (ADJP (JJ beautiful))) (. .))"
33,Dave is reckless or the bald eagle is tired.,(S (S (NP (NNP Dave)) (VP (VBZ is) (ADJP (JJ reckless)))) (CC or) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (ADJP (JJ tired)))) (. .))
34,"If Alan is angry, then the bear is not lovely.","(S (SBAR (IN If) (S (NP (NNP Alan)) (VP (VBZ is) (ADJP (JJ angry))))) (, ,) (ADVP (RB then)) (NP (DT the) (NN bear)) (VP (VBZ is) (RB not) (ADJP (JJ lovely))) (. .))"
35,Erin is not dull and the crocodile is high.,(S (S (NP (NNP Erin)) (VP (VBZ is) (RB not) (ADJP (JJ dull)))) (CC and) (S (NP (DT the) (NN crocodile)) (VP (VBZ is) (ADJP (JJ high)))) (. .))
36,"If the leopard is not rough, then the leopard is not dull.","(S (SBAR (IN If) (S (NP (DT the) (NN leopard)) (VP (VBZ is) (RB not) (ADJP (JJ rough))))) (, ,) (ADVP (RB then)) (NP (DT the) (NN leopard)) (VP (VBZ is) (RB not) (ADJP (JJ dull))) (. .))"
37,the rabbit is strong or Gary is not fierce.,(S (S (NP (DT the) (NN rabbit)) (VP (VBZ is) (ADJP (JJ strong)))) (CC or) (S (NP (NNP Gary)) (VP (VBZ is) (RB not) (ADJP (JJ fierce)))) (. .))
38,"If Harry is poor, then the cat is not reckless.","(S (SBAR (IN If) (S (NP (NNP Harry)) (VP (VBZ is) (ADJP (JJ poor))))) (, ,) (ADVP (RB then)) (NP (DT the) (NN cat)) (VP (VBZ is) (RB not) (ADJP (JJ reckless))) (. .))"
39,Anne is little or the squirrel is not dull.,(S (NP (NP (NNP Anne)) (VBZ is) (NP (NP (JJ little)) (CC or) (NP (DT the) (NN squirrel)))) (VP (VBZ is) (RB not) (ADJP (JJ dull))) (. .))
40,the tiger is dull and the tiger is not nice.,(S (S (NP (DT the) (NN tiger)) (VP (VBZ is) (ADJP (JJ dull)))) (CC and) (S (NP (DT the) (NN tiger)) (VP (VBZ is) (RB not) (ADJP (JJ nice)))) (. .))
41,"If the crocodile is not little, then the cat is strong.","(S (SBAR (IN If) (S (NP (DT the) (NN crocodile)) (VP (VBZ is) (ADJP (RB not) (ADJP (JJ little)))))) (, ,) (ADVP (RB then)) (NP (DT the) (NN cat)) (VP (VBZ is) (ADJP (JJ strong))) (. .))"
42,"If Charlie is not short, then the wolf is not dull.","(S (SBAR (IN If) (S (NP (NNP Charlie)) (VP (VBZ is) (ADJP (RB not) (ADJP (JJ short)))))) (, ,) (ADVP (RB then)) (NP (DT the) (NN wolf)) (VP (VBZ is) (RB not) (ADJP (JJ dull))) (. .))"
43,Charlie is not sad and the mouse is not high.,(S (S (NP (NNP Charlie)) (VP (VBZ is) (RB not) (ADJP (JJ sad)))) (CC and) (S (NP (DT the) (NN mouse)) (VP (VBZ is) (RB not) (ADJP (JJ high)))) (. .))
44,the snake is thin or the bear is dull.,(S (S (NP (DT the) (NN snake)) (VP (VBZ is) (ADJP (JJ thin)))) (CC or) (S (NP (DT the) (NN bear)) (VP (VBZ is) (ADJP (JJ dull)))) (. .))
45,"If the cat is thin, then Fiona is kind.","(S (SBAR (IN If) (S (NP (DT the) (NN cat)) (VP (VBZ is) (ADJP (JJ thin))))) (, ,) (ADVP (RB then)) (NP (NNP Fiona)) (VP (VBZ is) (ADJP (JJ kind))) (. .))"
46,"If the tiger is powerful, then the bear is not reckless.","(S (SBAR (IN If) (S (NP (DT the) (NN tiger)) (VP (VBZ is) (ADJP (JJ powerful))))) (, ,) (ADVP (RB then)) (NP (DT the) (NN bear)) (VP (VBZ is) (RB not) (ADJP (JJ reckless))) (. .))"
47,"If the crocodile is not smart, then the mouse is boring.","(S (SBAR (IN If) (S (NP (DT the) (NN crocodile)) (VP (VBZ is) (ADJP (RB not) (ADJP (JJ smart)))))) (, ,) (ADVP (RB then)) (NP (DT the) (NN mouse)) (VP (VBZ is) (ADJP (JJ boring))) (. .))"
48,the dinosaur is dull or Anne is not big.,(S (S (NP (DT the) (NN dinosaur)) (VP (VBZ is) (ADJP (JJ dull)))) (CC or) (NP (NNP Anne)) (VP (VBZ is) (RB not) (ADJP (JJ big))) (. .))
49,"If the wolf is not quiet, then the dinosaur is not poor.","(S (SBAR (IN If) (S (NP (DT the) (NN wolf)) (VP (VBZ is) (RB not) (ADJP (JJ quiet))))) (, ,) (ADVP (RB then)) (NP (DT the) (NN dinosaur)) (VP (VBZ is) (RB not) (ADJP (JJ poor))) (. .))"
50,Gary is not huge or the crocodile is strong.,(S (S (NP (NNP Gary)) (VP (VBZ is) (ADJP (RB not) (ADJP (JJ huge))))) (CC or) (S (NP (DT the) (NN crocodile)) (VP (VBZ is) (ADJP (JJ strong)))) (. .))
51,Alan is bad and the dog is not beautiful.,(S (S (NP (NNP Alan)) (VP (VBZ is) (ADJP (JJ bad)))) (CC and) (S (NP (DT the) (NN dog)) (VP (VBZ is) (RB not) (ADJP (JJ beautiful)))) (. .))
52,"If the cat is poor, then Anne is round.","(S (SBAR (IN If) (S (NP (DT the) (NN cat)) (VP (VBZ is) (ADJP (JJ poor))))) (, ,) (ADVP (RB then)) (NP (NNP Anne)) (VP (VBZ is) (ADJP (JJ round))) (. .))"
53,Alan is not sad or Fiona is horrible.,(S (NP (NNP Alan)) (VP (VBZ is) (RB not) (ADJP (JJ sad)) (CC or) (NP (NNP Fiona)) (VP (VBZ is) (ADJP (JJ horrible)))) (. .))
54,Harry is not lazy and the rabbit is awful.,(S (S (NP (NNP Harry)) (VP (VBZ is) (ADJP (RB not) (ADJP (JJ lazy))))) (CC and) (S (NP (DT the) (NN rabbit)) (VP (VBZ is) (ADJP (JJ awful)))) (. .))
55,"If the snake is not little, then the bear is boring.","(S (SBAR (IN If) (S (NP (DT the) (NN snake)) (VP (VBZ is) (ADJP (RB not) (ADJP (JJ little)))))) (, ,) (ADVP (RB then)) (NP (DT the) (NN bear)) (VP (VBZ is) (ADJP (JJ boring))) (. .))"
56,Erin is thin or the crocodile is not short.,(S (S (NP (NNP Erin)) (VP (VBZ is) (ADJP (JJ thin)))) (CC or) (S (NP (DT the) (NN crocodile)) (VP (VBZ is) (RB not) (ADJP (JJ short)))) (. .))
57,"If Harry is not round, then the tiger is fierce.","(S (SBAR (IN If) (S (NP (NNP Harry)) (VP (VBZ is) (RB not) (ADJP (JJ round))))) (, ,) (ADVP (RB then)) (NP (DT the) (NN tiger)) (VP (VBZ is) (ADJP (JJ fierce))) (. .))"
58,the cat is thin or the rabbit is not slow.,(S (S (NP (DT the) (NN cat)) (VP (VBZ is) (ADJP (JJ thin)))) (CC or) (S (NP (DT the) (NN rabbit)) (VP (VBZ is) (RB not) (ADJP (JJ slow)))) (. .))
59,"If the tiger is cute, then the bald eagle is rough.","(S (SBAR (IN If) (S (NP (DT the) (NN tiger)) (VP (VBZ is) (ADJP (JJ cute))))) (, ,) (ADVP (RB then)) (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (ADJP (JJ rough))) (. .))"
60,"If the crocodile is not high, then the bear is not round.","(S (SBAR (IN If) (S (NP (DT the) (NN crocodile)) (VP (VBZ is) (RB not) (ADJP (JJ high))))) (, ,) (ADVP (RB then)) (NP (DT the) (NN bear)) (VP (VBZ is) (RB not) (ADJP (JJ round))) (. .))"
61,"If Erin is not high, then Gary is not lovely.","(S (SBAR (IN If) (S (NP (NNP Erin)) (VP (VBZ is) (RB not) (ADJP (JJ high))))) (, ,) (ADVP (RB then)) (NP (NNP Gary)) (VP (VBZ is) (RB not) (ADJP (JJ lovely))) (. .))"
62,"If the rabbit is dull, then the lion is fierce.","(S (SBAR (IN If) (S (NP (DT the) (NN rabbit)) (VP (VBZ is) (ADJP (JJ dull))))) (, ,) (ADVP (RB then)) (NP (DT the) (NN lion)) (VP (VBZ is) (ADJP (JJ fierce))) (. .))"
63,"If the snake is not sad, then Gary is lazy.","(S (SBAR (IN If) (S (NP (DT the) (NN snake)) (VP (VBZ is) (ADJP (RB not) (ADJP (JJ sad)))))) (, ,) (ADVP (RB then)) (NP (NNP Gary)) (VP (VBZ is) (ADJP (JJ lazy))) (. .))"
64,the lion is not strong and the crocodile is huge.,(S (S (NP (DT the) (NN lion)) (VP (VBZ is) (ADJP (RB not) (ADJP (JJ strong))))) (CC and) (S (NP (DT the) (NN crocodile)) (VP (VBZ is) (ADJP (JJ huge)))) (. .))
65,the dinosaur is angry.,(S (NP (DT the) (NN dinosaur)) (VP (VBZ is) (ADJP (JJ angry))) (. .))
66,"If Alan is not kind, then the wolf is not beautiful.","(S (SBAR (IN If) (S (NP (NNP Alan)) (VP (VBZ is) (RB not) (ADJP (JJ kind))))) (, ,) (ADVP (RB then)) (NP (DT the) (NN wolf)) (VP (VBZ is) (RB not) (ADJP (JJ beautiful))) (. .))"
67,Anne is little and the squirrel is not dull.,(S (S (NP (NNP Anne)) (VP (VBZ is) (NP (JJ little)))) (CC and) (S (NP (DT the) (NN squirrel)) (VP (VBZ is) (RB not) (ADJP (JJ dull)))) (. .))
68,the snake is not sad and the tiger is kind.,(S (S (NP (DT the) (NN snake)) (VP (VBZ is) (RB not) (ADJP (JJ sad)))) (CC and) (S (NP (DT the) (NN tiger)) (VP (VBZ is) (ADJP (JJ kind)))) (. .))
69,"If the cat is not angry, then the cat is nice.","(S (SBAR (IN If) (S (NP (DT the) (NN cat)) (VP (VBZ is) (ADJP (RB not) (ADJP (JJ angry)))))) (, ,) (ADVP (RB then)) (NP (DT the) (NN cat)) (VP (VBZ is) (ADJP (JJ nice))) (. .))"
70,"If the snake is horrible, then Anne is round.","(S (SBAR (IN If) (S (NP (DT the) (NN snake)) (VP (VBZ is) (ADJP (JJ horrible))))) (, ,) (ADVP (RB then)) (NP (NNP Anne)) (VP (VBZ is) (ADJP (JJ round))) (. .))"
71,Anne is sad or the dinosaur is short.,(S (S (NP (NNP Anne)) (VP (VBZ is) (ADJP (JJ sad)))) (CC or) (S (NP (DT the) (NN dinosaur)) (VP (VBZ is) (ADJP (JJ short)))) (. .))
72,"If the dog is not reckless, then Gary is not furry.","(S (SBAR (IN If) (S (NP (DT the) (NN dog)) (VP (VBZ is) (ADJP (RB not) (ADJP (JJ reckless)))))) (, ,) (ADVP (RB then)) (NP (NNP Gary)) (VP (VBZ is) (RB not) (ADJP (JJ furry))) (. .))"
73,Erin is not horrible and the dinosaur is not dull.,(S (S (NP (NNP Erin)) (VP (VBZ is) (RB not) (ADJP (JJ horrible)))) (CC and) (S (NP (DT the) (NN dinosaur)) (VP (VBZ is) (RB not) (ADJP (JJ dull)))) (. .))
74,the bear is strong and the tiger is huge.,(S (S (NP (DT the) (NN bear)) (VP (VBZ is) (ADJP (JJ strong)))) (CC and) (S (NP (DT the) (NN tiger)) (VP (VBZ is) (ADJP (JJ huge)))) (. .))
75,"If Charlie is not huge, then Harry is angry.","(S (SBAR (IN If) (S (NP (NNP Charlie)) (VP (VBZ is) (ADJP (RB not) (ADJP (JJ huge)))))) (, ,) (ADVP (RB then)) (NP (NNP Harry)) (VP (VBZ is) (ADJP (JJ angry))) (. .))"
76,"If Bob is not slow, then Gary is not dull.","(S (SBAR (IN If) (S (NP (NNP Bob)) (VP (VBZ is) (RB not) (ADJP (JJ slow))))) (, ,) (ADVP (RB then)) (NP (NNP Gary)) (VP (VBZ is) (RB not) (ADJP (JJ dull))) (. .))"
77,Erin is not furry or the dog is not strong.,(S (S (NP (NNP Erin)) (VP (VBZ is) (RB not) (ADJP (JJ furry)))) (CC or) (S (NP (DT the) (NN dog)) (VP (VBZ is) (RB not) (ADJP (JJ strong)))) (. .))
78,Gary is dull or the tiger is beautiful.,(S (S (NP (NNP Gary)) (VP (VBZ is) (ADJP (JJ dull)))) (CC or) (S (NP (DT the) (NN tiger)) (VP (VBZ is) (ADJP (JJ beautiful)))) (. .))
79,"If the bear is fierce, then the dinosaur is not bad.","(S (SBAR (IN If) (S (NP (DT the) (NN bear)) (VP (VBZ is) (ADJP (JJ fierce))))) (, ,) (ADVP (RB then)) (NP (DT the) (NN dinosaur)) (VP (VBZ is) (RB not) (ADJP (JJ bad))) (. .))"
80,"If the bald eagle is funny, then the bear is funny.","(S (SBAR (IN If) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (ADJP (JJ funny))))) (, ,) (ADVP (RB then)) (NP (DT the) (NN bear)) (VP (VBZ is) (ADJP (JJ funny))) (. .))"
81,"If Charlie is beautiful, then the lion is not angry.","(S (SBAR (IN If) (S (NP (NNP Charlie)) (VP (VBZ is) (ADJP (JJ beautiful))))) (, ,) (ADVP (RB then)) (NP (DT the) (NN lion)) (VP (VBZ is) (RB not) (ADJP (JJ angry))) (. .))"
82,Anne is not rough and the crocodile is not high.,(S (S (NP (NNP Anne)) (VP (VBZ is) (RB not) (ADJP (JJ rough)))) (CC and) (S (NP (DT the) (NN crocodile)) (VP (VBZ is) (RB not) (ADJP (JJ high)))) (. .))
83,Dave is not high and Fiona is not furry.,(S (S (NP (NNP Dave)) (VP (VBZ is) (RB not) (ADJP (JJ high)))) (CC and) (S (NP (NNP Fiona)) (VP (VBZ is) (RB not) (ADJP (JJ furry)))) (. .))
84,Dave is not clever and Fiona is quiet.,(S (S (NP (NNP Dave)) (VP (VBZ is) (RB not) (ADJP (JJ clever)))) (CC and) (S (NP (NNP Fiona)) (VP (VBZ is) (ADJP (JJ quiet)))) (. .))
85,"If the dog is not round, then the leopard is not angry.","(S (SBAR (IN If) (S (NP (DT the) (NN dog)) (VP (VBZ is) (RB not) (ADJP (JJ round))))) (, ,) (ADVP (RB then)) (NP (DT the) (NN leopard)) (VP (VBZ is) (RB not) (ADJP (JJ angry))) (. .))"
86,the dog is not funny and the rabbit is not smart.,(S (S (NP (DT the) (NN dog)) (VP (VBZ is) (RB not) (ADJP (JJ funny)))) (CC and) (S (NP (DT the) (NN rabbit)) (VP (VBZ is) (RB not) (ADJP (JJ smart)))) (. .))
87,"If the leopard is slow, then the bear is not thin.","(S (SBAR (IN If) (S (NP (DT the) (NN leopard)) (VP (VBZ is) (ADJP (JJ slow))))) (, ,) (ADVP (RB then)) (NP (DT the) (NN bear)) (VP (VBZ is) (RB not) (ADJP (JJ thin))) (. .))"
88,"If Charlie is heavy, then Bob is not angry.","(S (SBAR (IN If) (S (NP (NNP Charlie)) (VP (VBZ is) (ADJP (JJ heavy))))) (, ,) (ADVP (RB then)) (NP (NNP Bob)) (VP (VBZ is) (RB not) (ADJP (JJ angry))) (. .))"
89,"If Charlie is rough, then Bob is not funny.","(S (SBAR (IN If) (S (NP (NNP Charlie)) (VP (VBZ is) (ADJP (JJ rough))))) (, ,) (ADVP (RB then)) (NP (NNP Bob)) (VP (VBZ is) (RB not) (ADJP (JJ funny))) (. .))"
90,"If Erin is not rough, then the dog is strong.","(S (SBAR (IN If) (S (NP (NNP Erin)) (VP (VBZ is) (RB not) (ADJP (JJ rough))))) (, ,) (ADVP (RB then)) (NP (DT the) (NN dog)) (VP (VBZ is) (ADJP (JJ strong))) (. .))"
91,Harry is powerful or Fiona is not lovely.,(S (S (NP (NNP Harry)) (VP (VBZ is) (ADJP (JJ powerful)))) (CC or) (S (NP (NNP Fiona)) (VP (VBZ is) (RB not) (ADJP (JJ lovely)))) (. .))
92,the squirrel is nice and Charlie is big.,(S (S (NP (DT the) (NN squirrel)) (VP (VBZ is) (ADJP (JJ nice)))) (CC and) (S (NP (NNP Charlie)) (VP (VBZ is) (ADJP (JJ big)))) (. .))
93,the squirrel is not short and the mouse is rough.,(S (S (NP (DT the) (NN squirrel)) (VP (VBZ is) (RB not) (ADJP (JJ short)))) (CC and) (S (NP (DT the) (NN mouse)) (VP (VBZ is) (ADJP (JJ rough)))) (. .))
94,the snake is not round and the cat is not rough.,(S (S (NP (DT the) (NN snake)) (VP (VBZ is) (RB not) (ADJP (JJ round)))) (CC and) (S (NP (DT the) (NN cat)) (VP (VBZ is) (RB not) (ADJP (JJ rough)))) (. .))
95,Anne is short and the snake is poor.,(S (S (NP (NNP Anne)) (VP (VBZ is) (ADJP (JJ short)))) (CC and) (S (NP (DT the) (NN snake)) (VP (VBZ is) (ADJP (JJ poor)))) (. .))
96,Bob is not funny or Gary is fierce.,(S (NP (NNP Bob)) (VP (VBZ is) (RB not) (ADJP (JJ funny)) (CC or) (NP (NNP Gary)) (VP (VBZ is) (ADJP (JJ fierce)))) (. .))
97,"If the mouse is clever, then the cat is thin.","(S (SBAR (IN If) (S (NP (DT the) (NN mouse)) (VP (VBZ is) (ADJP (JJ clever))))) (, ,) (ADVP (RB then)) (NP (DT the) (NN cat)) (VP (VBZ is) (ADJP (JJ thin))) (. .))"
98,"If the rabbit is nice, then Dave is slow.","(S (SBAR (IN If) (S (NP (DT the) (NN rabbit)) (VP (VBZ is) (ADJP (JJ nice))))) (, ,) (ADVP (RB then)) (NP (NNP Dave)) (VP (VBZ is) (ADJP (JJ slow))) (. .))"
99,"If Alan is poor, then the bald eagle is not wealthy.","(S (SBAR (IN If) (S (NP (NNP Alan)) (VP (VBZ is) (ADJP (JJ poor))))) (, ,) (ADVP (RB then)) (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (RB not) (ADJP (JJ wealthy))) (. .))"
100,Charlie is not nice or Anne is smart.,(S (NP (NNP Charlie)) (VP (VBZ is) (RB not) (ADJP (JJ nice)) (CC or) (NP (NNP Anne)) (VP (VBZ is) (ADJP (JJ smart)))) (. .))
101,"If Erin is not round, then the cat is huge.","(S (SBAR (IN If) (S (NP (NNP Erin)) (VP (VBZ is) (RB not) (ADJP (JJ round))))) (, ,) (ADVP (RB then)) (NP (DT the) (NN cat)) (VP (VBZ is) (ADJP (JJ huge))) (. .))"
102,the wolf is not tiny or the lion is not bad.,(S (NP (DT the) (NN wolf)) (VP (VBZ is) (RB not) (ADJP (JJ tiny))) (CC or) (NP (DT the) (NN lion)) (VP (VBZ is) (RB not) (ADJP (JJ bad))) (. .))
103,Bob is not sleepy or Charlie is not rough.,(S (NP (NNP Bob)) (VP (VP (VBZ is) (RB not) (ADJP (JJ sleepy))) (CC or) (S (NP (NNP Charlie)) (VP (VBZ is) (RB not) (ADJP (JJ rough))))) (. .))
104,"If the mouse is not tired, then the lion is not kind.","(S (SBAR (IN If) (S (NP (DT the) (NN mouse)) (VP (VBZ is) (RB not) (ADJP (JJ tired))))) (, ,) (ADVP (RB then)) (NP (DT the) (NN lion)) (VP (VBZ is) (RB not) (ADJP (JJ kind))) (. .))"
105,"If the crocodile is not bad, then Fiona is not tiny.","(S (SBAR (IN If) (S (NP (DT the) (NN crocodile)) (VP (VBZ is) (ADJP (RB not) (ADJP (JJ bad)))))) (, ,) (ADVP (RB then)) (NP (NNP Fiona)) (VP (VBZ is) (RB not) (ADJP (JJ tiny))) (. .))"
106,"If the mouse is not nice, then Charlie is not quiet.","(S (SBAR (IN If) (S (NP (DT the) (NN mouse)) (VP (VBZ is) (ADJP (RB not) (ADJP (JJ nice)))))) (, ,) (ADVP (RB then)) (NP (NNP Charlie)) (VP (VBZ is) (RB not) (ADJP (JJ quiet))) (. .))"
107,"If the bear is not dull, then Harry is dull.","(S (SBAR (IN If) (S (NP (DT the) (NN bear)) (VP (VBZ is) (ADJP (RB not) (ADJP (JJ dull)))))) (, ,) (ADVP (RB then)) (NP (NNP Harry)) (VP (VBZ is) (ADJP (JJ dull))) (. .))"
