Sentences,Logic-words
the dinosaur is not funny.,negative
the dinosaur is big.,positive
the dinosaur is not big.,negative
the dinosaur is strong.,positive
the dinosaur is not strong.,negative
the dinosaur is awful.,positive
the dinosaur is not awful.,negative
the dinosaur is fierce.,positive
the dinosaur is not fierce.,negative
the dinosaur is heavy.,positive
the dinosaur is not heavy.,negative
the dinosaur is horrible.,positive
the dinosaur is not horrible.,negative
the dinosaur is powerful.,positive
the dinosaur is not powerful.,negative
the dinosaur is angry.,positive
the dinosaur is not angry.,negative
the dinosaur is high.,positive
the dinosaur is not high.,negative
the dinosaur is huge.,positive
the dinosaur is not huge.,negative
the dinosaur is short.,positive
the dinosaur is not short.,negative
the dinosaur is thin.,positive
the dinosaur is not thin.,negative
the dinosaur is little.,positive
the dinosaur is not little.,negative
the dinosaur is tiny.,positive
the dinosaur is not tiny.,negative
the dinosaur is wealthy.,positive
the dinosaur is not wealthy.,negative
the dinosaur is poor.,positive
the dinosaur is not poor.,negative
the dinosaur is dull.,positive
the dinosaur is not dull.,negative
the dinosaur is rough.,positive
the dinosaur is not rough.,negative
the dinosaur is bad.,positive
the dinosaur is not bad.,negative
the dinosaur is sad.,positive
the dinosaur is not sad.,negative
the snake is kind.,positive
the snake is not kind.,negative
the snake is quiet.,positive
the snake is not quiet.,negative
the snake is round.,positive
the snake is not round.,negative
the snake is nice.,positive
the snake is not nice.,negative
the snake is smart.,positive
the snake is not smart.,negative
the snake is clever.,positive
the snake is not clever.,negative
the snake is dull.,positive
the snake is not dull.,negative
the snake is rough.,positive
the snake is not rough.,negative
the snake is lazy.,positive
the snake is not lazy.,negative
the snake is slow.,positive
the snake is not slow.,negative
the snake is sleepy.,positive
the snake is not sleepy.,negative
the snake is boring.,positive
the snake is not boring.,negative
the snake is tired.,positive
the snake is not tired.,negative
the snake is reckless.,positive
the snake is not reckless.,negative
the snake is furry.,positive
the snake is not furry.,negative
the snake is small.,positive
the snake is not small.,negative
the snake is cute.,positive
the snake is not cute.,negative
the snake is lovely.,positive
the snake is not lovely.,negative
the snake is beautiful.,positive
the snake is not beautiful.,negative
the snake is funny.,positive
the snake is not funny.,negative
the snake is big.,positive
the snake is not big.,negative
the snake is strong.,positive
the snake is not strong.,negative
the snake is awful.,positive
the snake is not awful.,negative
the snake is fierce.,positive
the snake is not fierce.,negative
the snake is heavy.,positive
the snake is not heavy.,negative
the snake is horrible.,positive
the snake is not horrible.,negative
the snake is powerful.,positive
the snake is not powerful.,negative
the snake is angry.,positive
the snake is not angry.,negative
the snake is high.,positive
the snake is not high.,negative
the snake is huge.,positive
the snake is not huge.,negative
the snake is short.,positive
the snake is not short.,negative
the snake is thin.,positive
the snake is not thin.,negative
the snake is little.,positive
the snake is not little.,negative
the snake is tiny.,positive
the snake is not tiny.,negative
the snake is wealthy.,positive
the snake is not wealthy.,negative
the snake is poor.,positive
the snake is not poor.,negative
the snake is dull.,positive
the snake is not dull.,negative
the snake is rough.,positive
the snake is not rough.,negative
the snake is bad.,positive
the snake is not bad.,negative
the snake is sad.,positive
the snake is not sad.,negative
the leopard is kind.,positive
the leopard is not kind.,negative
the leopard is quiet.,positive
the leopard is not quiet.,negative
the leopard is round.,positive
the leopard is not round.,negative
the leopard is nice.,positive
the leopard is not nice.,negative
the leopard is smart.,positive
the leopard is not smart.,negative
the leopard is clever.,positive
the leopard is not clever.,negative
the leopard is dull.,positive
the leopard is not dull.,negative
the leopard is rough.,positive
the leopard is not rough.,negative
the leopard is lazy.,positive
the leopard is not lazy.,negative
the leopard is slow.,positive
the leopard is not slow.,negative
the leopard is sleepy.,positive
the leopard is not sleepy.,negative
the leopard is boring.,positive
the leopard is not boring.,negative
the leopard is tired.,positive
the leopard is not tired.,negative
the leopard is reckless.,positive
the leopard is not reckless.,negative
the leopard is furry.,positive
the leopard is not furry.,negative
the leopard is small.,positive
the leopard is not small.,negative
the leopard is cute.,positive
the leopard is not cute.,negative
the leopard is lovely.,positive
the leopard is not lovely.,negative
the leopard is beautiful.,positive
the leopard is not beautiful.,negative
the leopard is funny.,positive
the leopard is not funny.,negative
the leopard is big.,positive
the leopard is not big.,negative
the leopard is strong.,positive
the leopard is not strong.,negative
the leopard is awful.,positive
the leopard is not awful.,negative
the leopard is fierce.,positive
the leopard is not fierce.,negative
the leopard is heavy.,positive
the leopard is not heavy.,negative
the leopard is horrible.,positive
the leopard is not horrible.,negative
the leopard is powerful.,positive
the leopard is not powerful.,negative
the leopard is angry.,positive
the leopard is not angry.,negative
the leopard is high.,positive
the leopard is not high.,negative
the leopard is huge.,positive
the leopard is not huge.,negative
the leopard is short.,positive
the leopard is not short.,negative
the leopard is thin.,positive
the leopard is not thin.,negative
the leopard is little.,positive
the leopard is not little.,negative
the leopard is tiny.,positive
the leopard is not tiny.,negative
the leopard is wealthy.,positive
the leopard is not wealthy.,negative
the leopard is poor.,positive
the leopard is not poor.,negative
the leopard is dull.,positive
the leopard is not dull.,negative
the leopard is rough.,positive
the leopard is not rough.,negative
the leopard is bad.,positive
the leopard is not bad.,negative
the leopard is sad.,positive
the leopard is not sad.,negative
the cat is kind.,positive
the cat is not kind.,negative
the cat is quiet.,positive
the cat is not quiet.,negative
the cat is round.,positive
the cat is not round.,negative
the cat is nice.,positive
the cat is not nice.,negative
the cat is smart.,positive
the cat is not smart.,negative
the cat is clever.,positive
the cat is not clever.,negative
the cat is dull.,positive
the cat is not dull.,negative
the cat is rough.,positive
the cat is not rough.,negative
the cat is lazy.,positive
the cat is not lazy.,negative
the cat is slow.,positive
the cat is not slow.,negative
the cat is sleepy.,positive
the cat is not sleepy.,negative
the cat is boring.,positive
the cat is not boring.,negative
the cat is tired.,positive
the cat is not tired.,negative
the cat is reckless.,positive
the cat is not reckless.,negative
the cat is furry.,positive
the cat is not furry.,negative
the cat is small.,positive
the cat is not small.,negative
the cat is cute.,positive
the cat is not cute.,negative
the cat is lovely.,positive
the cat is not lovely.,negative
the cat is beautiful.,positive
the cat is not beautiful.,negative
the cat is funny.,positive
the cat is not funny.,negative
the cat is big.,positive
the cat is not big.,negative
the cat is strong.,positive
the cat is not strong.,negative
the cat is awful.,positive
the cat is not awful.,negative
the cat is fierce.,positive
the cat is not fierce.,negative
the cat is heavy.,positive
the cat is not heavy.,negative
the cat is horrible.,positive
the cat is not horrible.,negative
the cat is powerful.,positive
the cat is not powerful.,negative
the cat is angry.,positive
the cat is not angry.,negative
the cat is high.,positive
the cat is not high.,negative
the cat is huge.,positive
the cat is not huge.,negative
the cat is short.,positive
the cat is not short.,negative
the cat is thin.,positive
the cat is not thin.,negative
the cat is little.,positive
the cat is not little.,negative
the cat is tiny.,positive
the cat is not tiny.,negative
the cat is wealthy.,positive
the cat is not wealthy.,negative
the cat is poor.,positive
the cat is not poor.,negative
the cat is dull.,positive
the cat is not dull.,negative
the cat is rough.,positive
the cat is not rough.,negative
the cat is bad.,positive
the cat is not bad.,negative
the cat is sad.,positive
the cat is not sad.,negative
the dog is kind.,positive
the dog is not kind.,negative
the dog is quiet.,positive
the dog is not quiet.,negative
the dog is round.,positive
the dog is not round.,negative
the dog is nice.,positive
the dog is not nice.,negative
the dog is smart.,positive
the dog is not smart.,negative
the dog is clever.,positive
the dog is not clever.,negative
the dog is dull.,positive
the dog is not dull.,negative
the dog is rough.,positive
the dog is not rough.,negative
the dog is lazy.,positive
the dog is not lazy.,negative
the dog is slow.,positive
the dog is not slow.,negative
the dog is sleepy.,positive
the dog is not sleepy.,negative
the dog is boring.,positive
the dog is not boring.,negative
the dog is tired.,positive
the dog is not tired.,negative
the dog is reckless.,positive
the dog is not reckless.,negative
the dog is furry.,positive
the dog is not furry.,negative
the dog is small.,positive
the dog is not small.,negative
the dog is cute.,positive
the dog is not cute.,negative
the dog is lovely.,positive
the dog is not lovely.,negative
the dog is beautiful.,positive
the dog is not beautiful.,negative
the dog is funny.,positive
the dog is not funny.,negative
the dog is big.,positive
the dog is not big.,negative
the dog is strong.,positive
the dog is not strong.,negative
the dog is awful.,positive
the dog is not awful.,negative
the dog is fierce.,positive
the dog is not fierce.,negative
the dog is heavy.,positive
the dog is not heavy.,negative
the dog is horrible.,positive
the dog is not horrible.,negative
the dog is powerful.,positive
the dog is not powerful.,negative
the dog is angry.,positive
the dog is not angry.,negative
the dog is high.,positive
the dog is not high.,negative
the dog is huge.,positive
the dog is not huge.,negative
the dog is short.,positive
the dog is not short.,negative
the dog is thin.,positive
the dog is not thin.,negative
the dog is little.,positive
the dog is not little.,negative
the dog is tiny.,positive
the dog is not tiny.,negative
the dog is wealthy.,positive
the dog is not wealthy.,negative
the dog is poor.,positive
the dog is not poor.,negative
the dog is dull.,positive
the dog is not dull.,negative
the dog is rough.,positive
the dog is not rough.,negative
the dog is bad.,positive
the dog is not bad.,negative
the dog is sad.,positive
the dog is not sad.,negative
the mouse is kind.,positive
the mouse is not kind.,negative
the mouse is quiet.,positive
the mouse is not quiet.,negative
the mouse is round.,positive
the mouse is not round.,negative
the mouse is nice.,positive
the mouse is not nice.,negative
the mouse is smart.,positive
the mouse is not smart.,negative
the mouse is clever.,positive
the mouse is not clever.,negative
the mouse is dull.,positive
the mouse is not dull.,negative
the mouse is rough.,positive
the mouse is not rough.,negative
the mouse is lazy.,positive
the mouse is not lazy.,negative
the mouse is slow.,positive
the mouse is not slow.,negative
the mouse is sleepy.,positive
the mouse is not sleepy.,negative
the mouse is boring.,positive
the mouse is not boring.,negative
the mouse is tired.,positive
the mouse is not tired.,negative
the mouse is reckless.,positive
the mouse is not reckless.,negative
the mouse is furry.,positive
the mouse is not furry.,negative
the mouse is small.,positive
the mouse is not small.,negative
the mouse is cute.,positive
the mouse is not cute.,negative
the mouse is lovely.,positive
the mouse is not lovely.,negative
the mouse is beautiful.,positive
the mouse is not beautiful.,negative
the mouse is funny.,positive
the mouse is not funny.,negative
the mouse is big.,positive
the mouse is not big.,negative
the mouse is strong.,positive
the mouse is not strong.,negative
the mouse is awful.,positive
the mouse is not awful.,negative
the mouse is fierce.,positive
the mouse is not fierce.,negative
the mouse is heavy.,positive
the mouse is not heavy.,negative
the mouse is horrible.,positive
the mouse is not horrible.,negative
the mouse is powerful.,positive
the mouse is not powerful.,negative
the mouse is angry.,positive
the mouse is not angry.,negative
the mouse is high.,positive
the mouse is not high.,negative
the mouse is huge.,positive
the mouse is not huge.,negative
the mouse is short.,positive
the mouse is not short.,negative
the mouse is thin.,positive
the mouse is not thin.,negative
the mouse is little.,positive
the mouse is not little.,negative
the mouse is tiny.,positive
the mouse is not tiny.,negative
the mouse is wealthy.,positive
the mouse is not wealthy.,negative
the mouse is poor.,positive
the mouse is not poor.,negative
the mouse is dull.,positive
the mouse is not dull.,negative
the mouse is rough.,positive
the mouse is not rough.,negative
the mouse is bad.,positive
the mouse is not bad.,negative
the mouse is sad.,positive
the mouse is not sad.,negative
the rabbit is kind.,positive
the rabbit is not kind.,negative
the rabbit is quiet.,positive
the rabbit is not quiet.,negative
the rabbit is round.,positive
the rabbit is not round.,negative
the rabbit is nice.,positive
the rabbit is not nice.,negative
the rabbit is smart.,positive
the rabbit is not smart.,negative
the rabbit is clever.,positive
the rabbit is not clever.,negative
the rabbit is dull.,positive
the rabbit is not dull.,negative
the rabbit is rough.,positive
the rabbit is not rough.,negative
the rabbit is lazy.,positive
the rabbit is not lazy.,negative
the rabbit is slow.,positive
the rabbit is not slow.,negative
the rabbit is sleepy.,positive
the rabbit is not sleepy.,negative
the rabbit is boring.,positive
the rabbit is not boring.,negative
the rabbit is tired.,positive
the rabbit is not tired.,negative
the rabbit is reckless.,positive
the rabbit is not reckless.,negative
the rabbit is furry.,positive
the rabbit is not furry.,negative
the rabbit is small.,positive
the rabbit is not small.,negative
the rabbit is cute.,positive
the rabbit is not cute.,negative
the rabbit is lovely.,positive
the rabbit is not lovely.,negative
the rabbit is beautiful.,positive
the rabbit is not beautiful.,negative
the rabbit is funny.,positive
the rabbit is not funny.,negative
the rabbit is big.,positive
the rabbit is not big.,negative
the rabbit is strong.,positive
the rabbit is not strong.,negative
the rabbit is awful.,positive
the rabbit is not awful.,negative
the rabbit is fierce.,positive
the rabbit is not fierce.,negative
the rabbit is heavy.,positive
the rabbit is not heavy.,negative
the rabbit is horrible.,positive
the rabbit is not horrible.,negative
the rabbit is powerful.,positive
the rabbit is not powerful.,negative
the rabbit is angry.,positive
the rabbit is not angry.,negative
the rabbit is high.,positive
the rabbit is not high.,negative
the rabbit is huge.,positive
the rabbit is not huge.,negative
the rabbit is short.,positive
the rabbit is not short.,negative
the rabbit is thin.,positive
the rabbit is not thin.,negative
the rabbit is little.,positive
the rabbit is not little.,negative
the rabbit is tiny.,positive
the rabbit is not tiny.,negative
the rabbit is wealthy.,positive
the rabbit is not wealthy.,negative
the rabbit is poor.,positive
the rabbit is not poor.,negative
the rabbit is dull.,positive
the rabbit is not dull.,negative
the rabbit is rough.,positive
the rabbit is not rough.,negative
the rabbit is bad.,positive
the rabbit is not bad.,negative
the rabbit is sad.,positive
the rabbit is not sad.,negative
the squirrel is kind.,positive
the squirrel is not kind.,negative
the squirrel is quiet.,positive
the squirrel is not quiet.,negative
the squirrel is round.,positive
the squirrel is not round.,negative
the squirrel is nice.,positive
the squirrel is not nice.,negative
the squirrel is smart.,positive
the squirrel is not smart.,negative
the squirrel is clever.,positive
the squirrel is not clever.,negative
the squirrel is dull.,positive
the squirrel is not dull.,negative
the squirrel is rough.,positive
the squirrel is not rough.,negative
the squirrel is lazy.,positive
the squirrel is not lazy.,negative
the squirrel is slow.,positive
the squirrel is not slow.,negative
the squirrel is sleepy.,positive
the squirrel is not sleepy.,negative
the squirrel is boring.,positive
the squirrel is not boring.,negative
the squirrel is tired.,positive
the squirrel is not tired.,negative
the squirrel is reckless.,positive
the squirrel is not reckless.,negative
the squirrel is furry.,positive
the squirrel is not furry.,negative
the squirrel is small.,positive
the squirrel is not small.,negative
the squirrel is cute.,positive
the squirrel is not cute.,negative
the squirrel is lovely.,positive
the squirrel is not lovely.,negative
the squirrel is beautiful.,positive
the squirrel is not beautiful.,negative
the squirrel is funny.,positive
the squirrel is not funny.,negative
the squirrel is big.,positive
the squirrel is not big.,negative
the squirrel is strong.,positive
the squirrel is not strong.,negative
the squirrel is awful.,positive
the squirrel is not awful.,negative
the squirrel is fierce.,positive
the squirrel is not fierce.,negative
