sentence1,label,sentence2
"If the cat is not angry, then the cat is nice.",1,"If it is angry, then it will be not the cat."
"If the cat is not angry, then the cat is nice.",1,"If it is angry, then it will be not the cat."
"If the snake is horrible, then Anne is round.",0,"If it is the snake, then it will be not horrible. "
"If the snake is horrible, then Anne is round.",0,"If it is not the snake, then it will be horrible. "
Anne is sad or the dinosaur is short.,1,"If it is not sad, then it will be not Anne."
"If the dog is not reckless, then Gary is not furry.",1,"If it is reckless, then it will be not the dog."
"If the dog is not reckless, then Gary is not furry.",1,"If it is reckless, then it will be not the dog."
Erin is not horrible and the dinosaur is not dull.,0,"If it is not horrible, then it will be Erin. "
the bear is strong and the tiger is huge.,1,"If it is not strong, then it will be not the bear."
the bear is strong and the tiger is huge.,1,"If it is not strong, then it will be not the bear."
"If Charlie is not huge, then Harry is angry.",1,"If it is huge, then it will be not Charlie."
"If Charlie is not huge, then Harry is angry.",1,"If it is huge, then it will be not Charlie."
"If Bob is not slow, then Gary is not dull.",0,"If it is not slow, then it will be Bob. "
"If Bob is not slow, then Gary is not dull.",0,"If it is Bob, then it will be slow. "
Erin is not furry or the dog is not strong.,0,
Gary is dull or the tiger is beautiful.,1,"If it is not dull, then it will be not Gary."
"If the bear is fierce, then the dinosaur is not bad.",1,"If it is not fierce, then it will be not the bear."
"If the bear is fierce, then the dinosaur is not bad.",1,"If it is not fierce, then it will be not the bear."
"If the bald eagle is funny, then the bear is funny.",0,"If it is the bald eagle, then it will be not funny. "
"If the bald eagle is funny, then the bear is funny.",0,
"If Charlie is beautiful, then the lion is not angry.",1,"If it is not beautiful, then it will be not Charlie."
"If Charlie is beautiful, then the lion is not angry.",1,"If it is not beautiful, then it will be not Charlie."
Anne is not rough and the crocodile is not high.,1,"If it is rough, then it will be not Anne."
Dave is not high and Fiona is not furry.,0,"If it is Dave, then it will be high. "
Dave is not clever and Fiona is quiet.,1,"If it is clever, then it will be not Dave."
"If the dog is not round, then the leopard is not angry.",1,"If it is round, then it will be not the dog."
"If the dog is not round, then the leopard is not angry.",1,"If it is round, then it will be not the dog."
the dog is not funny and the rabbit is not smart.,1,"If it is funny, then it will be not the dog."
"If the leopard is slow, then the bear is not thin.",0,
"If the leopard is slow, then the bear is not thin.",0,
"If Charlie is heavy, then Bob is not angry.",0,"If it is heavy, then it will be Charlie. "
"If Charlie is heavy, then Bob is not angry.",0,"If it is heavy, then it will be Charlie. "
"If Charlie is rough, then Bob is not funny.",0,"If it is not Charlie, then it will be rough. "
"If Charlie is rough, then Bob is not funny.",0,"If it is rough, then it will be Charlie. "
"If Erin is not rough, then the dog is strong.",1,"If it is rough, then it will be not Erin."
"If Erin is not rough, then the dog is strong.",1,"If it is rough, then it will be not Erin."
Harry is powerful or Fiona is not lovely.,1,"If it is not powerful, then it will be not Harry."
the squirrel is nice and Charlie is big.,1,"If it is not nice, then it will be not the squirrel."
the squirrel is not short and the mouse is rough.,0,"If it is not short, then it will be the squirrel. "
the snake is not round and the cat is not rough.,0,
Anne is short and the snake is poor.,0,"If it is short, then it will be Anne. "
Bob is not funny or Gary is fierce.,0,"If it is not Bob, then it will be not funny or Gary is fierce. "
"If the mouse is clever, then the cat is thin.",1,"If it is not clever, then it will be not the mouse."
"If the mouse is clever, then the cat is thin.",1,"If it is not clever, then it will be not the mouse."
"If the rabbit is nice, then Dave is slow.",1,"If it is not nice, then it will be not the rabbit."
"If the rabbit is nice, then Dave is slow.",1,"If it is not nice, then it will be not the rabbit."
"If Alan is poor, then the bald eagle is not wealthy.",0,"If it is not Alan, then it will be poor. "
"If Alan is poor, then the bald eagle is not wealthy.",0,"If it is Alan, then it will be not poor. "
Charlie is not nice or Anne is smart.,1,"If it is nice or Anne is smart, then it will be not Charlie."
"If Erin is not round, then the cat is huge.",0,
"If Erin is not round, then the cat is huge.",0,"If it is not round, then it will be Erin. "
the wolf is not tiny or the lion is not bad.,1,"If it is tiny, then it will be not the wolf."
Bob is not sleepy or Charlie is not rough.,1,"If it is Charlie, then it will be not Bob."
"If the mouse is not tired, then the lion is not kind.",1,"If it is tired, then it will be not the mouse."
"If the mouse is not tired, then the lion is not kind.",1,"If it is tired, then it will be not the mouse."
"If the crocodile is not bad, then Fiona is not tiny.",0,"If it is not bad, then it will be the crocodile. "
"If the crocodile is not bad, then Fiona is not tiny.",0,
"If the mouse is not nice, then Charlie is not quiet.",0,"If it is not nice, then it will be the mouse. "
"If the mouse is not nice, then Charlie is not quiet.",0,"If it is not the mouse, then it will be not nice. "
"If the bear is not dull, then Harry is dull.",1,"If it is dull, then it will be not the bear."
"If the bear is not dull, then Harry is dull.",1,"If it is dull, then it will be not the bear."
Erin is not slow and the tiger is cute.,0,"If it is not slow, then it will be Erin. "
"If the leopard is rough, then the lion is nice.",1,"If it is not rough, then it will be not the leopard."
"If the leopard is rough, then the lion is nice.",1,"If it is not rough, then it will be not the leopard."
"If Erin is horrible, then Fiona is not sad.",0,"If it is Erin, then it will be not horrible. "
"If Erin is horrible, then Fiona is not sad.",0,"If it is horrible, then it will be Erin. "
"If the lion is not powerful, then the snake is sad.",1,"If it is powerful, then it will be not the lion."
"If the lion is not powerful, then the snake is sad.",1,"If it is powerful, then it will be not the lion."
"If the wolf is powerful, then the wolf is kind.",0,"If it is not the wolf, then it will be powerful. "
"If the wolf is powerful, then the wolf is kind.",0,"If it is powerful, then it will be the wolf. "
"If the wolf is powerful, then the wolf is kind.",0,"If it is the wolf, then it will be not powerful. "
"If the leopard is not reckless, then the cat is smart.",1,"If it is reckless, then it will be not the leopard."
"If the leopard is not reckless, then the cat is smart.",1,"If it is reckless, then it will be not the leopard."
the tiger is powerful.,0,
the tiger is powerful.,0,"If it is the tiger, then it will be not powerful. "
"If the tiger is boring, then the squirrel is heavy.",1,"If it is not boring, then it will be not the tiger."
"If the tiger is boring, then the squirrel is heavy.",1,"If it is not boring, then it will be not the tiger."
"If Dave is angry, then the snake is rough.",0,"If it is angry, then it will be Dave. "
"If Dave is angry, then the snake is rough.",0,"If it is angry, then it will be Dave. "
"If Dave is angry, then the snake is rough.",0,"If it is angry, then it will be Dave. "
Charlie is dull and Gary is not tiny.,1,"If it is not dull, then it will be not Charlie."
the bald eagle is quiet or the crocodile is not cute.,1,"If it is not quiet, then it will be not the bald eagle."
"If Charlie is not slow, then Dave is not tiny.",0,
"If Charlie is not slow, then Dave is not tiny.",0,"If it is not Charlie, then it will be not slow. "
Fiona is short and Gary is short.,0,"If it is short, then it will be Fiona. "
Harry is lazy or the wolf is kind.,1,"If it is not lazy, then it will be not Harry."
Gary is thin or the bear is nice.,1,"If it is not thin, then it will be not Gary."
"If the mouse is kind, then Gary is not beautiful.",1,"If it is not kind, then it will be not the mouse."
"If the mouse is kind, then Gary is not beautiful.",1,"If it is not kind, then it will be not the mouse."
Gary is not smart and Gary is not lovely.,0,"If it is Gary, then it will be smart. "
Anne is small or the dinosaur is round.,1,"If it is not small, then it will be not Anne."
"If the dinosaur is not bad, then the squirrel is not heavy.",1,"If it is bad, then it will be not the dinosaur."
"If the dinosaur is not bad, then the squirrel is not heavy.",1,"If it is bad, then it will be not the dinosaur."
"If the dog is not tired, then Alan is not fierce.",1,"If it is tired, then it will be not the dog."
"If the dog is not tired, then Alan is not fierce.",1,"If it is tired, then it will be not the dog."
Dave is not round or Bob is quiet.,1,"If it is round, then it will be not Dave."
the wolf is not tired and Gary is not strong.,0,"If it is the wolf, then it will be tired. "
"If the tiger is not kind, then Anne is not nice.",1,"If it is kind, then it will be not the tiger."
"If the tiger is not kind, then Anne is not nice.",1,"If it is kind, then it will be not the tiger."
"If the dog is not thin, then the squirrel is not quiet.",1,"If it is thin, then it will be not the dog."
"If the dog is not thin, then the squirrel is not quiet.",1,"If it is thin, then it will be not the dog."
"If Bob is smart, then the leopard is smart.",1,"If it is not smart, then it will be not Bob."
"If Bob is smart, then the leopard is smart.",1,"If it is not smart, then it will be not Bob."
"If Charlie is not wealthy, then the dinosaur is dull.",0,
"If Charlie is not wealthy, then the dinosaur is dull.",0,"If it is Charlie, then it will be wealthy. "
"If Anne is rough, then the leopard is not cute.",1,"If it is not rough, then it will be not Anne."
"If Anne is rough, then the leopard is not cute.",1,"If it is not rough, then it will be not Anne."
Dave is not dull or Charlie is awful.,0,"If it is not Dave, then it will be not dull or Charlie is awful. "
"If the cat is not funny, then the rabbit is reckless.",1,"If it is funny, then it will be not the cat."
"If the cat is not funny, then the rabbit is reckless.",1,"If it is funny, then it will be not the cat."
"If Dave is huge, then Bob is not furry.",0,
the snake is horrible or the bald eagle is not strong.,0,"If it is horrible, then it will be the snake. "
the tiger is cute and Gary is tiny.,1,"If it is not cute, then it will be not the tiger."
the crocodile is not slow or the dinosaur is not dull.,1,"If it is slow, then it will be not the crocodile."
"If Alan is powerful, then Fiona is not round.",0,"If it is not Alan, then it will be powerful. "
"If Alan is powerful, then Fiona is not round.",0,"If it is powerful, then it will be Alan. "
"If the mouse is not sleepy, then Fiona is little.",0,"If it is the mouse, then it will be sleepy. "
"If the mouse is not sleepy, then Fiona is little.",0,"If it is not sleepy, then it will be the mouse. "
Gary is not rough and the lion is not slow.,1,"If it is rough, then it will be not Gary."
"If Charlie is not slow, then Dave is not tiny.",0,
"If Charlie is not slow, then Dave is not tiny.",0,"If it is not Charlie, then it will be not slow. "
"If the snake is round, then Bob is not big.",1,"If it is not round, then it will be not the snake."
"If the snake is round, then Bob is not big.",1,"If it is not round, then it will be not the snake."
"If the mouse is not beautiful, then Gary is small.",1,"If it is beautiful, then it will be not the mouse."
"If the mouse is not beautiful, then Gary is small.",1,"If it is beautiful, then it will be not the mouse."
"If the dog is rough, then the cat is awful.",0,
"If the dog is rough, then the cat is awful.",0,"If it is not the dog, then it will be rough. "
"If Alan is small, then Harry is slow.",1,"If it is not small, then it will be not Alan."
"If Alan is small, then Harry is slow.",1,"If it is not small, then it will be not Alan."
the bear is not small or the squirrel is not clever.,0,
"If the bear is not tiny, then the lion is not boring.",1,"If it is tiny, then it will be not the bear."
"If the bear is not tiny, then the lion is not boring.",1,"If it is tiny, then it will be not the bear."
the mouse is cute and Charlie is not lovely.,0,"If it is not the mouse, then it will be cute. "
the mouse is not little and Anne is smart.,0,"If it is the mouse, then it will be little. "
"If Alan is high, then the rabbit is strong.",0,"If it is high, then it will be Alan. "
"If Alan is high, then the rabbit is strong.",0,
"If Alan is high, then the rabbit is strong.",0,"If it is high, then it will be Alan. "
the squirrel is not short or the mouse is rough.,0,"If it is not the squirrel, then it will be not short. "
the cat is not funny and Harry is not horrible.,1,"If it is funny, then it will be not the cat."
the tiger is not tiny and the bear is big.,1,"If it is tiny, then it will be not the tiger."
"If Fiona is not thin, then Charlie is beautiful.",1,"If it is thin, then it will be not Fiona."
"If Fiona is not thin, then Charlie is beautiful.",1,"If it is thin, then it will be not Fiona."
"If the snake is horrible, then Anne is round.",0,"If it is the snake, then it will be not horrible. "
"If the snake is horrible, then Anne is round.",0,"If it is not the snake, then it will be horrible. "
"If the rabbit is not nice, then Alan is thin.",0,"If it is the rabbit, then it will be nice. "
"If the rabbit is not nice, then Alan is thin.",0,"If it is not the rabbit, then it will be not nice. "
"If Charlie is not tiny, then Fiona is smart.",1,"If it is tiny, then it will be not Charlie."
"If Charlie is not tiny, then Fiona is smart.",1,"If it is tiny, then it will be not Charlie."
"If Erin is not high, then Gary is not lovely.",1,"If it is high, then it will be not Erin."
"If Erin is not high, then Gary is not lovely.",1,"If it is high, then it will be not Erin."
Fiona is powerful or the leopard is not nice.,1,"If it is not powerful, then it will be not Fiona."
"If the squirrel is not rough, then the bald eagle is not fierce.",0,"If it is the squirrel, then it will be rough. "
"If the squirrel is not rough, then the bald eagle is not fierce.",0,"If it is not rough, then it will be the squirrel. "
Bob is not short or Fiona is dull.,1,"If it is short, then it will be not Bob."
Bob is not dull or Dave is tiny.,1,"If it is dull, then it will be not Bob."
the dinosaur is not rough and Alan is not angry.,0,"If it is the dinosaur, then it will be rough. "
"If Harry is not short, then the crocodile is heavy.",1,"If it is short, then it will be not Harry."
"If Harry is not short, then the crocodile is heavy.",1,"If it is short, then it will be not Harry."
the dinosaur is quiet and the cat is tiny.,1,"If it is not quiet, then it will be not the dinosaur."
"If Gary is not wealthy, then the snake is not big.",1,"If it is wealthy, then it will be not Gary."
"If Gary is not wealthy, then the snake is not big.",1,"If it is wealthy, then it will be not Gary."
Bob is not kind or Bob is dull.,0,
Erin is fierce and Fiona is not beautiful.,0,"If it is Erin, then it will be not fierce. "
Dave is not bad or Alan is boring.,0,"If it is not Alan, then it will be Dave. "
"If the squirrel is high, then the lion is reckless.",0,"If it is not the squirrel, then it will be high. "
"If the squirrel is high, then the lion is reckless.",0,"If it is the squirrel, then it will be not high. "
"If the squirrel is quiet, then Dave is not quiet.",0,"If it is quiet, then it will be the squirrel. "
"If the squirrel is quiet, then Dave is not quiet.",0,
the squirrel is nice or Charlie is big.,1,"If it is not nice, then it will be not the squirrel."
"If the mouse is not strong, then the tiger is high.",0,"If it is the mouse, then it will be strong. "
"If the mouse is not strong, then the tiger is high.",0,"If it is not strong, then it will be the mouse. "
"If the dinosaur is powerful, then the mouse is kind.",1,"If it is not powerful, then it will be not the dinosaur."
"If the dinosaur is powerful, then the mouse is kind.",1,"If it is not powerful, then it will be not the dinosaur."
"If the dog is not poor, then the mouse is boring.",1,"If it is poor, then it will be not the dog."
"If the dog is not poor, then the mouse is boring.",1,"If it is poor, then it will be not the dog."
the dog is not short or Alan is not kind.,1,"If it is short, then it will be not the dog."
the tiger is not little or the bald eagle is clever.,0,"If it is not little, then it will be the tiger. "
the snake is not tired and the dinosaur is kind.,0,"If it is not tired, then it will be the snake. "
"If Bob is not quiet, then the dinosaur is not huge.",1,"If it is quiet, then it will be not Bob."
"If Bob is not quiet, then the dinosaur is not huge.",1,"If it is quiet, then it will be not Bob."
the bear is not nice or the squirrel is small.,0,"If it is not nice, then it will be the bear. "
"If the squirrel is not funny, then the rabbit is kind.",1,"If it is funny, then it will be not the squirrel."
"If the squirrel is not funny, then the rabbit is kind.",1,"If it is funny, then it will be not the squirrel."
Dave is tired or Charlie is not funny.,1,"If it is not tired, then it will be not Dave."
"If Anne is not dull, then the squirrel is horrible.",0,"If it is not dull, then it will be Anne. "
"If Anne is not dull, then the squirrel is horrible.",0,"If it is Anne, then it will be dull. "
the tiger is lovely or Erin is funny.,1,"If it is not lovely, then it will be not the tiger."
"If Anne is not poor, then the rabbit is not strong.",1,"If it is poor, then it will be not Anne."
"If Anne is not poor, then the rabbit is not strong.",1,"If it is poor, then it will be not Anne."
Anne is funny or the rabbit is boring.,1,"If it is not funny, then it will be not Anne."
the leopard is strong or the leopard is quiet.,0,"If it is strong, then it will be the leopard. "
the leopard is strong or the leopard is quiet.,0,"If it is strong, then it will be the leopard. "
the leopard is strong or the leopard is quiet.,0,"If it is strong, then it will be the leopard. "
"If the rabbit is kind, then Fiona is not bad.",0,"If it is kind, then it will be the rabbit. "
"If the rabbit is kind, then Fiona is not bad.",0,
"If Erin is big, then Charlie is small.",0,
"If Erin is big, then Charlie is small.",0,"If it is not Erin, then it will be big. "
"If the snake is powerful, then Erin is strong.",1,"If it is not powerful, then it will be not the snake."
"If the snake is powerful, then Erin is strong.",1,"If it is not powerful, then it will be not the snake."
"If the snake is huge, then the lion is not high.",0,"If it is huge, then it will be the snake. "
"If the snake is huge, then the lion is not high.",0,
the tiger is furry and Charlie is not furry.,1,"If it is not furry, then it will be not the tiger."
"If the bald eagle is tired, then Gary is strong.",0,"If it is tired, then it will be the bald eagle. "
"If the bald eagle is tired, then Gary is strong.",0,
"If the bald eagle is tired, then Gary is strong.",0,"If it is the bald eagle, then it will be not tired. "
"If Harry is funny, then the bear is not bad.",0,
"If Harry is funny, then the bear is not bad.",0,
"If Harry is little, then the bear is quiet.",1,"If it is, then it will be not Harry."
"If Harry is little, then the bear is quiet.",1,"If it is, then it will be not Harry."
"If the mouse is powerful, then Anne is not dull.",0,"If it is the mouse, then it will be not powerful. "
"If the mouse is powerful, then Anne is not dull.",0,"If it is powerful, then it will be the mouse. "
Harry is not funny or Anne is not rough.,0,"If it is not funny, then it will be Harry. "
"If the rabbit is not awful, then Charlie is quiet.",1,"If it is awful, then it will be not the rabbit."
"If the rabbit is not awful, then Charlie is quiet.",1,"If it is awful, then it will be not the rabbit."
the mouse is smart and the bald eagle is nice.,1,"If it is not smart, then it will be not the mouse."
the dog is rough or the mouse is cute.,0,"If it is rough, then it will be the dog. "
the leopard is sleepy and Fiona is not horrible.,1,"If it is not sleepy, then it will be not the leopard."
the rabbit is strong.,0,
"If Charlie is not tiny, then Fiona is smart.",0,"If it is not tiny, then it will be Charlie. "
"If Charlie is not tiny, then Fiona is smart.",0,"If it is not Charlie, then it will be not tiny. "
"If Fiona is tired, then the bald eagle is fierce.",1,"If it is not tired, then it will be not Fiona."
"If Fiona is tired, then the bald eagle is fierce.",1,"If it is not tired, then it will be not Fiona."
the dog is rough or the lion is short.,1,"If it is not rough, then it will be not the dog."
the snake is not nice or the tiger is poor.,1,"If it is nice, then it will be not the snake."
Charlie is horrible or Alan is kind.,0,"If it is horrible, then it will be Charlie. "
"If Charlie is not thin, then the leopard is not lazy.",0,"If it is not Charlie, then it will be not thin. "
"If Charlie is not thin, then the leopard is not lazy.",0,"If it is not Charlie, then it will be not thin. "
Bob is not furry or Gary is not cute.,1,"If it is furry, then it will be not Bob."
"If the snake is clever, then Gary is not dull.",1,"If it is not clever, then it will be not the snake."
"If the snake is clever, then Gary is not dull.",1,"If it is not clever, then it will be not the snake."
Bob is huge and the squirrel is not nice.,1,"If it is not huge, then it will be not Bob."
the dog is not strong or the tiger is not huge.,0,
"If Bob is nice, then the cat is not heavy.",0,"If it is Bob, then it will be not nice. "
"If Bob is nice, then the cat is not heavy.",0,"If it is nice, then it will be Bob. "
Erin is round or Gary is round.,0,"If it is round, then it will be Erin. "
"If the bear is smart, then the bald eagle is quiet.",1,"If it is not smart, then it will be not the bear."
"If the bear is smart, then the bald eagle is quiet.",1,"If it is not smart, then it will be not the bear."
"If the bald eagle is sad, then Alan is not round.",0,"If it is sad, then it will be the bald eagle. "
"If the bald eagle is sad, then Alan is not round.",0,
"If Harry is tiny, then Fiona is slow.",1,"If it is not tiny, then it will be not Harry."
"If Harry is tiny, then Fiona is slow.",1,"If it is not tiny, then it will be not Harry."
the bald eagle is not horrible and Fiona is angry.,1,"If it is horrible, then it will be not the bald eagle."
the wolf is high or the wolf is quiet.,0,"If it is high, then it will be the wolf. "
"If the squirrel is powerful, then the crocodile is not strong.",0,"If it is powerful, then it will be the squirrel. "
"If the squirrel is powerful, then the crocodile is not strong.",0,"If it is not the squirrel, then it will be powerful. "
the squirrel is slow and the snake is strong.,1,"If it is not slow, then it will be not the squirrel."
the squirrel is slow and the snake is strong.,1,"If it is not slow, then it will be not the squirrel."
the wolf is not cute or the squirrel is fierce.,0,"If it is the wolf, then it will be cute. "
the mouse is dull or Harry is not tired.,1,"If it is not dull, then it will be not the mouse."
the bear is tiny and the snake is not dull.,0,"If it is not the bear, then it will be tiny. "
Harry is not tired and Gary is not heavy.,1,"If it is tired, then it will be not Harry."
the dog is not nice or the squirrel is not dull.,0,"If it is not nice, then it will be the dog. "
"If the bald eagle is not beautiful, then Erin is not nice.",1,"If it is beautiful, then it will be not the bald eagle."
"If the bald eagle is not beautiful, then Erin is not nice.",1,"If it is beautiful, then it will be not the bald eagle."
the cat is awful and the rabbit is nice.,0,"If it is awful, then it will be the cat. "
"If the tiger is not short, then the cat is heavy.",0,"If it is not short, then it will be the tiger. "
"If the tiger is not short, then the cat is heavy.",0,"If it is not short, then it will be the tiger. "
the bald eagle is not strong or Harry is furry.,1,"If it is strong, then it will be not the bald eagle."
"If the dog is angry, then Charlie is not lovely.",1,"If it is not angry, then it will be not the dog."
"If the dog is angry, then Charlie is not lovely.",1,"If it is not angry, then it will be not the dog."
"If the lion is not cute, then the wolf is not powerful.",0,"If it is the lion, then it will be cute. "
"If the lion is not cute, then the wolf is not powerful.",0,
"If Harry is poor, then the cat is not reckless.",0,
"If the squirrel is rough, then the cat is not cute.",0,"If it is the squirrel, then it will be not rough. "
"If the squirrel is rough, then the cat is not cute.",0,
the snake is furry and the lion is smart.,0,
