,Original_Sentence,Parsed_Sentence,LReasoner_generated_positive_samples,Positive_samples_labels
21,"If the bald eagle is clever, then the leopard is tiny.","(S (SBAR (IN If) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (ADJP (JJ clever))))) (, ,) (ADVP (RB then)) (NP (DT the) (NN leopard)) (VP (VBZ is) (ADJP (JJ tiny))) (. .))","If it is not clever, then it will be not the bald eagle.",1
22,"If the bald eagle is not clever, then the leopard is rough.","(S (SBAR (IN If) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (RB not) (ADJP (JJ clever))))) (, ,) (ADVP (RB then)) (NP (DT the) (NN leopard)) (VP (VBZ is) (ADJP (JJ rough))) (. .))","If it is clever, then it will be not the bald eagle.",1
23,"If the bald eagle is not clever, then the leopard is rough.","(S (SBAR (IN If) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (RB not) (ADJP (JJ clever))))) (, ,) (ADVP (RB then)) (NP (DT the) (NN leopard)) (VP (VBZ is) (ADJP (JJ rough))) (. .))","If it is clever, then it will be not the bald eagle.",1
24,"If the bald eagle is dull, then the tiger is heavy.","(S (SBAR (IN If) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (ADJP (JJ dull))))) (, ,) (ADVP (RB then)) (NP (DT the) (NN tiger)) (VP (VBZ is) (ADJP (JJ heavy))) (. .))","If it is not dull, then it will be not the bald eagle.",1
25,"If the bald eagle is dull, then the tiger is heavy.","(S (SBAR (IN If) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (ADJP (JJ dull))))) (, ,) (ADVP (RB then)) (NP (DT the) (NN tiger)) (VP (VBZ is) (ADJP (JJ heavy))) (. .))","If it is not dull, then it will be not the bald eagle.",1
26,"If the bald eagle is not dull, then the squirrel is not quiet.","(S (SBAR (IN If) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (RB not) (ADJP (JJ dull))))) (, ,) (ADVP (RB then)) (NP (DT the) (NN squirrel)) (VP (VBZ is) (RB not) (ADJP (JJ quiet))) (. .))","If it is dull, then it will be not the bald eagle.",1
27,"If the bald eagle is not dull, then the squirrel is not quiet.","(S (SBAR (IN If) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (RB not) (ADJP (JJ dull))))) (, ,) (ADVP (RB then)) (NP (DT the) (NN squirrel)) (VP (VBZ is) (RB not) (ADJP (JJ quiet))) (. .))","If it is dull, then it will be not the bald eagle.",1
28,"If the bald eagle is rough, then the bald eagle is not short.","(S (SBAR (IN If) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (ADJP (JJ rough))))) (, ,) (ADVP (RB then)) (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (RB not) (ADJP (JJ short))) (. .))","If it is not rough, then it will be not the bald eagle.",1
29,"If the bald eagle is rough, then the bald eagle is not short.","(S (SBAR (IN If) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (ADJP (JJ rough))))) (, ,) (ADVP (RB then)) (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (RB not) (ADJP (JJ short))) (. .))","If it is not rough, then it will be not the bald eagle.",1
30,"If the bald eagle is not rough, then the mouse is not strong.","(S (SBAR (IN If) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (RB not) (ADJP (JJ rough))))) (, ,) (ADVP (RB then)) (NP (DT the) (NN mouse)) (VP (VBZ is) (RB not) (ADJP (JJ strong))) (. .))","If it is rough, then it will be not the bald eagle.",1
31,"If the bald eagle is not rough, then the mouse is not strong.","(S (SBAR (IN If) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (RB not) (ADJP (JJ rough))))) (, ,) (ADVP (RB then)) (NP (DT the) (NN mouse)) (VP (VBZ is) (RB not) (ADJP (JJ strong))) (. .))","If it is rough, then it will be not the bald eagle.",1
32,"If the bald eagle is lazy, then the dog is dull.","(S (SBAR (IN If) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (ADJP (JJ lazy))))) (, ,) (ADVP (RB then)) (NP (DT the) (NN dog)) (VP (VBZ is) (ADJP (JJ dull))) (. .))","If it is not lazy, then it will be not the bald eagle.",1
33,"If the bald eagle is lazy, then the dog is dull.","(S (SBAR (IN If) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (ADJP (JJ lazy))))) (, ,) (ADVP (RB then)) (NP (DT the) (NN dog)) (VP (VBZ is) (ADJP (JJ dull))) (. .))","If it is not lazy, then it will be not the bald eagle.",1
34,"If the bald eagle is not lazy, then the bear is tiny.","(S (SBAR (IN If) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (RB not) (ADJP (JJ lazy))))) (, ,) (ADVP (RB then)) (NP (DT the) (NN bear)) (VP (VBZ is) (ADJP (JJ tiny))) (. .))","If it is lazy, then it will be not the bald eagle.",1
35,"If the bald eagle is slow, then Fiona is fierce.","(S (SBAR (IN If) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (ADJP (JJ slow))))) (, ,) (ADVP (RB then)) (NP (NNP Fiona)) (VP (VBZ is) (ADJP (JJ fierce))) (. .))","If it is not slow, then it will be not the bald eagle.",1
36,"If the bald eagle is slow, then Fiona is fierce.","(S (SBAR (IN If) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (ADJP (JJ slow))))) (, ,) (ADVP (RB then)) (NP (NNP Fiona)) (VP (VBZ is) (ADJP (JJ fierce))) (. .))","If it is not slow, then it will be not the bald eagle.",1
37,"If the bald eagle is not slow, then Erin is kind.","(S (SBAR (IN If) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (RB not) (ADJP (JJ slow))))) (, ,) (ADVP (RB then)) (NP (NNP Erin)) (VP (VBZ is) (ADJP (JJ kind))) (. .))","If it is slow, then it will be not the bald eagle.",1
38,"If the bald eagle is not slow, then Erin is kind.","(S (SBAR (IN If) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (RB not) (ADJP (JJ slow))))) (, ,) (ADVP (RB then)) (NP (NNP Erin)) (VP (VBZ is) (ADJP (JJ kind))) (. .))","If it is slow, then it will be not the bald eagle.",1
39,"If the bald eagle is sleepy, then the lion is not clever.","(S (SBAR (IN If) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (ADJP (JJ sleepy))))) (, ,) (ADVP (RB then)) (NP (DT the) (NN lion)) (VP (VBZ is) (RB not) (ADJP (JJ clever))) (. .))","If it is not sleepy, then it will be not the bald eagle.",1
40,"If the bald eagle is sleepy, then the lion is not clever.","(S (SBAR (IN If) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (ADJP (JJ sleepy))))) (, ,) (ADVP (RB then)) (NP (DT the) (NN lion)) (VP (VBZ is) (RB not) (ADJP (JJ clever))) (. .))","If it is not sleepy, then it will be not the bald eagle.",1
41,"If the bald eagle is not sleepy, then Harry is kind.","(S (SBAR (IN If) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (ADJP (RB not) (ADJP (JJ sleepy)))))) (, ,) (ADVP (RB then)) (NP (NNP Harry)) (VP (VBZ is) (ADJP (JJ kind))) (. .))","If it is sleepy, then it will be not the bald eagle.",1
42,"If the bald eagle is not sleepy, then Harry is kind.","(S (SBAR (IN If) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (ADJP (RB not) (ADJP (JJ sleepy)))))) (, ,) (ADVP (RB then)) (NP (NNP Harry)) (VP (VBZ is) (ADJP (JJ kind))) (. .))","If it is sleepy, then it will be not the bald eagle.",1
43,"If the bald eagle is boring, then the dog is not tired.","(S (SBAR (IN If) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (ADJP (JJ boring))))) (, ,) (ADVP (RB then)) (NP (DT the) (NN dog)) (VP (VBZ is) (RB not) (ADJP (JJ tired))) (. .))","If it is not boring, then it will be not the bald eagle.",1
44,"If the bald eagle is boring, then the dog is not tired.","(S (SBAR (IN If) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (ADJP (JJ boring))))) (, ,) (ADVP (RB then)) (NP (DT the) (NN dog)) (VP (VBZ is) (RB not) (ADJP (JJ tired))) (. .))","If it is not boring, then it will be not the bald eagle.",1
45,"If the bald eagle is not boring, then the bear is dull.","(S (SBAR (IN If) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (ADJP (RB not) (ADJP (JJ boring)))))) (, ,) (ADVP (RB then)) (NP (DT the) (NN bear)) (VP (VBZ is) (ADJP (JJ dull))) (. .))","If it is boring, then it will be not the bald eagle.",1
46,"If the bald eagle is not boring, then the bear is dull.","(S (SBAR (IN If) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (ADJP (RB not) (ADJP (JJ boring)))))) (, ,) (ADVP (RB then)) (NP (DT the) (NN bear)) (VP (VBZ is) (ADJP (JJ dull))) (. .))","If it is boring, then it will be not the bald eagle.",1
47,"If the bald eagle is tired, then Gary is strong.","(S (SBAR (IN If) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (ADJP (JJ tired))))) (, ,) (ADVP (RB then)) (NP (NNP Gary)) (VP (VBZ is) (ADJP (JJ strong))) (. .))","If it is not tired, then it will be not the bald eagle.",1
48,"If the bald eagle is tired, then Gary is strong.","(S (SBAR (IN If) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (ADJP (JJ tired))))) (, ,) (ADVP (RB then)) (NP (NNP Gary)) (VP (VBZ is) (ADJP (JJ strong))) (. .))","If it is not tired, then it will be not the bald eagle.",1
49,"If the bald eagle is not tired, then Dave is sleepy.","(S (SBAR (IN If) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (RB not) (ADJP (JJ tired))))) (, ,) (ADVP (RB then)) (NP (NNP Dave)) (VP (VBZ is) (ADJP (JJ sleepy))) (. .))","If it is tired, then it will be not the bald eagle.",1
50,"If the bald eagle is not tired, then Dave is sleepy.","(S (SBAR (IN If) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (RB not) (ADJP (JJ tired))))) (, ,) (ADVP (RB then)) (NP (NNP Dave)) (VP (VBZ is) (ADJP (JJ sleepy))) (. .))","If it is tired, then it will be not the bald eagle.",1
51,"If the bald eagle is reckless, then Bob is big.","(S (SBAR (IN If) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (ADJP (JJ reckless))))) (, ,) (ADVP (RB then)) (NP (NNP Bob)) (VP (VBZ is) (ADJP (JJ big))) (. .))","If it is not reckless, then it will be not the bald eagle.",1
52,"If the bald eagle is not reckless, then Fiona is awful.","(S (SBAR (IN If) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (ADJP (RB not) (ADJP (JJ reckless)))))) (, ,) (ADVP (RB then)) (NP (NNP Fiona)) (VP (VBZ is) (ADJP (JJ awful))) (. .))","If it is reckless, then it will be not the bald eagle.",1
53,"If the bald eagle is furry, then the mouse is not funny.","(S (SBAR (IN If) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (ADJP (JJ furry))))) (, ,) (ADVP (RB then)) (NP (DT the) (NN mouse)) (VP (VBZ is) (RB not) (ADJP (JJ funny))) (. .))","If it is not furry, then it will be not the bald eagle.",1
54,"If the bald eagle is not furry, then the dinosaur is fierce.","(S (SBAR (IN If) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (ADJP (RB not) (ADJP (JJ furry)))))) (, ,) (ADVP (RB then)) (NP (DT the) (NN dinosaur)) (VP (VBZ is) (ADJP (JJ fierce))) (. .))","If it is furry, then it will be not the bald eagle.",1
55,"If the bald eagle is small, then the mouse is not small.","(S (SBAR (IN If) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (ADJP (JJ small))))) (, ,) (ADVP (RB then)) (NP (DT the) (NN mouse)) (VP (VBZ is) (RB not) (ADJP (JJ small))) (. .))","If it is not small, then it will be not the bald eagle.",1
56,"If the bald eagle is small, then the mouse is not small.","(S (SBAR (IN If) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (ADJP (JJ small))))) (, ,) (ADVP (RB then)) (NP (DT the) (NN mouse)) (VP (VBZ is) (RB not) (ADJP (JJ small))) (. .))","If it is not small, then it will be not the bald eagle.",1
57,"If the bald eagle is not small, then the dog is tired.","(S (SBAR (IN If) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (RB not) (ADJP (JJ small))))) (, ,) (ADVP (RB then)) (NP (DT the) (NN dog)) (VP (VBZ is) (ADJP (JJ tired))) (. .))","If it is small, then it will be not the bald eagle.",1
58,"If the bald eagle is not small, then the dog is tired.","(S (SBAR (IN If) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (RB not) (ADJP (JJ small))))) (, ,) (ADVP (RB then)) (NP (DT the) (NN dog)) (VP (VBZ is) (ADJP (JJ tired))) (. .))","If it is small, then it will be not the bald eagle.",1
59,"If the bald eagle is cute, then Bob is not kind.","(S (SBAR (IN If) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (ADJP (JJ cute))))) (, ,) (ADVP (RB then)) (NP (NNP Bob)) (VP (VBZ is) (RB not) (ADJP (JJ kind))) (. .))","If it is not cute, then it will be not the bald eagle.",1
60,"If the bald eagle is cute, then Bob is not kind.","(S (SBAR (IN If) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (ADJP (JJ cute))))) (, ,) (ADVP (RB then)) (NP (NNP Bob)) (VP (VBZ is) (RB not) (ADJP (JJ kind))) (. .))","If it is not cute, then it will be not the bald eagle.",1
61,"If the bald eagle is not cute, then the tiger is not smart.","(S (SBAR (IN If) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (ADJP (RB not) (ADJP (JJ cute)))))) (, ,) (ADVP (RB then)) (NP (DT the) (NN tiger)) (VP (VBZ is) (RB not) (ADJP (JJ smart))) (. .))","If it is cute, then it will be not the bald eagle.",1
62,"If the bald eagle is not cute, then the tiger is not smart.","(S (SBAR (IN If) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (ADJP (RB not) (ADJP (JJ cute)))))) (, ,) (ADVP (RB then)) (NP (DT the) (NN tiger)) (VP (VBZ is) (RB not) (ADJP (JJ smart))) (. .))","If it is cute, then it will be not the bald eagle.",1
63,"If the bald eagle is lovely, then the bear is quiet.","(S (SBAR (IN If) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (ADJP (JJ lovely))))) (, ,) (ADVP (RB then)) (NP (DT the) (NN bear)) (VP (VBZ is) (ADJP (JJ quiet))) (. .))","If it is not lovely, then it will be not the bald eagle.",1
64,"If the bald eagle is lovely, then the bear is quiet.","(S (SBAR (IN If) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (ADJP (JJ lovely))))) (, ,) (ADVP (RB then)) (NP (DT the) (NN bear)) (VP (VBZ is) (ADJP (JJ quiet))) (. .))","If it is not lovely, then it will be not the bald eagle.",1
65,"If the bald eagle is not lovely, then the mouse is dull.","(S (SBAR (IN If) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (ADJP (RB not) (ADJP (JJ lovely)))))) (, ,) (ADVP (RB then)) (NP (DT the) (NN mouse)) (VP (VBZ is) (ADJP (JJ dull))) (. .))","If it is lovely, then it will be not the bald eagle.",1
66,"If the bald eagle is not lovely, then the mouse is dull.","(S (SBAR (IN If) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (ADJP (RB not) (ADJP (JJ lovely)))))) (, ,) (ADVP (RB then)) (NP (DT the) (NN mouse)) (VP (VBZ is) (ADJP (JJ dull))) (. .))","If it is lovely, then it will be not the bald eagle.",1
67,"If the bald eagle is beautiful, then Erin is tired.","(S (SBAR (IN If) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (ADJP (JJ beautiful))))) (, ,) (ADVP (RB then)) (NP (NNP Erin)) (VP (VBZ is) (ADJP (JJ tired))) (. .))","If it is not beautiful, then it will be not the bald eagle.",1
68,"If the bald eagle is beautiful, then Erin is tired.","(S (SBAR (IN If) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (ADJP (JJ beautiful))))) (, ,) (ADVP (RB then)) (NP (NNP Erin)) (VP (VBZ is) (ADJP (JJ tired))) (. .))","If it is not beautiful, then it will be not the bald eagle.",1
69,"If the bald eagle is not beautiful, then Erin is not nice.","(S (SBAR (IN If) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (ADJP (RB not) (ADJP (JJ beautiful)))))) (, ,) (ADVP (RB then)) (NP (NNP Erin)) (VP (VBZ is) (RB not) (ADJP (JJ nice))) (. .))","If it is beautiful, then it will be not the bald eagle.",1
70,"If the bald eagle is not beautiful, then Erin is not nice.","(S (SBAR (IN If) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (ADJP (RB not) (ADJP (JJ beautiful)))))) (, ,) (ADVP (RB then)) (NP (NNP Erin)) (VP (VBZ is) (RB not) (ADJP (JJ nice))) (. .))","If it is beautiful, then it will be not the bald eagle.",1
71,"If the bald eagle is funny, then the bear is funny.","(S (SBAR (IN If) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (ADJP (JJ funny))))) (, ,) (ADVP (RB then)) (NP (DT the) (NN bear)) (VP (VBZ is) (ADJP (JJ funny))) (. .))","If it is not funny, then it will be not the bald eagle.",1
72,"If the bald eagle is funny, then the bear is funny.","(S (SBAR (IN If) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (ADJP (JJ funny))))) (, ,) (ADVP (RB then)) (NP (DT the) (NN bear)) (VP (VBZ is) (ADJP (JJ funny))) (. .))","If it is not funny, then it will be not the bald eagle.",1
73,"If the bald eagle is not funny, then the rabbit is quiet.","(S (SBAR (IN If) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (ADJP (RB not) (ADJP (JJ funny)))))) (, ,) (ADVP (RB then)) (NP (DT the) (NN rabbit)) (VP (VBZ is) (ADJP (JJ quiet))) (. .))","If it is funny, then it will be not the bald eagle.",1
74,"If the bald eagle is not funny, then the rabbit is quiet.","(S (SBAR (IN If) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (ADJP (RB not) (ADJP (JJ funny)))))) (, ,) (ADVP (RB then)) (NP (DT the) (NN rabbit)) (VP (VBZ is) (ADJP (JJ quiet))) (. .))","If it is funny, then it will be not the bald eagle.",1
75,"If the bald eagle is big, then the squirrel is not furry.","(S (SBAR (IN If) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (ADJP (JJ big))))) (, ,) (ADVP (RB then)) (NP (DT the) (NN squirrel)) (VP (VBZ is) (RB not) (ADJP (JJ furry))) (. .))","If it is not big, then it will be not the bald eagle.",1
76,"If the bald eagle is not big, then the bear is not smart.","(S (SBAR (IN If) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (RB not) (ADJP (JJ big))))) (, ,) (ADVP (RB then)) (NP (DT the) (NN bear)) (VP (VBZ is) (RB not) (ADJP (JJ smart))) (. .))","If it is big, then it will be not the bald eagle.",1
77,"If the bald eagle is not big, then the bear is not smart.","(S (SBAR (IN If) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (RB not) (ADJP (JJ big))))) (, ,) (ADVP (RB then)) (NP (DT the) (NN bear)) (VP (VBZ is) (RB not) (ADJP (JJ smart))) (. .))","If it is big, then it will be not the bald eagle.",1
78,"If the bald eagle is strong, then Harry is not nice.","(S (SBAR (IN If) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (ADJP (JJ strong))))) (, ,) (ADVP (RB then)) (NP (NNP Harry)) (VP (VBZ is) (RB not) (ADJP (JJ nice))) (. .))","If it is not strong, then it will be not the bald eagle.",1
79,"If the bald eagle is strong, then Harry is not nice.","(S (SBAR (IN If) (S (NP (DT the) (JJ bald) (NN eagle)) (VP (VBZ is) (ADJP (JJ strong))))) (, ,) (ADVP (RB then)) (NP (NNP Harry)) (VP (VBZ is) (RB not) (ADJP (JJ nice))) (. .))","If it is not strong, then it will be not the bald eagle.",1
